code	name	description	lo_type	parent_lo_code	concept_codes
ULO-SERVER-RUNTIME-FUNDAMENTALS	Master Server Runtime Architecture and Execution Engine	Người học có khả năng giải thích nguyên lý hoạt động của môi trường thực thi server và sự khác biệt so với trình duyệt web.	UNIVERSAL		SERVER_RUNTIME_FUNDAMENTALS
CIO-RUNTIME-ENVIRONMENT-ISOLATION	Analyze Execution Differences between Server and Browser Runtimes	Người học có khả năng phân tích sự khác biệt về API và phạm vi truy cập tài nguyên hệ thống giữa server và browser.	CONCEPTUAL_IMPL	ULO-SERVER-RUNTIME-FUNDAMENTALS	SERVER_RUNTIME_FUNDAMENTALS
SIO-NODEJS-V8-ENGINE-EXECUTION	Execute JavaScript Code on V8 Engine Runtime	Người học có khả năng chạy mã JavaScript trên máy chủ Node.js bằng V8 Engine.	SPECIFIC_IMPL	CIO-RUNTIME-ENVIRONMENT-ISOLATION	SERVER_RUNTIME_FUNDAMENTALS
SIO-NODEJS-CLI-REPL-EXECUTION	Run Interactive Commands via Node REPL Environment	Người học có khả năng thử nghiệm mã nguồn trực tiếp trong môi trường Node.js REPL.	SPECIFIC_IMPL	CIO-RUNTIME-ENVIRONMENT-ISOLATION	SERVER_RUNTIME_FUNDAMENTALS
SIO-NODEJS-WHAT-WHY-HISTORY	Analyze History and Architectural Benefits of Event Runtimes	Người học có khả năng giải thích lịch sử phát triển và lý do chọn Node.js cho các ứng dụng I/O intensive.	SPECIFIC_IMPL	CIO-RUNTIME-ENVIRONMENT-ISOLATION	SERVER_RUNTIME_FUNDAMENTALS
ULO-MODULE-SYSTEMS-RESOLUTION	Master Module Systems and Resolution Specifications	Người học có khả năng làm chủ các hệ thống đóng gói module và thuật toán phân giải đường dẫn nạp mã.	UNIVERSAL		MODULE_SYSTEMS_AND_RESOLUTION
CIO-COMMONJS-VS-ESM-FORMATS	Compare CommonJS Require and ES Modules Import Specifications	Người học có khả năng phân biệt và chuyển đổi giữa hai chuẩn module CommonJS (require) và ES Modules (import).	CONCEPTUAL_IMPL	ULO-MODULE-SYSTEMS-RESOLUTION	MODULE_SYSTEMS_AND_RESOLUTION
SIO-NODEJS-COMMONJS-EXPORTS	Export and Require Modules using CommonJS Syntax	Người học có khả năng xuất và nạp module bằng module.exports và require() trong Node.js.	SPECIFIC_IMPL	CIO-COMMONJS-VS-ESM-FORMATS	MODULE_SYSTEMS_AND_RESOLUTION
SIO-NODEJS-ESM-IMPORT-EXPORT	Import and Export Named Symbols using ES Modules Syntax	Người học có khả năng sử dụng cú pháp import/export chuẩn ES6 với cờ type: module.	SPECIFIC_IMPL	CIO-COMMONJS-VS-ESM-FORMATS	MODULE_SYSTEMS_AND_RESOLUTION
SIO-NODEJS-CREATING-IMPORTING-MODULES	Create and Import Custom Code Modules	Người học có khả năng tự khởi tạo tệp module nội bộ và nạp liên kết giữa các thư mục dự án.	SPECIFIC_IMPL	CIO-COMMONJS-VS-ESM-FORMATS	MODULE_SYSTEMS_AND_RESOLUTION
SIO-NODEJS-GLOBAL-KEYWORD-SCOPE	Manage Shared Variables via Global Keyword Objects	Người học có khả năng truy cập và quản lý các đối tượng toàn cục thông qua biến global.	SPECIFIC_IMPL	CIO-COMMONJS-VS-ESM-FORMATS	MODULE_SYSTEMS_AND_RESOLUTION
ULO-PACKAGE-DEPENDENCY-MANAGEMENT	Master Package Dependency and Workspace Management	Người học có khả năng làm chủ quản lý thư viện phụ thuộc, Semantic Versioning và cấu hình dự án.	UNIVERSAL		PACKAGE_DEPENDENCY_MANAGEMENT
CIO-PACKAGE-LOCK-VERSIONING	Manage Package Versions with Semantic Versioning Rules	Người học có khả năng áp dụng các quy tắc Semantic Versioning (^, ~) và khóa phiên bản bằng lockfile.	CONCEPTUAL_IMPL	ULO-PACKAGE-DEPENDENCY-MANAGEMENT	PACKAGE_DEPENDENCY_MANAGEMENT
SIO-NPM-CLI-INSTALL-DEPENDENCY	Install and Update Dependencies with npm and pnpm	Người học có khả năng cài đặt, gỡ bỏ và cập nhật gói thư viện bằng lệnh npm install / pnpm add.	SPECIFIC_IMPL	CIO-PACKAGE-LOCK-VERSIONING	PACKAGE_DEPENDENCY_MANAGEMENT
SIO-NPM-UPDATING-PACKAGES-CLI	Update Installed Packages via npm update Commands	Người học có khả năng kiểm tra và cập nhật các gói thư viện phụ thuộc lên phiên bản mới an toàn.	SPECIFIC_IMPL	CIO-PACKAGE-LOCK-VERSIONING	PACKAGE_DEPENDENCY_MANAGEMENT
SIO-NPM-RUNNING-SCRIPTS-PACKAGE	Define and Execute Custom npm Run Scripts	Người học có khả năng viết các câu lệnh tự động hóa trong mục scripts của tệp package.json.	SPECIFIC_IMPL	CIO-PACKAGE-LOCK-VERSIONING	PACKAGE_DEPENDENCY_MANAGEMENT
SIO-NPM-CREATING-PUBLISHING-PACKAGES	Create and Publish Open Source Packages to npm Registry	Người học có khả năng đóng gói thư viện và phát hành công khai lên npm registry bằng npm publish.	SPECIFIC_IMPL	CIO-PACKAGE-LOCK-VERSIONING	PACKAGE_DEPENDENCY_MANAGEMENT
SIO-NPM-WORKSPACES-MONOREPO	Configure Multi-Package Monorepos with npm Workspaces	Người học có khả năng quản lý dự án đa gói (Monorepo) bằng cờ npm workspaces.	SPECIFIC_IMPL	CIO-PACKAGE-LOCK-VERSIONING	PACKAGE_DEPENDENCY_MANAGEMENT
SIO-NPX-EXECUTABLE-RUNNER	Execute One-Off Binaries with npx Executable Runner	Người học có khả năng thực thi nhanh các công cụ CLI mà không cần cài đặt bằng lệnh npx.	SPECIFIC_IMPL	CIO-PACKAGE-LOCK-VERSIONING	PACKAGE_DEPENDENCY_MANAGEMENT
ULO-ASYNC-EVENT-DRIVEN-PROGRAMMING	Master Asynchronous Event Loop and Event-Driven Architecture	Người học có khả năng làm chủ cơ chế bất đồng bộ không chặn I/O và phát sự kiện tự động.	UNIVERSAL		ASYNC_EVENT_DRIVEN_PROGRAMMING
CIO-EVENT-LOOP-MACRO-MICRO-TASKS	Analyze Microtask and Macrotask Queues in Event Loops	Người học có khả năng phân tích thứ tự ưu tiên thực thi giữa Microtasks (Promise, nextTick) và Macrotasks (Timer).	CONCEPTUAL_IMPL	ULO-ASYNC-EVENT-DRIVEN-PROGRAMMING	ASYNC_EVENT_DRIVEN_PROGRAMMING
SIO-NODEJS-CALLBACK-FUNCTIONS	Handle Asynchronous Callbacks and Prevent Callback Hell	Người học có khả năng viết hàm callback bất đồng bộ và áp dụng quy tắc error-first callback.	SPECIFIC_IMPL	CIO-EVENT-LOOP-MACRO-MICRO-TASKS	ASYNC_EVENT_DRIVEN_PROGRAMMING
SIO-NODEJS-SETTIMEOUT-SETINTERVAL	Schedule Delayed Tasks with setTimeout and setInterval	Người học có khả năng lên lịch hẹn giờ chạy tác vụ định kỳ bằng setTimeout và setInterval.	SPECIFIC_IMPL	CIO-EVENT-LOOP-MACRO-MICRO-TASKS	ASYNC_EVENT_DRIVEN_PROGRAMMING
SIO-NODEJS-PROCESS-NEXTTICK-ORDER	Prioritize Tasks with process.nextTick and setImmediate	Người học có khả năng điều khiển thứ tự chạy callback bằng process.nextTick() và setImmediate().	SPECIFIC_IMPL	CIO-EVENT-LOOP-MACRO-MICRO-TASKS	ASYNC_EVENT_DRIVEN_PROGRAMMING
SIO-NODEJS-EVENT-EMITTER-CLASS	Emit and Listen to Custom Events via EventEmitter	Người học có khả năng khởi tạo đối tượng EventEmitter, phát và lắng nghe sự kiện tùy chỉnh.	SPECIFIC_IMPL	CIO-EVENT-LOOP-MACRO-MICRO-TASKS	ASYNC_EVENT_DRIVEN_PROGRAMMING
SIO-NODEJS-ASYNC-AWAIT-PROMISES	Handle Async Operations with Promises and async/await	Người học có khả năng bọc logic bất đồng bộ phức tạp bằng Promise.all() và cú pháp async/await.	SPECIFIC_IMPL	CIO-EVENT-LOOP-MACRO-MICRO-TASKS	ASYNC_EVENT_DRIVEN_PROGRAMMING
ULO-FILE-SYSTEM-I-O-OPERATIONS	Master File System I/O and Path Operations	Người học có khả năng làm chủ thao tác đọc ghi hệ thống tệp tin và chuẩn hóa đường dẫn.	UNIVERSAL		FILE_SYSTEM_I_O_OPERATIONS
CIO-FILE-SYSTEM-ASYNC-PROMISES	Perform Non-blocking File I/O with File System Promises	Người học có khả năng thao tác với tệp tin theo cơ chế bất đồng bộ sử dụng fs/promises API.	CONCEPTUAL_IMPL	ULO-FILE-SYSTEM-I-O-OPERATIONS	FILE_SYSTEM_I_O_OPERATIONS
SIO-NODEJS-PATH-MODULE-RESOLVE	Join and Resolve Paths with Path Utilities	Người học có khả năng ghép đường dẫn an toàn bằng path.join() và path.resolve().	SPECIFIC_IMPL	CIO-FILE-SYSTEM-ASYNC-PROMISES	FILE_SYSTEM_I_O_OPERATIONS
SIO-NODEJS-DIRNAME-FILENAME-VARS	Access Current Directory Path via __dirname and __filename	Người học có khả năng xác định vị trí thư mục hiện tại bằng biến __dirname và __filename trong Node.js.	SPECIFIC_IMPL	CIO-FILE-SYSTEM-ASYNC-PROMISES	FILE_SYSTEM_I_O_OPERATIONS
SIO-GLOBBY-GLOB-FILE-SEARCH	Match File Patterns with Globby and Glob Utilities	Người học có khả năng tìm kiếm danh sách tệp theo mẫu glob pattern bằng thư viện glob / globby.	SPECIFIC_IMPL	CIO-FILE-SYSTEM-ASYNC-PROMISES	FILE_SYSTEM_I_O_OPERATIONS
SIO-FS-EXTRA-EXTENDED-METHODS	Perform Extended Directory Operations with fs-extra	Người học có khả năng sao chép và xoá thư mục đệ quy bằng các hàm tiện ích của fs-extra.	SPECIFIC_IMPL	CIO-FILE-SYSTEM-ASYNC-PROMISES	FILE_SYSTEM_I_O_OPERATIONS
SIO-CHOKIDAR-FILE-WATCHER	Watch File Changes with Chokidar File Systems	Người học có khả năng tự động phát hiện tệp tin thay đổi trong thư mục bằng thư viện chokidar.	SPECIFIC_IMPL	CIO-FILE-SYSTEM-ASYNC-PROMISES	FILE_SYSTEM_I_O_OPERATIONS
ULO-CLI-INTERACTIVE-APPLICATIONS	Master CLI Application Architecture and Input Output Streams	Người học có khả năng làm chủ việc xây dựng các công cụ tương tác giao diện dòng lệnh CLI.	UNIVERSAL		CLI_INTERACTIVE_APPLICATIONS
CIO-CLI-INPUT-OUTPUT-STREAMS	Process Standard Input and Output Process Streams	Người học có khả năng đọc luồng đầu vào process.stdin và ghi đầu ra process.stdout.	CONCEPTUAL_IMPL	ULO-CLI-INTERACTIVE-APPLICATIONS	CLI_INTERACTIVE_APPLICATIONS
SIO-NODEJS-PROCESS-EXIT-CODES	Terminate CLI Processes cleanly with Exit Codes	Người học có khả năng dừng tiến trình dòng lệnh an toàn kèm mã trạng thái bằng process.exit(code).	SPECIFIC_IMPL	CIO-CLI-INPUT-OUTPUT-STREAMS	CLI_INTERACTIVE_APPLICATIONS
SIO-NODEJS-PROCESS-ENV-DOTENV	Inject Environment Variables via dotenv Configuration Files	Người học có khả năng nạp và đọc các biến môi trường cấu hình qua process.env.	SPECIFIC_IMPL	CIO-CLI-INPUT-OUTPUT-STREAMS	CLI_INTERACTIVE_APPLICATIONS
SIO-INQUIRER-PROMPTS-INTERACTIVE	Prompt Interactive User Input with Inquirer Package	Người học có khả năng tạo bảng câu hỏi tương tác giao diện dòng lệnh bằng Inquirer / prompts.	SPECIFIC_IMPL	CIO-CLI-INPUT-OUTPUT-STREAMS	CLI_INTERACTIVE_APPLICATIONS
