code	name	description	lo_type	parent_lo_code	concept_codes
ULO-CONTAINER-VIRTUALIZATION	Master Container Virtualization and OS Isolation Engines	Người học có khả năng giải thích mô hình ảo hóa container và công nghệ đóng gói.	UNIVERSAL		CONTAINER_VIRTUALIZATION_ENGINES
CIO-CONTAINER-VS-VM-ISOLATION	Compare Container Isolation against Hypervisor Virtual Machines	Người học có khả năng phân tích sự khác biệt giữa Container và Virtual Machines.	CONCEPTUAL_IMPL	ULO-CONTAINER-VIRTUALIZATION	CONTAINER_VIRTUALIZATION_ENGINES
SIO-DOCKER-ENGINE-ARCHITECTURE	Inspect Docker Engine Runtime Architecture	Người học có khả năng giải thích tổng quan Introduction, Installation / Setup và Underlying Technologies của kiến trúc Docker Engine.	SPECIFIC_IMPL	CIO-CONTAINER-VS-VM-ISOLATION	CONTAINER_VIRTUALIZATION_ENGINES
SIO-DOCKER-NAMESPACES-CGROUPS	Isolate Resources with Linux Namespaces and cgroups	Người học có khả năng giải thích cơ chế cách ly tài nguyên qua Linux namespaces và cgroups.	SPECIFIC_IMPL	CIO-CONTAINER-VS-VM-ISOLATION	CONTAINER_VIRTUALIZATION_ENGINES
SIO-DOCKER-CLI-CONTAINER-RUN	Run Containers with docker run CLI Commands	Người học có khả năng khởi chạy container ứng dụng bằng lệnh docker run.	SPECIFIC_IMPL	CIO-CONTAINER-VS-VM-ISOLATION	CONTAINER_VIRTUALIZATION_ENGINES
ULO-IMAGE-SPECIFICATIONS	Master Container Image Layers and Multi-Stage Builders	Người học có khả năng làm chủ quy trình viết Dockerfile và tối ưu hình ảnh container.	UNIVERSAL		IMAGE_BUILDING_LAYER_STACKING
CIO-IMAGE-LAYER-CACHING-OPTIMIZATION	Optimize Image Layers via Cache Reuse and Multi-Stage Builds	Người học có khả năng tối ưu dung lượng hình ảnh qua Multi-Stage build.	CONCEPTUAL_IMPL	ULO-IMAGE-SPECIFICATIONS	IMAGE_BUILDING_LAYER_STACKING
SIO-DOCKER-DOCKERFILE-INSTRUCTIONS	Write Dockerfile Directives with FROM, RUN and COPY	Người học có khả năng viết các chỉ thị đóng gói ứng dụng trong tệp Dockerfile.	SPECIFIC_IMPL	CIO-IMAGE-LAYER-CACHING-OPTIMIZATION	IMAGE_BUILDING_LAYER_STACKING
SIO-DOCKER-ENTRYPOINT-VS-CMD	Differentiate ENTRYPOINT and CMD Execution Rules	Người học có khả năng phân biệt quy tắc thực thi giữa ENTRYPOINT và CMD trong Dockerfile.	SPECIFIC_IMPL	CIO-IMAGE-LAYER-CACHING-OPTIMIZATION	IMAGE_BUILDING_LAYER_STACKING
SIO-DOCKER-MULTI-STAGE-BUILDS	Reduce Image Size with Multi-Stage Build Pipelines	Người học có khả năng giảm dung lượng ảnh sản xuất bằng kỹ thuật Multi-Stage Build.	SPECIFIC_IMPL	CIO-IMAGE-LAYER-CACHING-OPTIMIZATION	IMAGE_BUILDING_LAYER_STACKING
