id	code	name	verb_en	verb_vi	knowledge_dimension_code	bloom_level_code	question_type_code	example_en	example_vi	organization_code
a9a8866e-821d-414d-90d5-afa0f2c3e36c	ANA-FAC-ORG-SEQ	Tổ chức/Cấu trúc (Factual)	Organize/Structure	Tổ chức/Cấu trúc		ANALYZE	SEQUENCE	Arrange the [events/data points] in [chronological/magnitude] order.	Sắp xếp các [sự kiện/dữ liệu] theo thứ tự [thời gian/mức độ].	DEFAULT_ORG
b5125085-c6c7-4b3a-875c-b3a5de805dc3	REM-FAC-DEF-MCQ	Định nghĩa (Factual)	Define	Định nghĩa		REMEMBER	MULTIPLE_CHOICE	Select the accurate definition in terms of terminology/facts for [X].	Chọn định nghĩa chính xác về mặt thuật ngữ/dữ kiện cho [X].	DEFAULT_ORG
0f66117e-96fd-499c-aa2a-fd6ad691463c	REM-FAC-DEF-TF	Định nghĩa (Factual)	Define	Định nghĩa		REMEMBER	TRUE_FALSE	True or False: The definition provided for [X] is factually accurate.	Đúng hay Sai: Định nghĩa được cung cấp cho [X] là chính xác về mặt dữ kiện.	DEFAULT_ORG
d7ca1388-ddc7-4462-b4bd-261f9446379a	REM-FAC-IDT-MAT	Nhận dạng (Factual)	Identify	Nhận dạng		REMEMBER	MATCHING	Match the label (A, B, C) on the image/diagram with the correct [factual element name].	Nối nhãn (A, B, C) trên hình ảnh/sơ đồ với tên [yếu tố thực tế] chính xác.	DEFAULT_ORG
5ebbdf83-2e7e-43f9-a1ca-b289d3a0a666	REM-FAC-IDT-MCQ	Nhận dạng (Factual)	Identify	Nhận dạng		REMEMBER	MULTIPLE_CHOICE	Select the specific [factual element] from the list/description.	Chọn [yếu tố thực tế] cụ thể từ danh sách/mô tả.	DEFAULT_ORG
9aab7446-5932-439c-bcdd-0fd1ac65c413	REM-FAC-IDT-MRQ	Nhận dạng (Factual)	Identify	Nhận dạng		REMEMBER	MULTIPLE_RESPONSE	Select all the [factual elements] that belong to group X.	Chọn tất cả các [yếu tố thực tế] thuộc nhóm X.	DEFAULT_ORG
9ee05b55-01bc-41e9-821c-0d0d7e1050e7	REM-FAC-IDT-TF	Nhận dạng (Factual)	Identify	Nhận dạng		REMEMBER	TRUE_FALSE	True or False: This image/description represents [specific factual element].	Đúng hay Sai: Hình ảnh/mô tả này thể hiện [yếu tố thực tế cụ thể].	DEFAULT_ORG
b6843752-ef29-48f0-81b0-fe80b2617c28	REM-FAC-LAB-MAT	Gắn nhãn (Factual)	Label	Gắn nhãn		REMEMBER	MATCHING	Match the name of the [part] with its corresponding label (A, B, C) on the image.	Nối tên [bộ phận] với nhãn tương ứng (A, B, C) trên hình.	DEFAULT_ORG
a6ad5887-e5d1-4db3-99ab-b1558d00d5ea	REM-FAC-LST-MCQ	Liệt kê (Factual)	List	Liệt kê		REMEMBER	MULTIPLE_CHOICE	Select the list that CORRECTLY and COMPLETELY enumerates the [elements].	Chọn danh sách liệt kê ĐÚNG và ĐỦ các [yếu tố].	DEFAULT_ORG
c4a6cf86-0e61-429e-b20d-b246258e8d4b	REM-FAC-LST-MRQ	Liệt kê (Factual)	List	Liệt kê		REMEMBER	MULTIPLE_RESPONSE	Select ALL [elements] belonging to group X from a larger list.	Chọn TẤT CẢ các [yếu tố] thuộc nhóm X từ một danh sách lớn hơn.	DEFAULT_ORG
e03a6639-fc23-41a4-b8f8-56acc5127ccc	REM-FAC-MAT-MAT	Nối cặp (Factual)	Match	Nối cặp		REMEMBER	MATCHING	Match the [term/proper noun] with its corresponding [fact/date/short definition].	Nối [thuật ngữ/tên riêng] với [dữ kiện/ngày tháng/định nghĩa ngắn] tương ứng.	DEFAULT_ORG
38fbfef7-b2e6-4d3c-a36f-c54384c6dfcc	REM-FAC-ORG-MAT	Sắp xếp (Factual)	Organize	Sắp xếp		REMEMBER	MATCHING	Match the [labels/names] with their correct positions (1, 2, 3) on the [diagram/map].	Nối các [nhãn/tên] với vị trí đúng của chúng (1, 2, 3) trên [sơ đồ/bản đồ].	DEFAULT_ORG
2184bb73-2945-4dd8-a932-8249a8f3025a	REM-FAC-REC-MCQ	Nhớ lại / Nêu (Factual)	Recall / State	Nhớ lại / Nêu		REMEMBER	MULTIPLE_CHOICE	Which statement correctly states the [fact/data/formula]?	Phát biểu nào nêu đúng [sự kiện/dữ liệu/công thức]?	DEFAULT_ORG
