code	name	description	topic_codes	keywords	cs2023_ka_mapping	metadata
DECLARATIVE_COMPONENT_TREE	Declarative Component Trees & Virtual DOM	Kiến trúc giao diện phân rã thành các linh kiện độc lập và cây Virtual DOM.	COMPONENT_BASED_ARCHITECTURE	JSX, Virtual DOM, React components, props, rendering, tree reconciliation		"{""icon"": ""code""}"
LOCAL_STATE_REACTIVE_HOOKS	Local Component State & Reactive Hooks	Quản lý trạng thái nội bộ component và vòng đời bằng Hooks.	STATE_MANAGEMENT_HOOKS	useState, useEffect, useReducer, custom hooks, reactive state, component lifecycle		"{""icon"": ""code""}"
REUSABLE_CUSTOM_HOOKS	Custom Hook Composition & Logic Extraction	Tách rã và tái sử dụng logic giao diện thông qua Custom Hooks.	CUSTOM_HOOKS_COMPOSITION	custom hooks, logic extraction, composition, reuse, custom stateful logic		"{""icon"": ""code""}"
CONTEXT_PROP_DRILLING_PREVENTION	Context API & Global State Sharing	Chia sẻ dữ liệu toàn cục tránh hiện tượng Prop Drilling qua Context API.	CONTEXT_GLOBAL_STATE	createContext, useContext, Provider, prop drilling, global state		"{""icon"": ""code""}"
SINGLE_PAGE_ROUTING_ENGINE	Single-Page Routing & Dynamic Navigation	Điều hướng trang Single-Page Application (SPA), tham số URL và route động.	ROUTING_NAVIGATION_SYSTEM	React Router, Dynamic Routing, useNavigate, useParams, Link, SPA		"{""icon"": ""code""}"
FORM_CONTROL_VALIDATION	Controlled Components & Input Schema Validation	Quản lý form điều khiển (controlled components) và xác thực dữ liệu.	FORM_HANDLING_VALIDATION	React Hook Form, Formik, Zod, Yup, controlled components, validation		"{""icon"": ""code""}"
MEMOIZATION_PERFORMANCE_TUNING	Memoization Utilities & Rendering Optimization	Tối ưu hóa hiệu năng render bằng memo, useMemo, useCallback và virtualization.	PERFORMANCE_MEMOIZATION_OPT	React.memo, useMemo, useCallback, Code Splitting, Lazy, Suspense, Virtualization		"{""icon"": ""code""}"
GLOBAL_EXTERNAL_STATE_MANAGEMENT	External State Stores & Flux Architecture	Quản lý trạng thái toàn cục phức tạp bằng Redux Toolkit hoặc Zustand.	EXTERNAL_STATE_STORE_REDUX	Redux Toolkit, Zustand, Flux, slice, actions, reducers, dispatch, useSelector		"{""icon"": ""code""}"
SERVER_STATE_DATA_FETCHING	Server State Caching & Async Data Fetching	Quản lý trạng thái phía server, cache dữ liệu và tự động làm mới qua TanStack Query.	ASYNC_DATA_FETCHING_TANSTACK	TanStack Query, React Query, useQuery, useMutation, caching, stale-while-revalidate		"{""icon"": ""code""}"
UI_STYLING_SOLUTIONS_COMPONENTS	CSS Modules, CSS-in-JS & Utility Styling	Định cách giao diện bằng Tailwind CSS, CSS Modules, Styled Components hoặc Emotion.	UI_STYLING_SOLUTIONS	Tailwind CSS, CSS Modules, Styled Components, Emotion, Shadcn UI, CSS-in-JS		"{""icon"": ""code""}"
SERVER_SIDE_RENDERING_HYDRATION	Server-Side Rendering & Client Hydration	Render giao diện từ máy chủ Server-Side Rendering (SSR), Static Site Generation (SSG) và Next.js.	SERVER_SIDE_RENDERING_NEXTJS	Next.js, App Router, SSR, SSG, Server Components, Client Components, Hydration		"{""icon"": ""code""}"
COMPONENT_TESTING_ASSERTIONS	Component Unit Testing & User Event Simulation	Kiểm thử tự động linh kiện UI bằng React Testing Library và Vitest.	TESTING_REACT_COMPONENTS	React Testing Library, Jest, Vitest, screen, fireEvent, userEvent, render		"{""icon"": ""code""}"
PORTALS_REFS_DOM_ESCAPE	DOM Escapes & Imperative Ref Handles	Thao tác DOM trực tiếp qua useRef, forwardRef, useImperativeHandle và ReactDOM.createPortal.	PORTALS_REFS_UNCONTROLLED	useRef, forwardRef, useImperativeHandle, createPortal, Modal, DOM escape		"{""icon"": ""code""}"
ERROR_BOUNDARIES_FALLBACK	Error Boundaries & Fallback UI Components	Bắt lỗi hệ thống render bằng Error Boundaries và hiển thị màn hình khắc phục khẩn cấp.	ERROR_BOUNDARIES_RESILIENCE	ErrorBoundary, componentDidCatch, getDerivedStateFromError, fallback UI		"{""icon"": ""code""}"
SUSPENSE_CONCURRENT_RENDERING	Concurrent Rendering & Suspense Transitions	Cơ chế render đồng thời Concurrent Mode, useTransition, useDeferredValue và Suspense.	SUSPENSE_CONCURRENT_FEATURES	Suspense, useTransition, useDeferredValue, Concurrent Mode, non-blocking rendering		"{""icon"": ""code""}"
MICRO_FRONTEND_MODULE_FEDERATION	Micro-Frontend Architectures & Module Sharing	Phân rã ứng dụng web lớn thành các micro-frontends chạy độc lập qua Module Federation.	MICRO_FRONTENDS_FEDERATION	Micro-Frontends, Module Federation, Webpack, Single-SPA, independent deployment		"{""icon"": ""code""}"
ACCESSIBILITY_A11Y_PATTERNS	Accessible ARIA Roles & Keyboard Focus	Xây dựng giao diện hỗ trợ người khuyết tật (a11y), tiêu chuẩn WCAG, ARIA roles và bàn phím.	ACCESSIBILITY_A11Y_PATTERNS	a11y, ARIA roles, aria-expanded, screen readers, focus management, WCAG		"{""icon"": ""code""}"
FINITE_STATE_MACHINES	Finite State Machines & Declarative Transitions	Mô hình hóa trạng thái phức tạp với Finite State Machines (XState).	STATE_MACHINE_COMPOSABLE_LOGIC	XState, state machines, statechart, transitions, deterministic logic		"{""icon"": ""code""}"
