code	name	description	topic_codes	keywords	cs2023_ka_mapping	metadata
DECLARATIVE_TEMPLATE_SYNTAX	Declarative View Templates & Directive Binders	Cú pháp template khai báo, ràng buộc thuộc tính và chỉ thị directives.	DECLARATIVE_VIEW_TEMPLATES	v-bind, v-model, v-if, v-for, v-on, template syntax, directives		"{""icon"": ""code""}"
REACTIVE_STATE_TRACKING	Reactive Proxy State & Composition API	Quản lý trạng thái phản ứng theo cơ chế Proxy với ref(), reactive() và computed().	COMPOSITION_REACTIVITY_API	ref, reactive, computed, watch, watchEffect, Composition API		"{""icon"": ""code""}"
COMPONENT_COMMUNICATION_SLOTS	Component Communications & Content Distribution Slots	Giao tiếp linh kiện qua props, phát sự kiện emits và phân phối nội dung qua slots.	COMPONENT_PROPS_EMITS_SLOTS	defineProps, defineEmits, slots, scoped slots, component communication		"{""icon"": ""code""}"
VUE_ROUTER_NAVIGATION	Single-Page Routing & Navigation Guards	Phân tuyến trang ứng dụng Vue Router, router-view, dynamic routes và navigation guards.	VUE_ROUTER_SPA_NAVIGATION	Vue Router, createRouter, router-view, navigation guards, beforeEach		"{""icon"": ""code""}"
CENTRALIZED_STATE_STORE	Centralized Reactive Store & Action Dispatchers	Quản lý trạng thái tập trung với Pinia, state, getters, actions và store composition.	PINIA_CENTRALIZED_STORE	Pinia, defineStore, state, getters, actions, modular store		"{""icon"": ""code""}"
CUSTOM_DIRECTIVES_PLUGINS	Custom Directives & Plugin Extensions	Mở rộng tính năng bằng Custom Directives (v-focus, v-lazy) và Vue Plugins.	VUE_CUSTOM_DIRECTIVES_PLUGINS	custom directives, plugins, app.use, directive hooks, element mutation		"{""icon"": ""code""}"
ASYNC_COMPONENTS_SUSPENSE	Async Component Loading & Suspense Fallbacks	Tải linh kiện bất đồng bộ defineAsyncComponent và Suspense fallback UI.	VUE_ASYNC_COMPONENTS_SUSPENSE	defineAsyncComponent, Suspense, code splitting, dynamic import, loading state		"{""icon"": ""code""}"
SERVER_SIDE_RENDERING_NUXT	Server-Side Rendering & Fullstack Vue	Render ứng dụng từ server với Nuxt.js, auto-imports, file-based routing và Server Engine.	NUXTJS_SSR_FULLSTACK	Nuxt.js, SSR, SSG, Nitro engine, auto-imports, useFetch, NuxtPage		"{""icon"": ""code""}"
VUE_TESTING_FRAMEWORK	Vue Component Unit Testing & Assertion Suites	Kiểm thử tự động linh kiện Vue bằng Vue Test Utils và Vitest.	VUE_TESTING_UTILS_VITEST	Vue Test Utils, Vitest, mount, shallowMount, trigger, assertions		"{""icon"": ""code""}"
VIEW_TRANSITION_ANIMATIONS	Component Transitions & CSS Animation Binders	Tạo hiệu ứng chuyển đổi mượt mà bằng <Transition> và <TransitionGroup>.	VUE_TRANSITION_ANIMATIONS	<Transition>, <TransitionGroup>, enter-active, leave-active, animations, CSS		"{""icon"": ""code""}"
BUILTIN_SYSTEM_COMPONENTS	System Components & DOM Escapes	Các linh kiện hệ thống có sẵn: <Teleport> dịch chuyển DOM và <KeepAlive> cache trang.	VUE_TELEPORT_KEEPALIVE	Teleport, KeepAlive, include, exclude, activated, deactivated, DOM escape		"{""icon"": ""code""}"
TYPESCRIPT_TYPE_SAFETY_VUE	TypeScript Type Safety & Vue Generics	Định nghĩa kiểu dữ liệu an toàn cho Vue components, Volar và script setup TS.	VUE_TYPESCRIPT_INTEGRATION	TypeScript, Volar, ComponentCustomProperties, PropType, Generic Components		"{""icon"": ""code""}"
PERFORMANCE_TUNING_VUE	Render Optimization & Memory Profiling	Tối ưu hóa hiệu năng render, shallowRef, markRaw và ngắt phản ứng thừa.	VUE_PERFORMANCE_OPTIMIZATION	shallowRef, shallowReactive, markRaw, v-once, v-memo, performance profiling		"{""icon"": ""code""}"
FORM_VALIDATION_ENGINES	Form Validation Engines & Schema Resolvers	Xây dựng biểu mẫu phức tạp và xác thực bằng VeeValidate hoặc Vuelidate.	VUE_FORM_VALIDATION_RULES	VeeValidate, Vuelidate, Zod, Yup, form rules, error messages		"{""icon"": ""code""}"
UI_COMPONENT_LIBRARIES	UI Component Libraries & Design System Integration	Phát triển giao diện chuẩn bằng Vuetify, Element Plus, PrimeVue hoặc Tailwind CSS.	VUE_UI_LIBRARY_SYSTEMS	Vuetify, Element Plus, PrimeVue, Tailwind CSS, Shadcn-Vue, design system		"{""icon"": ""code""}"
MICRO_FRONTENDS_VUE_FEDERATION	Micro-Frontend Architectures & Vue Module Federation	Kiến trúc Micro-Frontends cho ứng dụng Vue quy mô lớn.	VUE_MICRO_FRONTENDS_FEDERATION	Micro-Frontends, Module Federation, Vite Federation, Single-SPA, Vue sub-apps		"{""icon"": ""code""}"
