code	name	description	topic_codes	keywords	cs2023_ka_mapping	metadata
CONTAINER_VIRTUALIZATION_ENGINES	Container Virtualization & OS Isolation Engines	Kiến trúc ảo hóa cấp hệ điều hành, cgroups, namespaces và sự khác biệt so với Virtual Machines.	CONTAINER_VIRTUALIZATION_FUNDAMENTALS	Docker, containers, cgroups, namespaces, virtual machines, hypervisor, isolation		"{""icon"": ""code""}"
IMAGE_BUILDING_LAYER_STACKING	Container Image Layers & Multi-Stage Builders	Đóng gói ứng dụng thành các lớp (layers) qua Dockerfile, FROM, RUN, COPY, CMD.	IMAGE_SPECIFICATION_BUILDING	Dockerfile, FROM, RUN, COPY, CMD, ENTRYPOINT, layers, cache, multi-stage build		"{""icon"": ""code""}"
CONTAINER_NETWORK_DRIVERS	Container Network Drivers & Port Forwarding	Kết nối mạng giữa các container bằng bridge, host, overlay networks và port forwarding.	CONTAINER_NETWORKING_SYSTEMS	docker network, bridge, host, overlay, macvlan, port mapping, DNS resolution		"{""icon"": ""code""}"
PERSISTENT_VOLUME_MOUNTING	Persistent Data Volumes & Host Mount Drivers	Lưu trữ dữ liệu bền vững với Docker Volumes, Bind Mounts và tmpfs mounts.	PERSISTENT_DATA_VOLUMES	docker volume, bind mounts, tmpfs, persistent storage, volume drivers		"{""icon"": ""code""}"
MULTI_CONTAINER_COMPOSE_ORCHESTRATION	Multi-Container Composition & Service Declarations	Định nghĩa và điều phối đa dịch vụ ứng dụng bằng tệp docker-compose.yml.	MULTI_CONTAINER_COMPOSE	docker-compose, services, networks, volumes, environment, depends_on, healthcheck		"{""icon"": ""code""}"
CONTAINER_REGISTRY_PIPELINES	Image Registries & Artifact Distribution Pipelines	Lưu trữ và phân phối hình ảnh container trên Docker Hub, GitHub Container Registry (GHCR) hoặc private registries.	CONTAINER_REGISTRY_DISTRIBUTION	Docker Hub, GHCR, registry, push, pull, tag, image signing, vulnerability scan		"{""icon"": ""code""}"
CONTAINER_SECURITY_HARDENING_CONCEPT	Container Hardening & Vulnerability Scanners	Bảo mật container: Chạy non-root user, read-only filesystem, cờ --cap-drop và quét lỗ hổng Trivy/Docker Scout.	CONTAINER_SECURITY_HARDENING	security, non-root user, Trivy, Docker Scout, read-only, cap-drop, seccomp		"{""icon"": ""code""}"
CONTAINER_LOGGING_DRIVERS	Container Log Aggregation & Observability Drivers	Thu thập nhật ký ứng dụng qua docker logs, logging drivers (json-file, journald, fluentd) và chỉ số tài nguyên stats.	CONTAINER_LOGGING_MONITORING	docker logs, logging drivers, json-file, fluentd, docker stats, monitoring		"{""icon"": ""code""}"
CONTAINER_ORCHESTRATION_KUBERNETES_CONCEPT	Container Orchestration & Cluster Management	Kiến trúc điều phối container quy mô lớn với Kubernetes (k8s), Pods, Deployments, Services và Ingress.	CONTAINER_ORCHESTRATION_KUBERNETES	Kubernetes, k8s, Pods, Deployments, Services, Ingress, kubectl, cluster		"{""icon"": ""code""}"
MULTI_ARCH_BUILDX_BUILDER	Multi-Architecture Builds & BuildKit Engines	Xây dựng hình ảnh container tương thích đa kiến trúc phần cứng (amd64, arm64) bằng Docker Buildx.	BUILDX_MULTI_ARCH_BUILDING	Docker Buildx, BuildKit, multi-arch, QEMU, amd64, arm64, manifest list		"{""icon"": ""code""}"
DOCKER_SWARM_CLUSTERING_CONCEPT	Native Swarm Clustering & Overlay Networks	Cụm máy chủ điều phối có sẵn Docker Swarm, Manager nodes, Worker nodes, Services và Stacks.	DOCKER_SWARM_CLUSTERING	Docker Swarm, Swarm mode, Manager, Worker, Overlay network, docker stack deploy		"{""icon"": ""code""}"
DEVCONTAINERS_IDE_INTEGRATION	Development Containers & IDE Workspace Isolation	Môi trường phát triển nhất quán lập trình viên bằng DevContainers (.devcontainer.json).	DEVELOPMENT_CONTAINERIZATION_DEVCONTAINERS	devcontainers, .devcontainer.json, VS Code, workspace isolation, Remote-Containers		"{""icon"": ""code""}"
HEALTHCHECK_SELF_HEALING_CONCEPT	Container Healthchecks & Self-Healing Supervision	Tự động phát hiện và phục hồi container bị lỗi bằng HEALTHCHECK và restart policies.	CONTAINER_HEALTHCHECK_SELF_HEALING	HEALTHCHECK, restart policy, always, unless-stopped, self-healing, liveness probe		"{""icon"": ""code""}"
CONTAINER_RESOURCE_PRUNING	Resource Garbage Collection & System Pruning Engines	Dọn dẹp tài nguyên thừa, xóa container/image/volume bị rác bằng docker system prune.	CONTAINER_CLEANUP_RESOURCE_PRUNING	docker system prune, image prune, volume prune, dangling images, garbage collection		"{""icon"": ""code""}"
CONTAINER_CI_CD_PIPELINES	CI/CD Automation Pipelines & Image Build Actions	Tự động hóa xây dựng và kiểm thử tệp hình ảnh container trong GitHub Actions / GitLab CI.	CONTAINER_CI_CD_AUTOMATION	CI/CD, GitHub Actions, build-push-action, Docker layer caching, automated testing		"{""icon"": ""code""}"
OCI_SPECIFICATION_RUNTIMES	Open Container Initiative Specifications & Low-Level Runtimes	Chuẩn giao tiếp container OCI specifications, runc, containerd và CRI (Container Runtime Interface).	CONTAINER_RUNTIME_SPEC_OCI	OCI, runc, containerd, CRI, Podman, Skopeo, Buildah, low-level runtime		"{""icon"": ""code""}"
