code	name	description	topic_codes	keywords	cs2023_ka_mapping	metadata
PRIMITIVE_TYPE_ANNOTATIONS	Primitive Data Types & Annotations	Hệ thống kiểu dữ liệu thô nguyên thủy và chú thích kiểu.	PRIMITIVE_TYPES_SYSTEM	number, string, boolean, symbol, bigint, null, undefined, primitive		"{""icon"": ""code""}"
INTERFACE_TYPE_CONTRACTS	Interface Specifications & Object Contracts	Định nghĩa hợp đồng cấu trúc đối tượng bằng interface và type alias.	INTERFACE_CONTRACTS_SYSTEM	interface, type alias, contract, extends, readonly, optional		"{""icon"": ""code""}"
FUNCTION_SIGNATURE_TUPLES	Function Signatures & Fixed Arrays	Khai báo chữ ký hàm, đa hình overloading và mảng cố định Tuple.	FUNCTION_SIGNATURES_TUPLES	functions, tuples, overloading, optional parameters, rest parameters		"{""icon"": ""code""}"
CLASS_OBJECT_ORIENTED_PATTERNS	Class Architecture & Encapsulation	Lập trình hướng đối tượng với lớp, đóng gói và kế thừa trừu tượng.	OBJECT_ORIENTED_PATTERNS	classes, access modifiers, public, private, protected, abstract, implements		"{""icon"": ""code""}"
GENERIC_TYPE_MANIPULATION	Generic Type Parameters & Utility Transformations	Tham số kiểu tổng quát Generics và các bộ biến đổi Utility Types.	GENERIC_PROGRAMMING_UTILITIES	generics, utility types, Partial, Readonly, Pick, Omit, Record, infer		"{""icon"": ""code""}"
STATIC_COMPILER_CONFIGURATION	Compiler Options & Build Configurations	Cấu hình trình biên dịch tsc và tệp cấu hình tsconfig.json.	STATIC_COMPILER_CONFIG	compiler, tsc, tsconfig, strictNullChecks, noImplicitAny, target		"{""icon"": ""code""}"
MODULE_TYPE_DECLARATIONS	Module Resolution & .d.ts Declaration Files	Phân giải module ES6 và tệp khai báo kiểu .d.ts.	MODULE_DECLARATIONS_TYPES	modules, .d.ts, @types, declare module, DefinitelyTyped		"{""icon"": ""code""}"
TYPE_GUARD_NARROWING	Type Guards & Narrowing Expressions	Thu hẹp kiểu dữ liệu và kiểm tra cờ type guards trong luồng thực thi.	TYPE_GUARD_NARROWING_SYSTEM	type guards, typeof, instanceof, is predicate, narrowing		"{""icon"": ""code""}"
MAPPED_CONDITIONAL_TYPES	Mapped Types & Infer Keyword Analysis	Ánh xạ thuộc tính kiểu Mapped Types và kiểu điều kiện Conditional Types.	ADVANCED_MAPPED_CONDITIONAL_TYPES	mapped types, conditional types, infer, keyof, template literal types		"{""icon"": ""code""}"
DECORATOR_METADATA_PATTERNS	Class Decorators & Metadata Reflection	Trang trí phương thức/lớp bằng Decorators và đọc metadata.	DECORATOR_METADATA_REFLECTION	decorators, metadata, reflect-metadata, class decorator, method decorator		"{""icon"": ""code""}"
ENUMS_CONST_ASSERTIONS	Enumerations & Literal Const Assertions	Liệt kê hằng số Enums và khóa giá trị literal với as const.	ENUMS_AND_CONST_ASSERTIONS	enums, const enum, as const, literal types, value assertions		"{""icon"": ""code""}"
ASYNC_ITERATION_GENERATORS	Asynchronous Iterators & Generator Functions	Duyệt dữ liệu bất đồng bộ Async Iterators và hàm sinh Generator.	ASYNC_ITERATION_GENERATORS	async generators, for await of, Symbol.asyncIterator, iterators		"{""icon"": ""code""}"
PROJECT_REFERENCES_MONOREPOS	Project References & Composite Builds	Phân rã dự án lớn bằng Project References và composite build.	TSCONFIG_PROJECT_REFERENCES	project references, composite, solution builder, monorepo, build caching		"{""icon"": ""code""}"
LINTING_FORMATTING_TOOLS	Static Code Analysis & Formatter Integration	Kiểm tra cú pháp tự động linter và định dạng mã nguồn.	LINTING_FORMATTING_INTEGRATION	ESLint, @typescript-eslint, Prettier, code quality, static analysis		"{""icon"": ""code""}"
TESTING_TYPINGS_MOCKING	Typed Unit Testing & Mocking Frameworks	Gán kiểu cho bài kiểm thử đơn vị và hàm giả lập mock.	TESTING_FRAMEWORK_TYPINGS	Jest, Vitest, ts-jest, type-safe mocks, assertions, unit testing		"{""icon"": ""code""}"
PRODUCTION_BUILD_BUNDLING	Production Bundling & Transpilation Pipelines	Đóng gói mã sản xuất và chuyển đổi cú pháp tương thích trình duyệt.	PRODUCTION_BUILD_BUNDLING	Vite, esbuild, tsup, Rollup, Webpack, bundling, tree shaking		"{""icon"": ""code""}"
