code	name	description	lo_type	parent_lo_code	concept_codes
ULO-VARIABLE-DECLARATIONS	Master Variable Declarations and Lexical Scoping	Người học có khả năng giải thích quy tắc khai báo biến let, const và scope.	UNIVERSAL		DYNAMIC_SCRIPTING_VARIABLES
CIO-LEXICAL-SCOPE-RULES	Manage Lexical Scope and Variable Hoisting	Người học có khả năng quản lý phạm vi truy cập biến và cờ hoisting.	CONCEPTUAL_IMPL	ULO-VARIABLE-DECLARATIONS	DYNAMIC_SCRIPTING_VARIABLES
SIO-JS-VAR-LET-CONST	Declare Variables with var, let and const	Người học có khả năng khai báo biến bằng var, let, const trong JavaScript.	SPECIFIC_IMPL	CIO-LEXICAL-SCOPE-RULES	DYNAMIC_SCRIPTING_VARIABLES
SIO-JS-TEMPORAL-DEAD-ZONE	Avoid Temporal Dead Zone Errors	Người học có khả năng xử lý lỗi Temporal Dead Zone với let và const.	SPECIFIC_IMPL	CIO-LEXICAL-SCOPE-RULES	DYNAMIC_SCRIPTING_VARIABLES
SIO-JS-GLOBAL-LOCAL-SCOPE	Isolate Global and Local Function Scope	Người học có khả năng phân biệt phạm vi biến toàn cục và phạm vi hàm.	SPECIFIC_IMPL	CIO-LEXICAL-SCOPE-RULES	DYNAMIC_SCRIPTING_VARIABLES
ULO-DATA-TYPES-COERCION	Master Data Types and Implicit Type Coercion	Người học có khả năng phân tích hệ thống kiểu thô và ép kiểu tự động.	UNIVERSAL		DYNAMIC_SCRIPTING_DATA_TYPES
CIO-TYPE-COERCION-RULES	Handle Dynamic Type Conversion and Equality Checks	Người học có khả năng xử lý các phép so sánh ép kiểu tự động == và ===.	CONCEPTUAL_IMPL	ULO-DATA-TYPES-COERCION	DYNAMIC_SCRIPTING_DATA_TYPES
SIO-JS-TYPEOF-OPERATOR	Inspect Primitive Types with typeof Operator	Người học có khả năng kiểm tra kiểu dữ liệu thô bằng toán tử typeof.	SPECIFIC_IMPL	CIO-TYPE-COERCION-RULES	DYNAMIC_SCRIPTING_DATA_TYPES
SIO-JS-IMPLICIT-TYPE-COERCION	Handle Implicit String and Number Coercion	Người học có khả năng kiểm soát quá trình ép kiểu tự động giữa chuỗi và số.	SPECIFIC_IMPL	CIO-TYPE-COERCION-RULES	DYNAMIC_SCRIPTING_DATA_TYPES
SIO-JS-STRICT-EQUALITY	Compare Values with Strict Equality ===	Người học có khả năng so sánh giá trị và kiểu bằng toán tử strict equality ===.	SPECIFIC_IMPL	CIO-TYPE-COERCION-RULES	DYNAMIC_SCRIPTING_DATA_TYPES
ULO-CONTROL-FLOW-LOOPS	Master Control Flow and Iteration Constructs	Người học có khả năng điều khiển luồng chạy với cấu trúc rẽ nhánh và vòng lặp.	UNIVERSAL		CONTROL_FLOW_ITERATION
CIO-CONDITIONAL-LOOP-PATTERNS	Structure Conditional Branches and Loop Iterations	Người học có khả năng xây dựng cấu trúc điều kiện và duyệt phần tử.	CONCEPTUAL_IMPL	ULO-CONTROL-FLOW-LOOPS	CONTROL_FLOW_ITERATION
