learning_objective_code	prerequisite_lo_code	rationale	source_layer
ULO-2D_3D_TRANSFORMATIONS_MATH-02	ULO-2D_3D_TRANSFORMATIONS_MATH-01	Bloom progression within concept 2D_3D_TRANSFORMATIONS_MATH	L3-LLM
ULO-2D_3D_TRANSFORMATIONS_MATH-03	ULO-2D_3D_TRANSFORMATIONS_MATH-02	Bloom progression within concept 2D_3D_TRANSFORMATIONS_MATH	L3-LLM
ULO-2D_3D_TRANSFORMATIONS_MATH-04	ULO-2D_3D_TRANSFORMATIONS_MATH-03	Bloom progression within concept 2D_3D_TRANSFORMATIONS_MATH	L3-LLM
ULO-ABSTRACTION_LAYERS-02	ULO-ABSTRACTION_LAYERS-01	Bloom progression within concept ABSTRACTION_LAYERS	L3-LLM
ULO-ABSTRACTION_LAYERS-03	ULO-ABSTRACTION_LAYERS-02	Bloom progression within concept ABSTRACTION_LAYERS	L3-LLM
ULO-ABSTRACTION_LAYERS-04	ULO-ABSTRACTION_LAYERS-03	Bloom progression within concept ABSTRACTION_LAYERS	L3-LLM
ULO-ACCESS_MODIFIERS-02	ULO-ACCESS_MODIFIERS-01	Bloom progression within concept ACCESS_MODIFIERS	L3-LLM
ULO-ACCESS_MODIFIERS-03	ULO-ACCESS_MODIFIERS-02	Bloom progression within concept ACCESS_MODIFIERS	L3-LLM
ULO-ACCESS_MODIFIERS-04	ULO-ACCESS_MODIFIERS-03	Bloom progression within concept ACCESS_MODIFIERS	L3-LLM
ULO-ADJUSTMENT_LAYERS-02	ULO-ADJUSTMENT_LAYERS-01	Bloom progression within concept ADJUSTMENT_LAYERS	L3-LLM
ULO-ADJUSTMENT_LAYERS-03	ULO-ADJUSTMENT_LAYERS-02	Bloom progression within concept ADJUSTMENT_LAYERS	L3-LLM
ULO-ADJUSTMENT_LAYERS-04	ULO-ADJUSTMENT_LAYERS-03	Bloom progression within concept ADJUSTMENT_LAYERS	L3-LLM
ULO-AFFORDANCES_SIGNIFIERS-02	ULO-AFFORDANCES_SIGNIFIERS-01	Bloom progression within concept AFFORDANCES_SIGNIFIERS	L3-LLM
ULO-AFFORDANCES_SIGNIFIERS-03	ULO-AFFORDANCES_SIGNIFIERS-02	Bloom progression within concept AFFORDANCES_SIGNIFIERS	L3-LLM
ULO-AFFORDANCES_SIGNIFIERS-04	ULO-AFFORDANCES_SIGNIFIERS-03	Bloom progression within concept AFFORDANCES_SIGNIFIERS	L3-LLM
ULO-AGENTIC_WORKFLOW_ORCHESTRATION-02	ULO-AGENTIC_WORKFLOW_ORCHESTRATION-01	Bloom progression within concept AGENTIC_WORKFLOW_ORCHESTRATION	L3-LLM
ULO-AGENTIC_WORKFLOW_ORCHESTRATION-03	ULO-AGENTIC_WORKFLOW_ORCHESTRATION-02	Bloom progression within concept AGENTIC_WORKFLOW_ORCHESTRATION	L3-LLM
ULO-AGENTIC_WORKFLOW_ORCHESTRATION-04	ULO-AGENTIC_WORKFLOW_ORCHESTRATION-03	Bloom progression within concept AGENTIC_WORKFLOW_ORCHESTRATION	L3-LLM
ULO-AGENT_MEMORY_SYSTEMS-02	ULO-AGENT_MEMORY_SYSTEMS-01	Bloom progression within concept AGENT_MEMORY_SYSTEMS	L3-LLM
ULO-AGENT_MEMORY_SYSTEMS-03	ULO-AGENT_MEMORY_SYSTEMS-02	Bloom progression within concept AGENT_MEMORY_SYSTEMS	L3-LLM
ULO-AGENT_MEMORY_SYSTEMS-04	ULO-AGENT_MEMORY_SYSTEMS-03	Bloom progression within concept AGENT_MEMORY_SYSTEMS	L3-LLM
ULO-AGILE_PRINCIPLES-02	ULO-AGILE_PRINCIPLES-01	Bloom progression within concept AGILE_PRINCIPLES	L3-LLM
ULO-AGILE_PRINCIPLES-03	ULO-AGILE_PRINCIPLES-02	Bloom progression within concept AGILE_PRINCIPLES	L3-LLM
ULO-AGILE_PRINCIPLES-04	ULO-AGILE_PRINCIPLES-03	Bloom progression within concept AGILE_PRINCIPLES	L3-LLM
ULO-AIOT_DATA_PIPELINE-02	ULO-AIOT_DATA_PIPELINE-01	Bloom progression within concept AIOT_DATA_PIPELINE	L3-LLM
ULO-AIOT_DATA_PIPELINE-03	ULO-AIOT_DATA_PIPELINE-02	Bloom progression within concept AIOT_DATA_PIPELINE	L3-LLM
ULO-AIOT_DATA_PIPELINE-04	ULO-AIOT_DATA_PIPELINE-03	Bloom progression within concept AIOT_DATA_PIPELINE	L3-LLM
ULO-AI_ARTIFACT_VERIFICATION_AND_EVALUATION-02	ULO-AI_ARTIFACT_VERIFICATION_AND_EVALUATION-01	Bloom progression within concept AI_ARTIFACT_VERIFICATION_AND_EVALUATION	L3-LLM
ULO-AI_ARTIFACT_VERIFICATION_AND_EVALUATION-03	ULO-AI_ARTIFACT_VERIFICATION_AND_EVALUATION-02	Bloom progression within concept AI_ARTIFACT_VERIFICATION_AND_EVALUATION	L3-LLM
ULO-AI_ARTIFACT_VERIFICATION_AND_EVALUATION-04	ULO-AI_ARTIFACT_VERIFICATION_AND_EVALUATION-03	Bloom progression within concept AI_ARTIFACT_VERIFICATION_AND_EVALUATION	L3-LLM
ULO-AI_BIAS-02	ULO-AI_BIAS-01	Bloom progression within concept AI_BIAS	L3-LLM
ULO-AI_BIAS-03	ULO-AI_BIAS-02	Bloom progression within concept AI_BIAS	L3-LLM
ULO-AI_BIAS-04	ULO-AI_BIAS-03	Bloom progression within concept AI_BIAS	L3-LLM
ULO-AI_GOVERNANCE_AND_RED_TEAMING-02	ULO-AI_GOVERNANCE_AND_RED_TEAMING-01	Bloom progression within concept AI_GOVERNANCE_AND_RED_TEAMING	L3-LLM
ULO-AI_GOVERNANCE_AND_RED_TEAMING-03	ULO-AI_GOVERNANCE_AND_RED_TEAMING-02	Bloom progression within concept AI_GOVERNANCE_AND_RED_TEAMING	L3-LLM
ULO-AI_GOVERNANCE_AND_RED_TEAMING-04	ULO-AI_GOVERNANCE_AND_RED_TEAMING-03	Bloom progression within concept AI_GOVERNANCE_AND_RED_TEAMING	L3-LLM
ULO-AI_HISTORY_MILESTONES-02	ULO-AI_HISTORY_MILESTONES-01	Bloom progression within concept AI_HISTORY_MILESTONES	L3-LLM
ULO-AI_HISTORY_MILESTONES-03	ULO-AI_HISTORY_MILESTONES-02	Bloom progression within concept AI_HISTORY_MILESTONES	L3-LLM
ULO-AI_HISTORY_MILESTONES-04	ULO-AI_HISTORY_MILESTONES-03	Bloom progression within concept AI_HISTORY_MILESTONES	L3-LLM
ULO-AI_VS_ML-02	ULO-AI_VS_ML-01	Bloom progression within concept AI_VS_ML	L3-LLM
ULO-AI_VS_ML-03	ULO-AI_VS_ML-02	Bloom progression within concept AI_VS_ML	L3-LLM
ULO-AI_VS_ML-04	ULO-AI_VS_ML-03	Bloom progression within concept AI_VS_ML	L3-LLM
ULO-ALGORITHMIC_BIAS_SOCIETY-02	ULO-ALGORITHMIC_BIAS_SOCIETY-01	Bloom progression within concept ALGORITHMIC_BIAS_SOCIETY	L3-LLM
ULO-ALGORITHMIC_BIAS_SOCIETY-03	ULO-ALGORITHMIC_BIAS_SOCIETY-02	Bloom progression within concept ALGORITHMIC_BIAS_SOCIETY	L3-LLM
ULO-ALGORITHMIC_BIAS_SOCIETY-04	ULO-ALGORITHMIC_BIAS_SOCIETY-03	Bloom progression within concept ALGORITHMIC_BIAS_SOCIETY	L3-LLM
ULO-ALGORITHMIC_GENERATIVE_ART-02	ULO-ALGORITHMIC_GENERATIVE_ART-01	Bloom progression within concept ALGORITHMIC_GENERATIVE_ART	L3-LLM
ULO-ALGORITHMIC_GENERATIVE_ART-03	ULO-ALGORITHMIC_GENERATIVE_ART-02	Bloom progression within concept ALGORITHMIC_GENERATIVE_ART	L3-LLM
ULO-ALGORITHMIC_GENERATIVE_ART-04	ULO-ALGORITHMIC_GENERATIVE_ART-03	Bloom progression within concept ALGORITHMIC_GENERATIVE_ART	L3-LLM
ULO-API_INTEGRATION-02	ULO-API_INTEGRATION-01	Bloom progression within concept API_INTEGRATION	L3-LLM
ULO-API_INTEGRATION-03	ULO-API_INTEGRATION-02	Bloom progression within concept API_INTEGRATION	L3-LLM
ULO-API_INTEGRATION-04	ULO-API_INTEGRATION-03	Bloom progression within concept API_INTEGRATION	L3-LLM
ULO-APP_EXTENSION_MODEL-02	ULO-APP_EXTENSION_MODEL-01	Bloom progression within concept APP_EXTENSION_MODEL	L3-LLM
