term	aliases	relevance_score	source_chunks	first_extraction_method	category	concept_codes
var		0.95	curriculum:master-tree	curriculum_design	software	VARIABLES_DATA_TYPES
let		0.95	curriculum:master-tree	curriculum_design	software	VARIABLES_DATA_TYPES
const		0.95	curriculum:master-tree	curriculum_design	software	VARIABLES_DATA_TYPES
function		0.95	curriculum:master-tree	curriculum_design	software	FUNCTIONS_PROCEDURES
func		0.95	curriculum:master-tree	curriculum_design	software	FUNCTIONS_PROCEDURES
return		0.95	curriculum:master-tree	curriculum_design	software	FUNCTIONS_PROCEDURES
class		0.95	curriculum:master-tree	curriculum_design	software	OOP
struct		0.95	curriculum:master-tree	curriculum_design	software	OOP
interface		0.95	curriculum:master-tree	curriculum_design	software	OOP
enum		0.95	curriculum:master-tree	curriculum_design	software	OOP
if		0.95	curriculum:master-tree	curriculum_design	software	CONTROL_FLOW
else		0.95	curriculum:master-tree	curriculum_design	software	CONTROL_FLOW
switch		0.95	curriculum:master-tree	curriculum_design	software	CONTROL_FLOW
case		0.95	curriculum:master-tree	curriculum_design	software	CONTROL_FLOW
for		0.95	curriculum:master-tree	curriculum_design	software	ITERATION_LOOPS
while		0.95	curriculum:master-tree	curriculum_design	software	ITERATION_LOOPS
do		0.95	curriculum:master-tree	curriculum_design	software	ITERATION_LOOPS
break		0.95	curriculum:master-tree	curriculum_design	software	CONTROL_FLOW
continue		0.95	curriculum:master-tree	curriculum_design	software	CONTROL_FLOW
async		0.95	curriculum:master-tree	curriculum_design	software	ASYNCHRONOUS_PROG
await		0.95	curriculum:master-tree	curriculum_design	software	ASYNCHRONOUS_PROG
try		0.95	curriculum:master-tree	curriculum_design	software	EXCEPTION_HANDLING
catch		0.95	curriculum:master-tree	curriculum_design	software	EXCEPTION_HANDLING
throw		0.95	curriculum:master-tree	curriculum_design	software	EXCEPTION_HANDLING
finally		0.95	curriculum:master-tree	curriculum_design	software	EXCEPTION_HANDLING
import		0.95	curriculum:master-tree	curriculum_design	software	MODULES
export		0.95	curriculum:master-tree	curriculum_design	software	MODULES
from		0.95	curriculum:master-tree	curriculum_design	software	MODULES
as		0.95	curriculum:master-tree	curriculum_design	software	MODULES
public		0.95	curriculum:master-tree	curriculum_design	software	ENCAPSULATION_ABSTRACTION
private		0.95	curriculum:master-tree	curriculum_design	software	ENCAPSULATION_ABSTRACTION
protected		0.95	curriculum:master-tree	curriculum_design	software	ENCAPSULATION_ABSTRACTION
static		0.95	curriculum:master-tree	curriculum_design	software	OOP
final		0.95	curriculum:master-tree	curriculum_design	software	OOP
abstract		0.95	curriculum:master-tree	curriculum_design	software	ENCAPSULATION_ABSTRACTION
override		0.95	curriculum:master-tree	curriculum_design	software	INHERITANCE_POLY
super		0.95	curriculum:master-tree	curriculum_design	software	INHERITANCE_POLY
this		0.95	curriculum:master-tree	curriculum_design	software	OOP
self		0.95	curriculum:master-tree	curriculum_design	software	OOP
new		0.95	curriculum:master-tree	curriculum_design	software	OOP
null		0.95	curriculum:master-tree	curriculum_design	software	VARIABLES_DATA_TYPES
nil		0.95	curriculum:master-tree	curriculum_design	software	VARIABLES_DATA_TYPES
undefined		0.95	curriculum:master-tree	curriculum_design	software	VARIABLES_DATA_TYPES
