code	name	description	topic_codes	keywords	cs2023_ka_mapping	metadata
COMPONENT_METADATA_DECORATORS	Component Metadata Decorators & View Encapsulation	Kiến trúc linh kiện Angular với @Component decorator, selector, template, styles và View Encapsulation.	COMPONENT_DECORATOR_ARCHITECTURE	@Component, selector, templateUrl, styleUrl, ViewEncapsulation, Emulated, ShadowDom		"{""icon"": ""code""}"
TEMPLATE_DATA_BINDING_DIRECTIVES	Template Binders & Control Flow Directives	Ràng buộc dữ liệu 2 chiều [()] , nội suy {{}}, chỉ thị *ngIf, *ngFor và cú pháp control flow mới @if/@for.	TEMPLATE_DATA_BINDING_DIRECTIVES	interpolation, property binding, event binding, two-way binding, ngIf, ngFor, @if, @for		"{""icon"": ""code""}"
DEPENDENCY_INJECTION_HIERARCHY	Dependency Injection Framework & Injector Hierarchies	Khung tiêm phụ thuộc Dependency Injection (DI), @Injectable, providedIn và hierarchical injectors.	DEPENDENCY_INJECTION_SERVICES	Dependency Injection, @Injectable, providedIn, inject(), Hierarchical Injectors		"{""icon"": ""code""}"
REACTIVE_OBSERVABLE_STREAMS	Observable Streams & Reactive Operator Pipelines	Lập trình phản ứng với RxJS Observables, Subjects, BehaviorSubject và pipe operators.	RXJS_REACTIVE_PROGRAMMING	RxJS, Observable, Subject, BehaviorSubject, map, filter, switchMap, catchError, async pipe		"{""icon"": ""code""}"
FINE_GRAINED_SIGNALS_REACTIVITY	Fine-Grained Signals & Reactive Graph Tracking	Cơ chế phản ứng tinh gọn Angular Signals: signal(), computed(), effect() và model().	SIGNALS_REACTIVE_STATE	Signals, signal, computed, effect, model, fine-grained reactivity, zone-less		"{""icon"": ""code""}"
MODULAR_ROUTING_LAZY_LOAD	Modular Route Configuration & Lazy Loaded Feature Modules	Phân tuyến nâng cao Angular Router, loadComponent lazy loading, route guards và resolvers.	ANGULAR_ROUTER_LAZY_LOADING	Angular Router, provideRouter, loadComponent, CanActivateFn, ResolveFn, dynamic route		"{""icon"": ""code""}"
REACTIVE_FORMS_SCHEMA_VALIDATION	Form Group Aggregation & Custom Schema Validators	Xây dựng biểu mẫu Reactive Forms, FormBuilder, FormGroup, FormControl và custom Validators.	REACTIVE_FORMS_VALIDATION	Reactive Forms, FormGroup, FormControl, FormBuilder, Validators, custom validation		"{""icon"": ""code""}"
HTTP_CLIENT_INTERCEPTOR_PIPELINE	HTTP Client Suite & Functional Request Interceptors	Gửi request HTTP với HttpClient, provideHttpClient, functional interceptors và error handling.	HTTP_CLIENT_INTERCEPTORS	HttpClient, provideHttpClient, withInterceptors, HttpInterceptorFn, HttpHandler		"{""icon"": ""code""}"
CUSTOM_DATA_TRANSFORM_PIPES	Data Formatting Pipes & Pure Transformation Functions	Biến đổi dữ liệu hiển thị trên template bằng Builtin Pipes và Custom Pipes với @Pipe decorator.	CUSTOM_PIPES_DATA_TRANSFORM	Pipes, Builtin Pipes, Custom Pipe, @Pipe, pure pipe, AsyncPipe, DatePipe		"{""icon"": ""code""}"
STRUCTURAL_ATTRIBUTE_DIRECTIVES	Structural Directive Manipulators & Attribute Enhancers	Mở rộng tính năng phần tử HTML bằng Custom Directives với @Directive decorator và ElementRef.	CUSTOM_DIRECTIVES_DOM_MANIPULATION	@Directive, ElementRef, Renderer2, Structural Directives, Attribute Directives, TemplateRef		"{""icon"": ""code""}"
GLOBAL_NGRX_STATE_STORE	Global Redux Stores & Reactive Effects Pipelines	Quản lý trạng thái toàn cục ứng dụng lớn bằng NgRx Store, Actions, Reducers, Effects và Selectors.	NGRX_REDUX_STATE_STORE	NgRx, Store, Actions, Reducers, Effects, Selectors, createSlice, SignalStore		"{""icon"": ""code""}"
NGMODULE_STANDALONE_ARCHITECTURE	NgModule Declarations & Standalone Component Architecture	Tổ chức kiến trúc dự án với NgModule truyền thống hoặc nâng cấp lên Standalone Components.	ANGULAR_MODULES_VS_STANDALONE	NgModule, declarations, imports, exports, bootstrap, Standalone Components, Migration		"{""icon"": ""code""}"
