code	name	description	metadata	created_at	updated_at	concept_codes
KW_VAR	var	Programming token: var (related: variable, declaration, assignment, scope)	"{""source"": ""reference_glossary"", ""related_terms"": [""variable"", ""declaration"", ""assignment"", ""scope"", ""mutable""], ""extracted_at"": ""2026-08-03T12:28:05.420968""}"	2026-08-03T12:28:05.420987	2026-08-03T12:28:05.420988	"[""PRIMITIVE_TYPE_DECLARATION"", ""REFERENCE_TYPE_DECLARATION""]"
KW_LET	let	Programming token: let (related: variable, declaration, assignment, scope)	"{""source"": ""reference_glossary"", ""related_terms"": [""variable"", ""declaration"", ""assignment"", ""scope"", ""block"", ""immutable_binding""], ""extracted_at"": ""2026-08-03T12:28:05.421120""}"	2026-08-03T12:28:05.421127	2026-08-03T12:28:05.421128	"[""PRIMITIVE_TYPE_DECLARATION"", ""REFERENCE_TYPE_DECLARATION"", ""VISUAL_BLOCK_TO_CODE_TRANSITION"", ""COLOR_THEORY_AND_PALETTE_DESIGN""]"
KW_CONST	const	Programming token: const (related: constant, immutable, declaration, assignment)	"{""source"": ""reference_glossary"", ""related_terms"": [""constant"", ""immutable"", ""declaration"", ""assignment"", ""compile_time""], ""extracted_at"": ""2026-08-03T12:28:05.421240""}"	2026-08-03T12:28:05.421244	2026-08-03T12:28:05.421245	"[""PRIMITIVE_TYPE_DECLARATION"", ""REFERENCE_TYPE_DECLARATION"", ""PHYSICS_CONSTRAINTS_CONCEPT""]"
KW_FUNCTION	function	Programming token: function (related: function, declaration, call, parameter)	"{""source"": ""reference_glossary"", ""related_terms"": [""function"", ""declaration"", ""call"", ""parameter"", ""return"", ""signature""], ""extracted_at"": ""2026-08-03T12:28:05.421375""}"	2026-08-03T12:28:05.421378	2026-08-03T12:28:05.421379	"[""PRIMITIVE_TYPE_DECLARATION"", ""REFERENCE_TYPE_DECLARATION"", ""FIRST_CLASS_FUNCTIONS_CONCEPT"", ""IMMUTABILITY_CONCEPT"", ""PARAMETERIZED_QUANTUM_CIRCUITS""]"
KW_FUNC	func	Programming token: func (related: function, declaration, shorthand)	"{""source"": ""reference_glossary"", ""related_terms"": [""function"", ""declaration"", ""shorthand""], ""extracted_at"": ""2026-08-03T12:28:05.421459""}"	2026-08-03T12:28:05.421463	2026-08-03T12:28:05.421464	"[""PRIMITIVE_TYPE_DECLARATION"", ""REFERENCE_TYPE_DECLARATION"", ""FIRST_CLASS_FUNCTIONS_CONCEPT"", ""IMMUTABILITY_CONCEPT""]"
KW_DEF	def	Programming token: def (related: function, definition, python)	"{""source"": ""reference_glossary"", ""related_terms"": [""function"", ""definition"", ""python""], ""extracted_at"": ""2026-08-03T12:28:05.421543""}"	2026-08-03T12:28:05.421546	2026-08-03T12:28:05.421547	"[""CLASS_DEFINITION"", ""FIRST_CLASS_FUNCTIONS_CONCEPT"", ""IMMUTABILITY_CONCEPT""]"
KW_LAMBDA	lambda	Programming token: lambda (related: lambda, anonymous_function, closure, inline)	"{""source"": ""reference_glossary"", ""related_terms"": [""lambda"", ""anonymous_function"", ""closure"", ""inline""], ""extracted_at"": ""2026-08-03T12:28:05.421641""}"	2026-08-03T12:28:05.421644	2026-08-03T12:28:05.421645	"[""FIRST_CLASS_FUNCTIONS_CONCEPT""]"
KW_ARROW	arrow	Programming token: arrow (related: arrow_function, lambda, concise)	"{""source"": ""reference_glossary"", ""related_terms"": [""arrow_function"", ""lambda"", ""concise""], ""extracted_at"": ""2026-08-03T12:28:05.421722""}"	2026-08-03T12:28:05.421725	2026-08-03T12:28:05.421725	"[""FIRST_CLASS_FUNCTIONS_CONCEPT"", ""TYPES_OF_AI""]"
KW_RETURN	return	Programming token: return (related: return, function, value, exit)	"{""source"": ""reference_glossary"", ""related_terms"": [""return"", ""function"", ""value"", ""exit"", ""control_flow""], ""extracted_at"": ""2026-08-03T12:28:05.421836""}"	2026-08-03T12:28:05.421839	2026-08-03T12:28:05.421840	"[""KEY_VALUE_PERSISTENCE"", ""SINGULAR_VALUE_DECOMPOSITION"", ""FIRST_CLASS_FUNCTIONS_CONCEPT"", ""IMMUTABILITY_CONCEPT""]"
KW_PARAMETER	parameter	Programming token: parameter (related: parameter, argument, function, signature)	"{""source"": ""reference_glossary"", ""related_terms"": [""parameter"", ""argument"", ""function"", ""signature"", ""input""], ""extracted_at"": ""2026-08-03T12:28:05.421951""}"	2026-08-03T12:28:05.421954	2026-08-03T12:28:05.421955	"[""FIRST_CLASS_FUNCTIONS_CONCEPT"", ""IMMUTABILITY_CONCEPT"", ""PARAMETERIZED_QUANTUM_CIRCUITS""]"
