code	name	description	topic_codes	keywords	cs2023_ka_mapping	metadata
AUTOMATION_PROGRAMMING_LANGUAGES	Automation Scripting & System Languages	Sử dụng Python, Go, Node.js hoặc Bash để viết script tự động hóa hạ tầng.	PROGRAMMING_LANGUAGE_DEVOPS	Python, Go, Node.js, Bash, PowerShell, automation, scripting		"{""icon"": ""code""}"
OPERATING_SYSTEM_ADMINISTRATION_CONCEPT	OS Kernel & System Administration Engine	Quản trị hệ điều hành Linux (Ubuntu/Debian, CentOS/RHEL), POSIX, systemd và tài nguyên OS.	OPERATING_SYSTEM_ADMINISTRATION	Linux, Ubuntu, Debian, CentOS, RHEL, POSIX, systemd, kernel, OS Administration		"{""icon"": ""code""}"
NETWORKING_PROTOCOLS_SECURITY_CONCEPT	Network Layer Protocols & Security Controls	Các giao thức mạng TCP/IP, UDP, HTTP/HTTPS, DNS resolution, TLS/SSL và Firewalls.	NETWORKING_PROTOCOLS_SECURITY	TCP/IP, UDP, HTTP, HTTPS, DNS, TLS, SSL, SSH, Firewall, iptables, ufw		"{""icon"": ""code""}"
IAC_INFRASTRUCTURE_PROVISIONING	Declarative Infrastructure & State Provisioning	Khởi tạo hạ tầng bằng mã Infrastructure as Code (IaC) với Terraform hoặc OpenTofu.	INFRASTRUCTURE_PROVISIONING_TERRAFORM	Terraform, OpenTofu, IaC, HCL, provider, state file, plan, apply, modules		"{""icon"": ""code""}"
CONFIGURATION_MANAGEMENT_ANSIBLE_CONCEPT	Agentless Configuration & Idempotent Automation	Quản lý cấu hình tự động với Ansible Playbooks, Roles, Inventory và Idempotency.	CONFIGURATION_MANAGEMENT_ANSIBLE	Ansible, Playbook, Inventory, Roles, YAML, agentless, SSH, Idempotency		"{""icon"": ""code""}"
CONTINUOUS_INTEGRATION_DELIVERY	Automated Build Pipelines & Continuous Delivery	Tự động hóa tích hợp và triển khai liên tục CI/CD bằng GitHub Actions, GitLab CI, Jenkins.	CI_CD_PIPELINE_ORCHESTRATION	CI/CD, GitHub Actions, GitLab CI, Jenkins, pipelines, build, test, deploy, artifacts		"{""icon"": ""code""}"
CONTAINER_RUNTIME_PACKAGING	Container Packaging & Runtime Isolation Engine	Đóng gói ứng dụng container bằng Docker, Containerd, Dockerfiles và Multi-Stage Builds.	CONTAINERIZATION_ENGINE_DOCKER	Docker, Containerd, Dockerfile, Containerization, OCI, multi-stage		"{""icon"": ""code""}"
CLUSTER_ORCHESTRATION_KUBERNETES	Cluster Container Orchestration & Resource Management	Quản lý và điều phối cụm máy chủ container bằng Kubernetes (k8s), Pods, Deployments, Services, Ingress.	CONTAINER_ORCHESTRATION_KUBERNETES	Kubernetes, k8s, Pods, Deployments, Services, Ingress, kubectl, Helm, HPA		"{""icon"": ""code""}"
CENTRALIZED_LOG_OBSERVABILITY	Log Collection Pipelines & Centralized Search Engines	Thu thập và phân tích nhật ký ghi log bằng ELK Stack (Elasticsearch, Logstash, Kibana) hoặc Grafana Loki.	LOG_AGGREGATION_OBSERVABILITY	ELK Stack, Elasticsearch, Logstash, Kibana, Grafana Loki, Fluentd, Promtail, log aggregation		"{""icon"": ""code""}"
METRICS_MONITORING_ALERTING_CONCEPT	Time-Series Metrics Collection & Alerting Engines	Giám sát chỉ số tài nguyên hệ thống bằng Prometheus và hiển thị bảng điều khiển Grafana.	METRICS_MONITORING_ALERTING	Prometheus, Grafana, PromQL, Alertmanager, time-series metrics, dashboards		"{""icon"": ""code""}"
DISTRIBUTED_TRACING_TELEMETRY_CONCEPT	Distributed Request Tracing & OpenTelemetry Telemetry	Truy vết giao dịch phân tán giữa các microservices bằng OpenTelemetry, Jaeger hoặc Zipkin.	DISTRIBUTED_TRACING_TELEMETRY	OpenTelemetry, Jaeger, Zipkin, distributed tracing, trace ID, span, APM		"{""icon"": ""code""}"
CLOUD_INFRASTRUCTURE_AWS_CONCEPT	Cloud Virtualization & Managed Cloud Infrastructure	Vận hành điện toán đám mây Amazon Web Services (AWS): EC2, S3, RDS, VPC, IAM, EKS.	CLOUD_INFRASTRUCTURE_AWS	AWS, EC2, S3, RDS, VPC, IAM, EKS, Cloud Architecture, Serverless		"{""icon"": ""code""}"
CLOUD_INFRASTRUCTURE_GCP_CONCEPT	Managed Cloud Computing & Kubernetes Engines (GCP)	Vận hành hạ tầng Google Cloud Platform (GCP): GCOMPUTE, GCS, GKE, IAM.	CLOUD_INFRASTRUCTURE_GCP	GCP, Compute Engine, GCS, GKE, Cloud Run, IAM, Google Cloud		"{""icon"": ""code""}"
SERVERLESS_CLOUD_COMPUTING	Event-Driven Serverless & Cloud Function Execution	Lập trình ứng dụng hướng sự kiện Serverless không máy chủ: AWS Lambda, Cloud Functions, Serverless Framework.	CLOUD_NATIVE_SERVERLESS_LAMBDA	Serverless, AWS Lambda, Cloud Functions, Event-Driven, SAM, Serverless Framework		"{""icon"": ""code""}"
SITE_RELIABILITY_ENGINEERING	Service Reliability Metrics & Error Budget Management	Phương pháp luận SRE, chỉ số SLI, SLO, SLA, Error Budget và Chaos Engineering.	SITE_RELIABILITY_ENGINEERING_SRE	SRE, SLI, SLO, SLA, Error Budget, Chaos Engineering, Incident Response, Postmortem		"{""icon"": ""code""}"
SERVICE_MESH_ARCHITECTURE	Service Mesh Control Planes & Sidecar Proxy Networks	Quản lý mạng giao tiếp microservices với Service Mesh (Istio, Linkerd), Sidecar Proxy (Envoy) và Traffic Management.	SERVICE_MESH_ISTIO	Service Mesh, Istio, Linkerd, Envoy Proxy, Sidecar, Traffic Splitting, mTLS		"{""icon"": ""code""}"
SECRETS_MANAGEMENT_VAULT_CONCEPT	Centralized Secret Vaults & Encryption Engines	Quản lý mật khẩu, khóa mã hóa và token an toàn bằng HashiCorp Vault, AWS Secrets Manager.	SECRET_MANAGEMENT_VAULT	HashiCorp Vault, Secrets Manager, encryption, dynamic secrets, key rotation		"{""icon"": ""code""}"
GITOPS_CONTINUOUS_DEPLOYMENT	GitOps Declarative State & Automated Synchronization Engines	Quản lý hạ tầng chuẩn GitOps, tự động đồng bộ trạng thái cluster từ Git bằng ArgoCD hoặc Flux.	GITOPS_ARGO_CD	GitOps, ArgoCD, Flux, Git repository, declarative state, sync, drift detection		"{""icon"": ""code""}"
ARTIFACT_PACKAGE_REGISTRIES	Artifact Storage Repositories & Binary Package Registries	Lưu trữ và phân phối gói phần mềm binary bằng Sonatype Nexus, JFrog Artifactory.	ARTIFACT_REPOSITORY_MANAGEMENT	Nexus, Artifactory, npm registry, Maven, PyPI, Docker registry, artifact management		"{""icon"": ""code""}"
BACKUP_DISASTER_RECOVERY_CONCEPT	Disaster Recovery Systems & High Availability Replication	Chiến lược sao lưu dự phòng (Backup), khôi phục thảm họa (Disaster Recovery) và sẵn sàng cao (High Availability).	BACKUP_DISASTER_RECOVERY	Backup, RPO, RTO, Disaster Recovery, High Availability, Velero, failover		"{""icon"": ""code""}"
CLOUD_COST_OPTIMIZATION_FINOPS	Cloud FinOps Management & Cost Allocation Engines	Tối ưu hóa chi phí điện toán đám mây FinOps, Spot Instances, Savings Plans và Kubecost.	COST_OPTIMIZATION_FINOPS	FinOps, AWS Cost Explorer, Kubecost, Spot Instances, Savings Plans, Reserved Instances		"{""icon"": ""code""}"
REVERSE_PROXY_LOAD_BALANCING	High-Performance Load Balancing & Reverse Proxy Engines	Phân tải hệ thống nâng cao bằng Nginx, HAProxy, Traefik, ALB/NLB.	HIGH_PERFORMANCE_LOAD_BALANCING	Nginx, HAProxy, Traefik, Load Balancing, Reverse Proxy, Layer 4, Layer 7, ALB		"{""icon"": ""code""}"
