code	name	description	category_codes
PYTHON_SYNTAX_VARIABLES	Language Syntax & Variable Assignment	Chủ đề trọng tâm: Language Syntax & Variable Assignment	SOFTWARE_SYSTEMS_ENGINEERING
PYTHON_CONTROL_FLOW_LOOPS	Control Flow & Loop Constructs	Chủ đề trọng tâm: Control Flow & Loop Constructs	SOFTWARE_SYSTEMS_ENGINEERING
PYTHON_DATA_STRUCTURES_LISTS_TUPLES	Lists, Tuples & Sequence Processing	Chủ đề trọng tâm: Lists, Tuples & Sequence Processing	SOFTWARE_SYSTEMS_ENGINEERING
PYTHON_DICTIONARIES_SETS	Dictionaries, Sets & Hash Tables	Chủ đề trọng tâm: Dictionaries, Sets & Hash Tables	SOFTWARE_SYSTEMS_ENGINEERING
PYTHON_FUNCTIONS_ARGUMENTS	Functions, Scope & Argument Unpacking	Chủ đề trọng tâm: Functions, Scope & Argument Unpacking	SOFTWARE_SYSTEMS_ENGINEERING
PYTHON_CLASSES_OBJECT_ORIENTED	Classes, Encapsulation & Inheritance	Chủ đề trọng tâm: Classes, Encapsulation & Inheritance	SOFTWARE_SYSTEMS_ENGINEERING
PYTHON_MODULES_PACKAGES_PIP	Modules, Packages & Virtual Environments	Chủ đề trọng tâm: Modules, Packages & Virtual Environments	SOFTWARE_SYSTEMS_ENGINEERING
PYTHON_FILE_I_O_CONTEXT_MANAGERS	File I/O & Context Managers (with statement)	Chủ đề trọng tâm: File I/O & Context Managers (with statement)	SOFTWARE_SYSTEMS_ENGINEERING
PYTHON_EXCEPTION_HANDLING	Exception Handling & Custom Exceptions	Chủ đề trọng tâm: Exception Handling & Custom Exceptions	SOFTWARE_SYSTEMS_ENGINEERING
PYTHON_ITERATORS_GENERATORS	Iterators, Generators & Yield Engine	Chủ đề trọng tâm: Iterators, Generators & Yield Engine	SOFTWARE_SYSTEMS_ENGINEERING
PYTHON_DECORATORS_METAPROGRAMMING	Decorators & Metaprogramming	Chủ đề trọng tâm: Decorators & Metaprogramming	SOFTWARE_SYSTEMS_ENGINEERING
PYTHON_FASTAPI_WEB_FRAMEWORK	Web Frameworks (FastAPI / Flask / Django)	Chủ đề trọng tâm: Web Frameworks (FastAPI / Flask / Django)	SOFTWARE_SYSTEMS_ENGINEERING
PYTHON_ASYNCIO_CONCURRENCY	Asynchronous I/O & Concurrency (asyncio)	Chủ đề trọng tâm: Asynchronous I/O & Concurrency (asyncio)	SOFTWARE_SYSTEMS_ENGINEERING
PYTHON_DATABASE_ORMS_SQLALCHEMY	Database ORM & SQL Access (SQLAlchemy)	Chủ đề trọng tâm: Database ORM & SQL Access (SQLAlchemy)	SOFTWARE_SYSTEMS_ENGINEERING
PYTHON_TESTING_PYTEST	Automated Testing Suites (pytest)	Chủ đề trọng tâm: Automated Testing Suites (pytest)	SOFTWARE_SYSTEMS_ENGINEERING
PYTHON_DATA_SCIENCE_NUMPY_PANDAS	Data Processing & Analysis (NumPy/Pandas)	Chủ đề trọng tâm: Data Processing & Analysis (NumPy/Pandas)	SOFTWARE_SYSTEMS_ENGINEERING
PYTHON_THREADING_MULTIPROCESSING	Multi-Threading & Multi-Processing	Chủ đề trọng tâm: Multi-Threading & Multi-Processing	SOFTWARE_SYSTEMS_ENGINEERING
PYTHON_DATA_SERIALIZATION_JSON	Data Serialization & Parsing (JSON/YAML/CSV)	Chủ đề trọng tâm: Data Serialization & Parsing (JSON/YAML/CSV)	SOFTWARE_SYSTEMS_ENGINEERING
