code	name	description	subject_codes	keywords	cs2023_ka_mapping	metadata
HARDWARE_COMPONENTS	Hardware Components & Organization	Khám phá các thành phần vật lý cốt lõi của máy tính như CPU, bộ nhớ, thiết bị lưu trữ, và cách chúng được tổ chức để tạo thành một hệ thống hoạt động.	CS_ARCHITECTURE	CPU, RAM, HDD, SSD, peripherals	AR	{"icon": "memory"}
MEMORY_IO_SYSTEMS	Memory and I/O Systems	Nghiên cứu sâu về hệ thống phân cấp bộ nhớ và các cơ chế máy tính tương tác với thiết bị đầu vào/ra, bao gồm polling, interrupts và DMA.	CS_ARCHITECTURE	I/O, memory hierarchy, interrupts, DMA	AR, OS	{"icon": "exchange-alt"}
OS_CONCEPTS	Operating System Concepts	Giới thiệu các khái niệm nền tảng của hệ điều hành, bao gồm cách nó quản lý tài nguyên hệ thống như tiến trình, bộ nhớ và hệ thống tệp.	OPERATING_SYSTEMS	process, thread, virtual memory, file system	OS	{"icon": "window-restore"}
TROUBLESHOOTING	Hardware & Software Troubleshooting	Phát triển các kỹ năng chẩn đoán và giải quyết một cách có hệ thống các sự cố phổ biến liên quan đến cả phần cứng và phần mềm máy tính.	CS_ARCHITECTURE, SW_LIFECYCLE	debugging, diagnostics, problem solving, error handling	SDF, SE	{"icon": "screwdriver-wrench"}
MICROCONTROLLERS	Microcontrollers & Embedded Systems	Lập trình cho các vi điều khiển và hệ thống nhúng, tập trung vào các nền tảng phổ biến và các ràng buộc về tài nguyên và thời gian thực.	PHYSICAL_COMPUTING	Arduino, Raspberry Pi, embedded, real-time	SPD, AR	{"icon": "microchip"}
SENSORS_ACTUATORS	Sensors and Actuators	Tìm hiểu cách sử dụng cảm biến để thu thập dữ liệu từ môi trường vật lý và dùng cơ cấu chấp hành để tạo ra các tác động vật lý.	PHYSICAL_COMPUTING	sensors, actuators, input, output, motors, servos	GIT, SPD	{"icon": "tachometer-alt"}
ROBOTICS_FUNDAMENTALS	Robotics Fundamentals	Cung cấp các nguyên tắc cơ bản về thiết kế cơ khí, động học, lập trình và hệ thống điều khiển cho robot.	PHYSICAL_COMPUTING, AI_ML	robotics, kinematics, control systems, ROS	AI, SPD	{"icon": "robot"}
MECHANICAL_SYSTEMS	Mechanical Systems	Giới thiệu các nguyên tắc về cơ cấu, truyền động và các thành phần cơ khí đơn giản làm nền tảng cho robotics và các hệ thống cơ điện tử.	PHYSICAL_COMPUTING	mechanics, gears, levers, drivetrain	SPD	{"icon": "cogs"}
ELECTRONIC_CIRCUITS	Electronic Components & Circuits	Cung cấp kiến thức nền tảng về các linh kiện điện tử cơ bản và nguyên tắc thiết kế mạch, cần thiết cho việc xây dựng các hệ thống vật lý.	PHYSICAL_COMPUTING	electronics, circuits, resistors, capacitors, logic gates	AR	{"icon": "bolt"}
NETWORK_PROTOCOLS	Network Protocols and Layers	Nghiên cứu mô hình phân lớp mạng (OSI, TCP/IP) và các giao thức ở mỗi tầng, từ tầng vật lý đến tầng ứng dụng.	NETWORKING	TCP/IP, OSI model, HTTP, DNS, protocols	NC	{"icon": "layer-group"}
