theme,REFERENCE_covers,REFERENCE_band_range,Next Generation Science Standards_covers,Next Generation Science Standards_band_range,CSTA K-12 Computer Science Standards_covers,CSTA K-12 Computer Science Standards_band_range,UNESCO ICT Competency Framework for Teachers_covers,UNESCO ICT Competency Framework for Teachers_band_range,OECD PISA 2025/2028 Frameworks_covers,OECD PISA 2025/2028 Frameworks_band_range
Algorithms & Complexity,yes,"Secondary–Secondary",yes,"Secondary–Secondary",yes,"Secondary–Secondary",no,"—",no,"—"
Artificial Intelligence & Machine Learning,yes,"Secondary–Secondary",yes,"Secondary–Secondary",yes,"Secondary–Secondary",no,"—",no,"—"
Cloud & Distributed Systems,yes,"Secondary–Secondary",no,"—",yes,"Secondary–Secondary",no,"—",no,"—"
Computational Thinking,yes,"Secondary–Secondary",yes,"Secondary–Secondary",yes,"Secondary–Secondary",no,"—",no,"—"
Computer Systems & Architecture,yes,"Secondary–Secondary",no,"—",yes,"Secondary–Secondary",no,"—",no,"—"
Crosscutting Concepts,yes,"Secondary–Secondary",yes,"Secondary–Secondary",yes,"Secondary–Secondary",no,"—",no,"—"
Cybersecurity,yes,"Secondary–Secondary",yes,"Secondary–Secondary",no,"—",no,"—",no,"—"
Data & Information,yes,"Secondary–Secondary",yes,"Secondary–Secondary",yes,"Secondary–Secondary",no,"—",no,"—"
Data Science & Analytics,yes,"Secondary–Secondary",yes,"Secondary–Secondary",yes,"Secondary–Secondary",no,"—",no,"—"
Digital Citizenship & Ethics,yes,"Secondary–Secondary",yes,"Secondary–Secondary",yes,"Secondary–Secondary",no,"—",no,"—"
Digital Literacy & Collaboration,yes,"Secondary–Secondary",no,"—",no,"—",no,"—",yes,"Secondary–Secondary"
Engineering Design Practices,yes,"Secondary–Secondary",no,"—",no,"—",no,"—",no,"—"
Game Development & Interactive Media,yes,"Secondary–Secondary",no,"—",no,"—",no,"—",no,"—"
General Computing,yes,"Secondary–Secondary",no,"—",yes,"Secondary–Secondary",no,"—",no,"—"
Human-Computer Interaction,yes,"Secondary–Secondary",yes,"Secondary–Secondary",yes,"Secondary–Secondary",no,"—",no,"—"
Networks & Communication,yes,"Secondary–Secondary",no,"—",yes,"Secondary–Secondary",no,"—",no,"—"
Physical Computing & Robotics,yes,"Secondary–Secondary",no,"—",no,"—",no,"—",no,"—"
Programming Fundamentals,yes,"Secondary–Secondary",yes,"Secondary–Secondary",yes,"Secondary–Secondary",no,"—",no,"—"
Science & Engineering Practices,yes,"Secondary–Secondary",yes,"Secondary–Secondary",yes,"Secondary–Secondary",no,"—",yes,"Secondary–Secondary"
Societal Impact of Technology,yes,"Secondary–Secondary",no,"—",yes,"Secondary–Secondary",no,"—",no,"—"
Software Engineering,yes,"Secondary–Secondary",yes,"Secondary–Secondary",yes,"Secondary–Secondary",no,"—",no,"—"
Web & Mobile Development,yes,"Secondary–Secondary",yes,"Secondary–Secondary",yes,"Secondary–Secondary",no,"—",no,"—"
