code	name	description	topic_codes	keywords	cs2023_ka_mapping	metadata
SERVER_RUNTIME_FUNDAMENTALS	Server Runtime Architecture & Execution Engine	Kiến trúc môi trường thực thi server, sự khác biệt so với trình duyệt web và luồng chạy mã nguồn.	SERVER_RUNTIME_FUNDAMENTALS	Runtime engine, V8, non-blocking I/O, server environment		"{""icon"": ""server""}"
MODULE_SYSTEMS_AND_RESOLUTION	Module System Architecture & Specification	Cơ chế nạp module CommonJS và ES Modules, phạm vi biến toàn cục và phân giải module.	MODULE_SYSTEMS_AND_RESOLUTION	CommonJS, ESM, require, import, global scope, creating & importing		"{""icon"": ""cubes""}"
PACKAGE_DEPENDENCY_MANAGEMENT	Package Dependency & Workspace Management	Quản lý thư viện phụ thuộc, cài đặt cục bộ/toàn cục, Semantic Versioning và workspaces.	PACKAGE_DEPENDENCY_MANAGEMENT	npm, semver, lockfile, workspaces, package.json, updating packages, running scripts, creating packages		"{""icon"": ""cogs""}"
ASYNC_EVENT_DRIVEN_PROGRAMMING	Asynchronous Event Loop & Event-Driven Engine	Vòng lặp sự kiện Event Loop, các pha microtask/macrotask, Promises, async/await và EventEmitter.	ASYNC_EVENT_DRIVEN_PROGRAMMING	Event Loop, EventEmitter, Promises, async/await, setImmediate, nextTick, callbacks, setTimeout, setInterval		"{""icon"": ""sync""}"
FILE_SYSTEM_I_O_OPERATIONS	File System I/O & Path Resolution Engine	Đọc ghi tệp tin bất đồng bộ, làm việc với đường dẫn hệ điều hành và lắng nghe sự kiện thay đổi file.	FILE_SYSTEM_I_O_OPERATIONS	fs, path, __dirname, __filename, process.cwd, chokidar, globby, fs-extra		"{""icon"": ""folder-open""}"
CLI_INTERACTIVE_APPLICATIONS	CLI Application Architecture & Process Streams	Xây dựng ứng dụng dòng lệnh CLI, đọc tham số truyền vào, xử lý biến môi trường và stream đầu vào/ra.	CLI_INTERACTIVE_APPLICATIONS	process.env, process.argv, stdin, stdout, CLI prompts, exit codes		"{""icon"": ""terminal""}"
WEB_APIS_ROUTING_AUTHENTICATION	Web API Routing, Middleware & Authentication Architecture	Xây dựng web API, phân tuyến đường dẫn, chuỗi middleware xử lý và các cơ chế xác thực JWT/Session.	WEB_APIS_ROUTING_AUTHENTICATION	Routing, Middleware, Express, NestJS, Fastify, JWT, OAuth, Sessions, jsonwebtoken, passport.js		"{""icon"": ""network-wired""}"
HOT_RELOAD_DEVELOPMENT_WATCHERS	Development Environment Hot Reloading & Process Watching	Tự động phát hiện thay đổi mã nguồn và nạp lại tiến trình server trong môi trường phát triển.	HOT_RELOAD_DEVELOPMENT_WATCHERS	Nodemon, watch mode, dev server, hot reload		"{""icon"": ""redo""}"
SERVER_SIDE_TEMPLATE_ENGINES	Server-Side Template Rendering & Dynamic Views	Cơ chế biên dịch và hiển thị giao diện HTML động từ server bằng các công cụ template engine.	SERVER_SIDE_TEMPLATE_ENGINES	Template engine, SSR, EJS, Pug, Handlebars, view rendering		"{""icon"": ""file-code""}"
PERSISTENT_DATABASE_INTEGRATION	Persistent Data Access & Relational/NoSQL ORM Mapping	Kết nối và truy vấn CSDL quan hệ SQL, NoSQL và thao tác qua lớp ánh xạ đối tượng ORM/ODM.	PERSISTENT_DATABASE_INTEGRATION	PostgreSQL, MongoDB, Redis, Prisma, TypeORM, Mongoose, Drizzle, Sequelize		"{""icon"": ""database""}"
AUTOMATED_TESTING_FRAMEWORKS	Automated Testing Suites & Integration Test Runners	Tự động hóa kiểm thử đơn vị, kiểm thử API integration và giả lập dữ liệu test.	AUTOMATED_TESTING_FRAMEWORKS	Jest, Vitest, Supertest, assertion, test suite, mocking, Playwright, Cypress		"{""icon"": ""vial""}"
STRUCTURED_APPLICATION_LOGGING	Structured Logging & Application Observability Pipelines	Ghi log ứng dụng theo định dạng cấu hình JSON, đo đạc thời gian request và phân tích nhật ký.	STRUCTURED_APPLICATION_LOGGING	Pino, Winston, Morgan, structured logging, HTTP logs, APM		"{""icon"": ""list-alt""}"
PROCESS_MANAGEMENT_SUPERVISION	Process Supervision, Clustering & Production Lifecycles	Quản lý tiến trình server trên sản xuất, tự động phục hồi crash và nhân bản tiến trình đa nhân CPU.	PROCESS_MANAGEMENT_SUPERVISION	PM2, Cluster mode, process supervisor, systemd, uptime		"{""icon"": ""tasks""}"
MULTI_THREADING_CONCURRENCY	Multi-Threading Concurrency & Child Process Execution	Tối ưu hiệu năng bằng Worker Threads đa luồng và khởi tạo tiến trình con Child Process.	MULTI_THREADING_CONCURRENCY	Worker Threads, child_process, exec, spawn, fork, IPC		"{""icon"": ""project-diagram""}"
STREAM_DATA_PIPELINES_BUFFERS	Stream Data Processing & Binary Buffer Memory	Truyền nạp dữ liệu dung lượng lớn theo luồng Stream và quản lý bộ nhớ đệm nhị phân Buffer.	STREAM_DATA_PIPELINES_BUFFERS	Readable, Writable, Transform, Buffer, pipe, pipeline		"{""icon"": ""stream""}"
RUNTIME_INSPECTOR_DEBUGGING	Runtime Inspector Debugging & Performance Profiling	Kết nối debugger gỡ lỗi từng dòng lệnh, phân tích vết callstack và đo đạc bộ nhớ memory heap.	RUNTIME_INSPECTOR_DEBUGGING	Inspector, DevTools, debug, callstack, heap snapshot, Garbage Collection		"{""icon"": ""bug""}"
BUILTIN_SYSTEM_UTILITIES	Builtin System Utilities & Cryptography Operations	Các hàm tiện ích hệ thống, mã hóa mật mã hash/cipher, và thông số phần cứng hệ điều hành.	BUILTIN_SYSTEM_UTILITIES	crypto, os, util, url, zlib, hash, encryption		"{""icon"": ""key""}"
ROBUST_ERROR_HANDLING_EXCEPTIONS	Robust Error Handling & Async Exception Isolation	Bắt và xử lý ngoại lệ ứng dụng, bắt lỗi bất đồng bộ và xử lý sự kiện uncaughtException.	ROBUST_ERROR_HANDLING_EXCEPTIONS	Error handling, exceptions, stack trace, uncaughtException, rejection		"{""icon"": ""exclamation-triangle""}"
