code	name	description	topic_codes	keywords	cs2023_ka_mapping	metadata
DYNAMIC_SCRIPTING_VARIABLES	Variable Declarations & Lexical Scope	Nguyên lý khai báo biến var, let, const và scope tĩnh.	JS_SYNTAX_VARIABLES	var, let, const, hoisting, lexical scope, temporal dead zone		"{""icon"": ""code""}"
DYNAMIC_SCRIPTING_DATA_TYPES	Data Types & Dynamic Type Conversion	Các kiểu dữ liệu thô primitive và cơ chế ép kiểu tự động.	JS_PRIMITIVE_OBJECT_TYPES	string, number, boolean, symbol, bigint, null, undefined, typeof, type coercion		"{""icon"": ""code""}"
CONTROL_FLOW_ITERATION	Control Flow & Loop Iterators	Cấu trúc điều kiện if/else, switch và các vòng lặp for/while.	JS_CONTROL_FLOW_LOOPS	if else, switch, for loop, while, break, continue, do while		"{""icon"": ""code""}"
FUNCTIONS_CLOSURE_PATTERNS	First-Class Functions & Lexical Closures	Hàm bậc cao first-class functions, arrow functions và cơ chế Closure.	JS_FUNCTIONS_CLOSURES	functions, arrow functions, closures, higher-order functions, callbacks, IIFE		"{""icon"": ""code""}"
OBJECTS_PROTOTYPE_CHAIN	Object Literals & Prototype Inheritance	Cấu trúc đối tượng object literals, kế thừa qua chuỗi prototype chain.	JS_OBJECTS_PROTOTYPES	objects, prototype chain, Object.create, __proto__, inheritance, hasOwnProperty		"{""icon"": ""code""}"
CLASS_SYNTAX_ENCAPSULATION	Class Syntax & Object Encapsulation	Cú pháp class ES6, constructor, kế thừa extends và phương thức static.	JS_CLASSES_OOP	classes, constructor, extends, super, static methods, getters, setters		"{""icon"": ""code""}"
ARRAY_COLLECTION_PROCESSING	Array Methods & Collection Transformations	Thao tác trên mảng dữ liệu với các hàm biến đổi mảng functional.	JS_ARRAYS_COLLECTIONS	arrays, map, filter, reduce, find, forEach, slice, splice, Set, Map		"{""icon"": ""code""}"
ASYNC_CALLBACKS_PROMISES	Asynchronous Callbacks & Promise Lifecycle	Xử lý tác vụ bất đồng bộ qua callback, Promise states và chuỗi .then().	JS_ASYNC_CALLBACKS_PROMISES	async, callbacks, promises, then, catch, finally, Promise.all, Promise.race		"{""icon"": ""code""}"
ASYNC_AWAIT_ERROR_HANDLING	Async/Await Syntax & Exception Catching	Cú pháp async/await đơn giản hóa lập trình bất đồng bộ và bắt lỗi try/catch.	JS_ASYNC_AWAIT_SYNTAX	async/await, try catch, async functions, error handling, unhandled rejection		"{""icon"": ""code""}"
DOM_EVENTS_PROPAGATION	DOM Tree Mutators & Event Delegation	Truy vấn, thay đổi node DOM và quản lý sự kiện lan truyền (bubbling/capturing).	JS_DOM_MANIPULATION_EVENTS	DOM, querySelector, addEventListener, event bubbling, event delegation, target		"{""icon"": ""code""}"
BROWSER_STORAGE_WEB_APIS	Web Storage & Browser Native APIs	Lưu trữ dữ liệu client với LocalStorage, SessionStorage, IndexedDB và Fetch API.	JS_BROWSER_WEB_APIS	fetch API, localStorage, sessionStorage, cookies, XMLHttpRequest, Navigator		"{""icon"": ""code""}"
ES6_DESTRUCTURING_SPREAD	Modern ES6 Syntax & Destructuring Assignments	Cú pháp ES6+ nâng cao: Destructuring, Spread/Rest operators, Template Literals.	JS_ES6_MODERN_FEATURES	destructuring, spread operator, rest operator, template literals, default parameters		"{""icon"": ""code""}"
ES_MODULES_PACKAGING	ES Modules Specification & Code Packaging	Đóng gói mã nguồn theo chuẩn ES Modules (import/export) và phân giải module.	JS_MODULES_IMPORT_EXPORT	import, export, default export, named export, dynamic import, ES modules		"{""icon"": ""code""}"
MEMORY_GARBAGE_COLLECTION	Memory Allocation & Garbage Collection Engine	Cơ chế cấp phát bộ nhớ RAM, tham chiếu đối tượng và thuật toán Mark-and-Sweep.	JS_MEMORY_GARBAGE_COLLECTION	memory leak, heap, stack, garbage collection, mark and sweep, memory allocation		"{""icon"": ""code""}"
ERROR_HANDLING_INSPECTOR	Exception Handling & Browser Inspector Debugging	Xử lý lỗi hệ thống, tạo ngoại lệ custom và gỡ lỗi bằng Chrome DevTools.	JS_ERROR_HANDLING_DEBUGGING	Error class, try catch, stack trace, breakpoints, DevTools, debugger statement		"{""icon"": ""code""}"
REGULAR_EXPRESSIONS_PATTERNS	RegExp Engine & Pattern Matching Algorithms	Xây dựng biểu thức chính quy RegExp để tìm kiếm, kiểm tra và thay thế chuỗi.	JS_REGULAR_EXPRESSIONS	RegExp, regex, test, exec, match, replace, pattern matching, quantifiers		"{""icon"": ""code""}"
AUTOMATED_UNIT_TESTING	Unit Testing Frameworks & Assertion Engines	Tự động hóa kiểm thử đơn vị, kiểm thử giao diện và giả lập dữ liệu test.	JS_TESTING_UNIT_INTEGRATION	Jest, Vitest, Cypress, unit test, assertions, mocking, expect, test suite		"{""icon"": ""code""}"
BUILD_TOOLS_BUNDLERS	Module Bundling & Transpilation Pipelines	Đóng gói mã nguồn, dịch ngược cú pháp Babel và tối ưu tài nguyên web.	JS_BUILD_TOOLS_BUNDLERS	Webpack, Vite, Rollup, Parcel, esbuild, Babel, bundling, minification		"{""icon"": ""code""}"
