code	name	description	topic_codes	keywords	cs2023_ka_mapping	metadata
DYNAMIC_INTERPRETED_VARIABLES	Variable Assignments & Dynamic Scope	Khai báo biến, kiểu dữ liệu thô (int, float, str, bool) và quy tắc đặt tên PEP 8.	PYTHON_SYNTAX_VARIABLES	python, variables, int, float, str, bool, type, casting, PEP 8		"{""icon"": ""code""}"
DYNAMIC_CONTROL_FLOW_LOOPS	Conditional Branching & Loop Iterators	Cấu trúc điều kiện if/elif/else, vòng lặp for, while, break, continue và range().	PYTHON_CONTROL_FLOW_LOOPS	if, elif, else, for, while, break, continue, range, pass		"{""icon"": ""code""}"
SEQUENCE_DATA_STRUCTURES	Sequence Collections & Immutable Tuples	Mảng dữ liệu List, mảng bất biến Tuple, slicing [::] và các phương thức xử lý mảng.	PYTHON_DATA_STRUCTURES_LISTS_TUPLES	list, tuple, indexing, slicing, append, pop, extend, count, index		"{""icon"": ""code""}"
HASH_TABLE_MAPPINGS	Dictionary Mappings & Unique Set Collections	Cấu trúc từ điển Dictionary (key-value), Tập hợp Set (độc nhất) và các phép toán tập hợp.	PYTHON_DICTIONARIES_SETS	dict, set, keys, values, items, get, union, intersection, difference		"{""icon"": ""code""}"
FUNCTIONAL_ABSTRACTION_ARGS	Function Abstractions & Dynamic Argument Unpacking	Định nghĩa hàm def, tham số mặc định, *args, **kwargs, lambda và LEGB scope rules.	PYTHON_FUNCTIONS_ARGUMENTS	def, return, args, kwargs, lambda, scope, LEGB, global, nonlocal		"{""icon"": ""code""}"
CLASS_OBJECT_ORIENTED_PYTHON	Class Abstractions & Special Dunder Methods	Lập trình hướng đối tượng với class, __init__, dunder methods (__str__, __repr__), kế thừa và property.	PYTHON_CLASSES_OBJECT_ORIENTED	class, __init__, self, inheritance, dunder methods, super, @property		"{""icon"": ""code""}"
MODULE_PACKAGING_ENVIRONMENTS	Module Resolution & Virtual Environment Isolation	Tổ chức module (import, from), packages (__init__.py), venv/poetry và npm/pip dependencies.	PYTHON_MODULES_PACKAGES_PIP	import, from, module, package, __init__.py, venv, virtualenv, poetry, pip		"{""icon"": ""code""}"
FILE_SYSTEM_CONTEXT_MANAGERS	File I/O Streams & Safe Context Managers	Đọc ghi tệp tin bất đồng bộ, mở file với open(), context managers (with statement) và custom __enter__/__exit__.	PYTHON_FILE_I_O_CONTEXT_MANAGERS	open, read, write, with statement, context manager, __enter__, __exit__, pathlib		"{""icon"": ""code""}"
EXCEPTION_HANDLING_ISOLATION	Exception Isolation & Custom Error Subclasses	Bắt và khoanh vùng ngoại lệ hệ thống try/except/else/finally, raise và custom Exceptions.	PYTHON_EXCEPTION_HANDLING	try, except, else, finally, raise, Exception, custom errors, traceback		"{""icon"": ""code""}"
ITERATION_GENERATOR_YIELD	Iterative Protocols & Generator Yield Engines	Giao diện Iterator (__iter__, __next__), hàm sinh Generator (yield) và Generator Expressions.	PYTHON_ITERATORS_GENERATORS	iterator, iterable, __iter__, __next__, generator, yield, generator expressions		"{""icon"": ""code""}"
DECORATORS_METAPROGRAMMING_CONCEPT	Function Decorators & Metaclass Transformation	Bọc hàm xử lý bằng Decorators (@functools.wraps), nhận tham số và Metaclasses.	PYTHON_DECORATORS_METAPROGRAMMING	decorator, @wraps, functools, metaclass, __call__, closure, metaprogramming		"{""icon"": ""code""}"
WEB_FRAMEWORK_ROUTING_FASTAPI	Web Routing & Dependency Injection Frameworks	Xây dựng Web API tốc độ cao bằng FastAPI, Pydantic data schemas, Uvicorn server và REST endpoints.	PYTHON_FASTAPI_WEB_FRAMEWORK	FastAPI, Flask, Django, Pydantic, Uvicorn, REST API, endpoints, routing, OpenAPI		"{""icon"": ""code""}"
ASYNCIO_EVENT_LOOP_CONCURRENCY	Asynchronous Event Loops & Concurrent Coroutines	Lập trình bất đồng bộ không chặn I/O với asyncio, async/await, event loop, tasks và gather.	PYTHON_ASYNCIO_CONCURRENCY	asyncio, async, await, event loop, Task, gather, Future, concurrency		"{""icon"": ""code""}"
DATABASE_ACCESS_SQLALCHEMY_ORM	Object-Relational Mapping & Declarative Databases	Kết nối và truy vấn CSDL quan hệ SQL qua SQLAlchemy ORM, Engine, Session và Alembic migrations.	PYTHON_DATABASE_ORMS_SQLALCHEMY	SQLAlchemy, ORM, Engine, Session, DeclarativeBase, Alembic, SQLite, PostgreSQL		"{""icon"": ""code""}"
AUTOMATED_TESTING_PYTEST_CONCEPT	Automated Unit Testing & Test Fixture Engines	Tự động hóa kiểm thử đơn vị mã nguồn Python bằng pytest, fixtures, parametrize và assertions.	PYTHON_TESTING_PYTEST	pytest, fixtures, parametrize, assert, mocking, unittest, coverage		"{""icon"": ""code""}"
DATA_SCIENCE_NUMPY_PANDAS_CONCEPT	Array Processing & Dataframe Analysis Engines	Phân tích và biến đổi dữ liệu số với NumPy n-dimensional arrays và Pandas DataFrames.	PYTHON_DATA_SCIENCE_NUMPY_PANDAS	NumPy, Pandas, DataFrame, Series, ndarray, data analysis, cleaning, aggregation		"{""icon"": ""code""}"
MULTI_THREADING_PROCESSING_PYTHON	Thread Concurrency & Parallel Process Execution	Xử lý song song vượt qua rào cản Global Interpreter Lock (GIL) bằng threading và multiprocessing.	PYTHON_THREADING_MULTIPROCESSING	threading, multiprocessing, GIL, Global Interpreter Lock, ProcessPoolExecutor, ThreadPoolExecutor		"{""icon"": ""code""}"
