code	name	description	metadata	created_at	updated_at	concept_codes
KW_VAR	var	Keyword from reference glossary: var (related to: variable, declaration, assignment, scope)	"{""source"": ""reference_glossary"", ""related_concepts"": [""variable"", ""declaration"", ""assignment"", ""scope""], ""extracted_at"": ""2026-08-03T11:55:45.073880""}"	2026-08-03T11:55:45.073897	2026-08-03T11:55:45.073899	"[""CPU_ARCHITECTURE"", ""PRIMITIVE_TYPE_DECLARATION"", ""REFERENCE_TYPE_DECLARATION"", ""STATIC_MEMBERS_CONCEPT"", ""MULTI_AGENT_COOPERATION""]"
KW_LET	let	Keyword from reference glossary: let (related to: variable, declaration, assignment, scope, block)	"{""source"": ""reference_glossary"", ""related_concepts"": [""variable"", ""declaration"", ""assignment"", ""scope"", ""block""], ""extracted_at"": ""2026-08-03T11:55:45.074165""}"	2026-08-03T11:55:45.074171	2026-08-03T11:55:45.074172	"[""CREATIONAL_PATTERNS"", ""PRIMITIVE_TYPE_DECLARATION"", ""REFERENCE_TYPE_DECLARATION"", ""STATIC_MEMBERS_CONCEPT"", ""ASYNCHRONOUS_PROG_CONCEPT"", ""MULTI_AGENT_COOPERATION"", ""VISUAL_BLOCK_TO_CODE_TRANSITION"", ""DECENTRALIZED_LEDGER_CONSENSUS"", ""COLOR_THEORY_AND_PALETTE_DESIGN""]"
KW_CONST	const	Keyword from reference glossary: const (related to: constant, immutable, declaration, assignment)	"{""source"": ""reference_glossary"", ""related_concepts"": [""constant"", ""immutable"", ""declaration"", ""assignment""], ""extracted_at"": ""2026-08-03T11:55:45.074398""}"	2026-08-03T11:55:45.074402	2026-08-03T11:55:45.074403	"[""PRIMITIVE_TYPE_DECLARATION"", ""REFERENCE_TYPE_DECLARATION"", ""OBJECT_INSTANTIATION"", ""PHYSICS_CONSTRAINTS_CONCEPT"", ""MULTI_AGENT_COOPERATION"", ""SPATIAL_COMPUTING_XR_MAPPING"", ""ENGINEERING_DESIGN_CYCLE"", ""PHOTOGRAMMETRY_AND_POINT_CLOUD"", ""ORBITAL_MECHANICS_SATELLITE_MESH""]"
KW_FUNCTION	function	Keyword from reference glossary: function (related to: function, declaration, call, parameter, return)	"{""source"": ""reference_glossary"", ""related_concepts"": [""function"", ""declaration"", ""call"", ""parameter"", ""return"", ""arrow""], ""extracted_at"": ""2026-08-03T11:55:45.074683""}"	2026-08-03T11:55:45.074687	2026-08-03T11:55:45.074688	"[""NEURAL_NETWORKS_BASICS"", ""TYPES_OF_AI"", ""PRIMITIVE_TYPE_DECLARATION"", ""REFERENCE_TYPE_DECLARATION"", ""FIRST_CLASS_FUNCTIONS_CONCEPT"", ""IMMUTABILITY_CONCEPT"", ""EVENT_HANDLERS_CONCEPT"", ""ASYNCHRONOUS_PROG_CONCEPT"", ""PARAMETERIZED_QUANTUM_CIRCUITS""]"
KW_CLASS	class	Keyword from reference glossary: class (related to: class, object, instance, oop, inheritance)	"{""source"": ""reference_glossary"", ""related_concepts"": [""class"", ""object"", ""instance"", ""oop"", ""inheritance"", ""encapsulation""], ""extracted_at"": ""2026-08-03T11:55:45.074975""}"	2026-08-03T11:55:45.074979	2026-08-03T11:55:45.074980	"[""ARDUINO_BASICS"", ""REGRESSION_CLASSIFICATION"", ""OBJECT_PROPERTIES"", ""EVENT_BASED_PROGRAMMING"", ""REFERENCE_TYPE_DECLARATION"", ""FOR_LOOP"", ""WHILE_LOOP"", ""CSS_SELECTORS"", ""CLASS_DEFINITION"", ""OBJECT_INSTANTIATION""]"
KW_STRUCT	struct	Keyword from reference glossary: struct (related to: struct, value_type, data_structure)	"{""source"": ""reference_glossary"", ""related_concepts"": [""struct"", ""value_type"", ""data_structure""], ""extracted_at"": ""2026-08-03T11:55:45.075168""}"	2026-08-03T11:55:45.075171	2026-08-03T11:55:45.075172	"[""FETCH_DECODE_EXECUTE"", ""STRUCTURAL_PATTERNS"", ""ADJUSTMENT_LAYERS"", ""HTML_STRUCTURE"", ""OBJECT_INSTANTIATION"", ""LARGE_LANGUAGE_MODEL_CONCEPTS"", ""PUBLIC_KEY_INFRASTRUCTURE"", ""DURABLE_AGENT_STATE_MANAGEMENT"", ""PATTERN_RECOGNITION_CONCEPT"", ""SPATIAL_COMPUTING_XR_MAPPING""]"
KW_INTERFACE	interface	Keyword from reference glossary: interface (related to: interface, protocol, contract, abstraction)	"{""source"": ""reference_glossary"", ""related_concepts"": [""interface"", ""protocol"", ""contract"", ""abstraction""], ""extracted_at"": ""2026-08-03T11:55:45.075392""}"	2026-08-03T11:55:45.075395	2026-08-03T11:55:45.075396	"[""ABSTRACTION_LAYERS"", ""IOT_PROTOCOLS_MQTT_CONCEPT"", ""FEEDBACK_AND_RESPONSE"", ""TCP_IP_MODEL"", ""MODEL_CONTEXT_PROTOCOL_STANDARD"", ""DECENTRALIZED_LEDGER_CONSENSUS"", ""NEURAL_SIGNAL_DECODING_BCI"", ""QUANTUM_KEY_DISTRIBUTION_QKD""]"
KW_ENUM	enum	Keyword from reference glossary: enum (related to: enum, enumeration, variant, discriminated_union)	"{""source"": ""reference_glossary"", ""related_concepts"": [""enum"", ""enumeration"", ""variant"", ""discriminated_union""], ""extracted_at"": ""2026-08-03T11:55:45.075627""}"	2026-08-03T11:55:45.075630	2026-08-03T11:55:45.075631	[]
KW_IF	if	Keyword from reference glossary: if (related to: conditional, branch, control_flow)	"{""source"": ""reference_glossary"", ""related_concepts"": [""conditional"", ""branch"", ""control_flow""], ""extracted_at"": ""2026-08-03T11:55:45.075812""}"	2026-08-03T11:55:45.075815	2026-08-03T11:55:45.075816	"[""AGILE_PRINCIPLES"", ""VERSION_CONTROL_WORKFLOW"", ""REGRESSION_CLASSIFICATION"", ""AFFORDANCES_SIGNIFIERS"", ""IMAGE_WARPING"", ""IF_ELSE_STATEMENT"", ""SWITCH_CASE"", ""STACK_OPERATIONS"", ""QUEUE_OPERATIONS"", ""PHISHING_IDENTIFICATION""]"
KW_ELSE	else	Keyword from reference glossary: else (related to: conditional, branch, control_flow)	"{""source"": ""reference_glossary"", ""related_concepts"": [""conditional"", ""branch"", ""control_flow""], ""extracted_at"": ""2026-08-03T11:55:45.075998""}"	2026-08-03T11:55:45.076001	2026-08-03T11:55:45.076002	"[""VERSION_CONTROL_WORKFLOW"", ""IF_ELSE_STATEMENT"", ""SWITCH_CASE""]"
