code	name	description	field_codes	keywords	cs2023_ka_mapping	metadata
CS_ARCHITECTURE	Computer Architecture & Organization	Nghiên cứu về thiết kế và tổ chức của các thành phần phần cứng máy tính, bao gồm CPU, hệ thống phân cấp bộ nhớ, và cách chúng tương tác để thực thi các chỉ lệnh.	CSN	CPU, memory hierarchy, digital logic, hardware	AR	{"icon": "microchip"}
OPERATING_SYSTEMS	Operating Systems	Khám phá các nguyên tắc cốt lõi của hệ điều hành, bao gồm quản lý tiến trình, bộ nhớ, hệ thống tệp và cách HĐH cung cấp một lớp trừu tượng giữa phần cứng và ứng dụng.	CSN	OS, process management, virtual memory, concurrency	OS	{"icon": "cogs"}
PHYSICAL_COMPUTING	Physical Computing and Robotics	Tập trung vào việc lập trình các hệ thống tương tác với thế giới vật lý thông qua cảm biến, cơ cấu chấp hành và vi điều khiển, làm nền tảng cho Robotics và các thiết bị nhúng.	CSN, MET	robotics, Arduino, sensors, embedded systems	SPD	{"icon": "robot"}
NETWORKING	Networking and Communication	Bao gồm các nguyên tắc về mạng máy tính, mô hình phân lớp, các giao thức truyền thông và kiến trúc của Internet, đảm bảo việc truyền dữ liệu một cách đáng tin cậy.	CSN	protocols, TCP/IP, routing, Internet	NC	{"icon": "network-wired"}
COMP_THINKING	Computational Thinking & Algorithms	Tập trung vào tư duy giải quyết vấn đề có cấu trúc, thiết kế và phân tích hiệu quả của thuật toán. Đây là nền tảng lý thuyết cho mọi lĩnh vực lập trình và khoa học máy tính.	ASE	problem solving, algorithms, Big O, data structures	AL	{"icon": "lightbulb"}
COMP_MATH	Computational Mathematics	Cung cấp các nền tảng toán học thiết yếu cho khoa học máy tính, bao gồm logic, lý thuyết tập hợp, đồ thị, xác suất và thống kê, làm cơ sở cho thuật toán, AI và phân tích dữ liệu.	ASE, DAI	discrete math, logic, probability, statistics	MSF	{"icon": "calculator"}
PROG_FUNDAMENTALS	Programming Fundamentals	Bao gồm các khái niệm và kỹ năng lập trình cốt lõi, từ biến, kiểu dữ liệu, luồng điều khiển, đến hàm và các cấu trúc dữ liệu cơ bản, giúp xây dựng nền tảng vững chắc cho mọi lập trình viên.	ASE	programming, coding, variables, control flow, functions	SDF	{"icon": "file-code"}
SW_PARADIGMS	Software Paradigms and Design	Khám phá các mô hình lập trình khác nhau (Hướng đối tượng, Hàm, Sự kiện) và các nguyên tắc thiết kế phần mềm, giúp lựa chọn phương pháp tiếp cận phù hợp để xây dựng các hệ thống phức tạp.	ASE	OOP, functional programming, design patterns, architecture	FPL	{"icon": "project-diagram"}
SW_LIFECYCLE	Software Development Lifecycle	Bao quát toàn bộ quy trình kỹ thuật phần mềm, từ thu thập yêu cầu, thiết kế, phát triển, đến kiểm thử, triển khai và bảo trì, nhấn mạnh các phương pháp Agile và DevOps.	ASE	software engineering, Agile, Scrum, testing, version control	SE	{"icon": "tasks"}
WEB_DEV	Web Development	Bao gồm các công nghệ, kiến trúc và kỹ thuật để xây dựng các ứng dụng web hiện đại và tương tác, từ giao diện người dùng (frontend) đến logic máy chủ (backend).	ASE, HCC	HTML, CSS, JavaScript, backend, frontend, API	SPD	{"icon": "globe"}
