Bảng 1: Lĩnh vực (fields)						
Đây là 6 lĩnh vực cấp cao nhất, phân chia toàn bộ không gian tri thức về điện toán.						
						
code	name	description	display_order	keywords	cs2023_ka_mapping	metadata
CSN	Computing Systems and Networks	Bao gồm các nguyên tắc cơ bản, kiến trúc và sự tương tác của phần cứng, hệ điều hành và mạng máy tính. Lĩnh vực này đặt nền móng cho việc hiểu cách các chương trình được thực thi và cách dữ liệu được truyền đi, từ mức logic gate đến hạ tầng mạng toàn cầu.	10	hardware, architecture, operating systems, networks, infrastructure, protocols, systems	AR, OS, NC, SF, PDC	{"icon": "memory", "color": "#2980b9"}
ASE	Algorithms and Software Engineering	Bao gồm tư duy thuật toán để giải quyết vấn đề và các quy trình kỹ thuật để xây dựng phần mềm quy mô lớn, đáng tin cậy. Lĩnh vực này bao quát từ thiết kế giải pháp có cấu trúc, các mô hình lập trình, đến toàn bộ vòng đời phát triển phần mềm.	20	algorithms, software engineering, programming, design patterns, testing, development lifecycle	AL, SDF, FPL, SE	{"icon": "code", "color": "#27ae60"}
DAI	Data and Information	Bao gồm toàn bộ vòng đời của dữ liệu: cách biểu diễn, lưu trữ, quản lý, xử lý, phân tích và trực quan hóa để biến dữ liệu thô thành thông tin và tri thức có giá trị. Lĩnh vực này là nền tảng cho khoa học dữ liệu và các hệ thống dựa trên dữ liệu.	30	data, databases, information, data analysis, visualization, data science, SQL, NoSQL	DM, MSF	{"icon": "database", "color": "#f39c12"}
MET	Specialized Computing Methodologies	Bao gồm các lĩnh vực chuyên sâu và các phương pháp tính toán tiên tiến, nơi Khoa học Máy tính được ứng dụng để giải quyết các vấn đề phức tạp. Các lĩnh vực tiêu biểu bao gồm Trí tuệ Nhân tạo, Đồ họa Máy tính, Điện toán Hiệu năng cao và các nền tảng đặc thù.	40	AI, machine learning, graphics, simulation, distributed systems, IoT, robotics	AI, GIT, SPD, PDC	{"icon": "brain", "color": "#8e44ad"}
HCC	Human-Centered Computing	Bao gồm các nguyên tắc và quy trình thiết kế, xây dựng và đánh giá các hệ thống công nghệ lấy con người làm trung tâm. Lĩnh vực này tập trung vào sự tương tác, trải nghiệm người dùng (UX), giao diện (UI), và đảm bảo khả năng tiếp cận cho mọi đối tượng.	50	HCI, UI, UX, interaction design, user experience, accessibility, usability	HCI	{"icon": "users", "color": "#c0392b"}
IDC	Digital Society and Professional Practice	Bao gồm bối cảnh xã hội, đạo đức, pháp lý và các tác động của công nghệ. Lĩnh vực này trang bị các năng lực cần thiết để trở thành một công dân số và một nhà chuyên môn có trách nhiệm, hiểu rõ về quyền riêng tư, sở hữu trí tuệ và đạo đức nghề nghiệp.	60	ethics, society, professionalism, privacy, security policy, law, digital citizenship	SEP	{"icon": "shield-alt", "color": "#7f8c8d"}
						
Bảng 2: Chủ đề (subjects)						
Mỗi Field được chia nhỏ thành các Subject chuyên biệt hơn. Lưu ý cột field_codes có thể chứa nhiều mã.						
						
code	name	description	field_codes	keywords	cs2023_ka_mapping	metadata
CS_ARCHITECTURE	Computer Architecture & Organization	Nghiên cứu về thiết kế và tổ chức của các thành phần phần cứng máy tính, bao gồm CPU, hệ thống phân cấp bộ nhớ, và cách chúng tương tác để thực thi các chỉ lệnh.	CSN	CPU, memory hierarchy, digital logic, hardware	AR	{"icon": "microchip"}
