code	name	description	lo_type	parent_lo_code	concept_codes
ULO-GRAPHQL-SCHEMA-TYPES	Master Schema Definition Language and Custom Scalar Types	Người học có khả năng giải thích ngôn ngữ SDL và các kiểu dữ liệu trong GraphQL.	UNIVERSAL		GRAPHQL_SCHEMA_TYPE_SYSTEM_CONCEPT
CIO-OBJECT-UNION-INTERFACE-TYPES	Structure Complex Object Types, Interfaces and Unions	Người học có khả năng định nghĩa cấu trúc schema với Object Types, Interfaces và Unions.	CONCEPTUAL_IMPL	ULO-GRAPHQL-SCHEMA-TYPES	GRAPHQL_SCHEMA_TYPE_SYSTEM_CONCEPT
SIO-GRAPHQL-SDL-TYPE-SCALARS	Define Object Types and Builtin Scalars in SDL	Người học có khả năng khai báo Object Types và các kiểu dữ liệu thô (String, Int, ID, Boolean) trong SDL.	SPECIFIC_IMPL	CIO-OBJECT-UNION-INTERFACE-TYPES	GRAPHQL_SCHEMA_TYPE_SYSTEM_CONCEPT
SIO-GRAPHQL-ENUMS-INTERFACES-UNIONS	Create Enums, Interfaces and Union Types	Người học có khả năng khai báo Enum, Interface và kiểu hợp Union trong GraphQL schema.	SPECIFIC_IMPL	CIO-OBJECT-UNION-INTERFACE-TYPES	GRAPHQL_SCHEMA_TYPE_SYSTEM_CONCEPT
SIO-GRAPHQL-CUSTOM-SCALARS-VALIDATE	Create Custom Scalars with Validation Rules	Người học có khả năng tạo Custom Scalar (ví dụ: DateTime) và ràng buộc quy tắc kiểm tra dữ liệu.	SPECIFIC_IMPL	CIO-OBJECT-UNION-INTERFACE-TYPES	GRAPHQL_SCHEMA_TYPE_SYSTEM_CONCEPT
ULO-QUERY-MUTATIONS	Master Declarative Data Queries and State Mutations	Người học có khả năng viết các câu truy vấn lấy dữ liệu Query và cập nhật Mutation.	UNIVERSAL		QUERY_MUTATION_OPERATION_EXECUTOR
CIO-OPERATION-VARIABLE-FRAGMENTS	Structure Operation Variables and Reusable Fragments	Người học có khả năng tái sử dụng cấu trúc trường bằng Fragments và truyền Variables.	CONCEPTUAL_IMPL	ULO-QUERY-MUTATIONS	QUERY_MUTATION_OPERATION_EXECUTOR
SIO-GRAPHQL-QUERY-SELECTIVE-FIELDS	Request Selective Data Fields via Query Operations	Người học có khả năng viết câu lệnh Query yêu cầu chính xác các trường dữ liệu cần thiết.	SPECIFIC_IMPL	CIO-OPERATION-VARIABLE-FRAGMENTS	QUERY_MUTATION_OPERATION_EXECUTOR
SIO-GRAPHQL-MUTATION-PAYLOAD-PARAMS	Execute Mutations with Input Payloads and Arguments	Người học có khả năng gửi thao tác Mutation kèm tham số đầu vào để sửa đổi dữ liệu.	SPECIFIC_IMPL	CIO-OPERATION-VARIABLE-FRAGMENTS	QUERY_MUTATION_OPERATION_EXECUTOR
SIO-GRAPHQL-FRAGMENTS-REUSABLE-SELECTIONS	Reuse Field Selections via Named Fragments	Người học có khả năng tái sử dụng tập hợp trường bằng cú pháp fragment FragmentName on Type.	SPECIFIC_IMPL	CIO-OPERATION-VARIABLE-FRAGMENTS	QUERY_MUTATION_OPERATION_EXECUTOR
ULO-RESOLVER-EXECUTION	Master Resolver Function Pipelines and Context Execution	Người học có khả năng làm chủ luồng thực thi hàm Resolver giải mã truy vấn.	UNIVERSAL		RESOLVER_EXECUTION_ENGINE
CIO-CONTEXT-INJECTION-RESOLVER-LOOKUP	Inject Shared Context and Resolve Nested Fields	Người học có khả năng tiêm ngữ cảnh dùng chung (DB/Auth) vào hàm Resolver.	CONCEPTUAL_IMPL	ULO-RESOLVER-EXECUTION	RESOLVER_EXECUTION_ENGINE
SIO-GRAPHQL-RESOLVER-SIGNATURE-ARGS	Implement Resolver Signatures with (parent, args, context, info)	Người học có khả năng viết hàm Resolver với 4 tham số chuẩn parent, args, context, info.	SPECIFIC_IMPL	CIO-CONTEXT-INJECTION-RESOLVER-LOOKUP	RESOLVER_EXECUTION_ENGINE
SIO-GRAPHQL-NESTED-FIELD-RESOLVERS	Resolve Nested Field Relations Graph	Người học có khả năng giải mã mối quan hệ đối tượng lồng nhau qua các Field Resolvers con.	SPECIFIC_IMPL	CIO-CONTEXT-INJECTION-RESOLVER-LOOKUP	RESOLVER_EXECUTION_ENGINE
SIO-GRAPHQL-DATALOADER-N-PLUS-ONE	Batch Queries and Eliminate N+1 Problem via DataLoader	Người học có khả năng gộp các truy vấn CSDL và triệt tiêu lỗi N+1 bằng DataLoader.	SPECIFIC_IMPL	CIO-CONTEXT-INJECTION-RESOLVER-LOOKUP	RESOLVER_EXECUTION_ENGINE
ULO-REALTIME-SUBSCRIPTIONS	Master Realtime Data Subscriptions and Event Streams	Người học có khả năng lắng nghe dữ liệu thời gian thực với Subscriptions.	UNIVERSAL		REALTIME_SUBSCRIPTION_ENGINE
CIO-EVENT-DRIVEN-PUBSUB-STREAMS	Publish Events and Stream Updates over WebSockets	Người học có khả năng phát sự kiện qua PubSub và truyền luồng qua WebSockets.	CONCEPTUAL_IMPL	ULO-REALTIME-SUBSCRIPTIONS	REALTIME_SUBSCRIPTION_ENGINE
SIO-GRAPHQL-SUBSCRIPTION-DEFINITION	Define Realtime Subscription Types in SDL Schema	Người học có khả năng khai báo Subscription Type trong GraphQL Schema.	SPECIFIC_IMPL	CIO-EVENT-DRIVEN-PUBSUB-STREAMS	REALTIME_SUBSCRIPTION_ENGINE
SIO-GRAPHQL-PUBSUB-EVENT-PUBLISH	Publish Event Notifications via Redis / Memory PubSub	Người học có khả năng phát sự kiện cập nhật bằng PubSub Engine.	SPECIFIC_IMPL	CIO-EVENT-DRIVEN-PUBSUB-STREAMS	REALTIME_SUBSCRIPTION_ENGINE
SIO-GRAPHQL-WS-CLIENT-CONNECT	Establish WebSockets Connection with graphql-ws Transport	Người học có khả năng kết nối luồng Subscription phía client qua transport graphql-ws.	SPECIFIC_IMPL	CIO-EVENT-DRIVEN-PUBSUB-STREAMS	REALTIME_SUBSCRIPTION_ENGINE
ULO-SCHEMA-DIRECTIVES	Master Custom Directives and AST Transformation Engines	Người học có khả năng tự tạo Custom Schema Directives can thiệp vào luồng thực thi.	UNIVERSAL		SCHEMA_DIRECTIVES_AST_TRANSFORMS
CIO-AST-NODE-DIRECTIVE-MODIFIER	Modify AST Field Execution via Directive Visitors	Người học có khả năng thay đổi giá trị trả về của trường qua Directive Visitor.	CONCEPTUAL_IMPL	ULO-SCHEMA-DIRECTIVES	SCHEMA_DIRECTIVES_AST_TRANSFORMS
SIO-GRAPHQL-DEPRECATED-DIRECTIVE-USAGE	Mark Legacy Fields with @deprecated Directive	Người học có khả năng đánh dấu các trường hết hạn sử dụng bằng chỉ thị @deprecated.	SPECIFIC_IMPL	CIO-AST-NODE-DIRECTIVE-MODIFIER	SCHEMA_DIRECTIVES_AST_TRANSFORMS
SIO-GRAPHQL-CUSTOM-AUTH-DIRECTIVE	Enforce Field-Level Access Control via @auth Directive	Người học có khả năng bảo mật chi tiết cấp trường bằng Custom @auth Directive.	SPECIFIC_IMPL	CIO-AST-NODE-DIRECTIVE-MODIFIER	SCHEMA_DIRECTIVES_AST_TRANSFORMS
SIO-GRAPHQL-AST-MAP-SCHEMA	Transform Schema AST Nodes with mapSchema Utilities	Người học có khả năng biến đổi cây cú pháp AST của Schema bằng thư viện @graphql-tools/utils.	SPECIFIC_IMPL	CIO-AST-NODE-DIRECTIVE-MODIFIER	SCHEMA_DIRECTIVES_AST_TRANSFORMS
ULO-APOLLO-SERVER-ENGINE	Master Apollo Server Framework and Middleware Integration	Người học có khả năng xây dựng GraphQL API server bằng Apollo Server.	UNIVERSAL		APOLLO_SERVER_BACKEND_ENGINE
CIO-MIDDLEWARE-PLUGIN-PIPELINE	Attach Middleware Plugins and Error Formatting Pipelines	Người học có khả năng tích hợp plugin middleware và định dạng thông điệp lỗi API.	CONCEPTUAL_IMPL	ULO-APOLLO-SERVER-ENGINE	APOLLO_SERVER_BACKEND_ENGINE
SIO-GRAPHQL-APOLLO-SERVER-STANDALONE	Spin Up Apollo Server Standalone Runtimes	Người học có khả năng khởi tạo GraphQL API server bằng ApolloServer standalone.	SPECIFIC_IMPL	CIO-MIDDLEWARE-PLUGIN-PIPELINE	APOLLO_SERVER_BACKEND_ENGINE
SIO-GRAPHQL-EXPRESS-MIDDLEWARE-INTEGRATE	Integrate Apollo Server into Express Web Apps	Người học có khả năng nhúng Apollo Server làm middleware trong ứng dụng Express.js.	SPECIFIC_IMPL	CIO-MIDDLEWARE-PLUGIN-PIPELINE	APOLLO_SERVER_BACKEND_ENGINE
SIO-GRAPHQL-APOLLO-PLUGINS-LIFECYCLE	Hook into Server Request Lifecycle via Apollo Plugins	Người học có khả năng lắng nghe vòng đời request bằng Apollo Server Plugins.	SPECIFIC_IMPL	CIO-MIDDLEWARE-PLUGIN-PIPELINE	APOLLO_SERVER_BACKEND_ENGINE
ULO-APOLLO-CLIENT-STATE	Master Normalized Cache Stores and Client Operation Engines	Người học có khả năng làm chủ Apollo Client và bộ nhớ cache chuẩn hóa InMemoryCache.	UNIVERSAL		APOLLO_CLIENT_NORMALIZED_CACHE
CIO-CACHE-READ-WRITE-NORMALIZATION	Read and Write Normalized Entities in InMemoryCache	Người học có khả năng truy vấn và đọc ghi dữ liệu từ InMemoryCache.	CONCEPTUAL_IMPL	ULO-APOLLO-CLIENT-STATE	APOLLO_CLIENT_NORMALIZED_CACHE
SIO-GRAPHQL-APOLLO-CLIENT-SETUP	Configure Apollo Client with InMemoryCache Link	Người học có khả năng khởi tạo Apollo Client với cấu hình InMemoryCache.	SPECIFIC_IMPL	CIO-CACHE-READ-WRITE-NORMALIZATION	APOLLO_CLIENT_NORMALIZED_CACHE
SIO-GRAPHQL-USEQUERY-USEMUTATION-HOOKS	Execute Operations via useQuery and useMutation Hooks	Người học có khả năng gửi truy vấn và cập nhật dữ liệu bằng useQuery và useMutation trong React.	SPECIFIC_IMPL	CIO-CACHE-READ-WRITE-NORMALIZATION	APOLLO_CLIENT_NORMALIZED_CACHE
SIO-GRAPHQL-TYPE-POLICIES-CACHE-MUTATE	Configure Cache Key Customizations via typePolicies	Người học có khả năng tùy biến khóa lưu trữ cache bằng typePolicies trong InMemoryCache.	SPECIFIC_IMPL	CIO-CACHE-READ-WRITE-NORMALIZATION	APOLLO_CLIENT_NORMALIZED_CACHE
ULO-GRAPHQL-FEDERATION	Master Distributed Supergraphs and Gateway Routers	Người học có khả năng phân rã GraphQL API thành kiến trúc Federated Microservices.	UNIVERSAL		DISTRIBUTED_FEDERATED_SUPERGRAPH
CIO-SUPERGRAPH-ROUTER-COMPOSITION	Compose Subgraph Schemas into Unified Supergraphs	Người học có khả năng hợp nhất nhiều Subgraph Schema thành một Supergraph dùng chung.	CONCEPTUAL_IMPL	ULO-GRAPHQL-FEDERATION	DISTRIBUTED_FEDERATED_SUPERGRAPH
SIO-GRAPHQL-FEDERATION-SUBGRAPH-KEY	Annotate Subgraph Entities with @key Directive	Người học có khả năng định nghĩa đối tượng chia sẻ giữa các dịch vụ bằng @key directive.	SPECIFIC_IMPL	CIO-SUPERGRAPH-ROUTER-COMPOSITION	DISTRIBUTED_FEDERATED_SUPERGRAPH
SIO-GRAPHQL-APOLLO-ROUTER-GATEWAY	Route Federated Queries via Apollo Router Gateway	Người học có khả năng phân tuyến và tổng hợp dữ liệu từ các dịch vụ con qua Apollo Router Gateway.	SPECIFIC_IMPL	CIO-SUPERGRAPH-ROUTER-COMPOSITION	DISTRIBUTED_FEDERATED_SUPERGRAPH
SIO-GRAPHQL-EXTERNAL-PROVIDES-DIRECTIVES	Share Fields across Subgraphs via @external and @provides	Người học có khả năng chia sẻ trường dữ liệu giữa các Subgraph bằng @external và @provides.	SPECIFIC_IMPL	CIO-SUPERGRAPH-ROUTER-COMPOSITION	DISTRIBUTED_FEDERATED_SUPERGRAPH
ULO-GRAPHQL-SECURITY	Master Query Depth Safeguards and Cost Analysis Engines	Người học có khả năng bảo vệ GraphQL API trước các câu truy vấn độc hại.	UNIVERSAL		GRAPHQL_SECURITY_SAFEGUARDS
CIO-QUERY-COMPLEXITY-ANALYSIS	Analyze Query Complexity and Limit Nested Depth	Người học có khả năng phân tích độ phức tạp câu lệnh và chặn các truy vấn lồng đệ quy.	CONCEPTUAL_IMPL	ULO-GRAPHQL-SECURITY	GRAPHQL_SECURITY_SAFEGUARDS
SIO-GRAPHQL-DEPTH-LIMIT-PROTECTION	Limit Nested Query Depth with graphql-depth-limit	Người học có khả năng chặn câu lệnh lồng đệ quy quá sâu bằng graphql-depth-limit.	SPECIFIC_IMPL	CIO-QUERY-COMPLEXITY-ANALYSIS	GRAPHQL_SECURITY_SAFEGUARDS
SIO-GRAPHQL-QUERY-COST-ANALYSIS	Calculate Query Cost Complexity before Execution	Người học có khả năng tính toán điểm chi phí câu lệnh trước khi cho phép thực thi.	SPECIFIC_IMPL	CIO-QUERY-COMPLEXITY-ANALYSIS	GRAPHQL_SECURITY_SAFEGUARDS
SIO-GRAPHQL-DISABLE-INTROSPECTION-PROD	Disable Introspection and Playground in Production	Người học có khả năng tắt tính năng rà soát tự động Introspection trên môi trường sản xuất.	SPECIFIC_IMPL	CIO-QUERY-COMPLEXITY-ANALYSIS	GRAPHQL_SECURITY_SAFEGUARDS
ULO-GRAPHQL-TESTING	Master Schema Mocking Engines and Integration Test Suites	Người học có khả năng viết bài kiểm thử tự động và giả lập dữ liệu cho GraphQL API.	UNIVERSAL		AUTOMATED_GRAPHQL_TESTING
CIO-MOCK-SCHEMA-RESPONSE-ASSERTION	Mock Schema Responses and Assert Endpoint Payloads	Người học có khả năng giả lập phản hồi schema và kiểm tra payload trả về.	CONCEPTUAL_IMPL	ULO-GRAPHQL-TESTING	AUTOMATED_GRAPHQL_TESTING
