code	name	description	subject_codes	keywords	cs2023_ka_mapping	metadata
NETWORK_PROTOCOLS	Network Protocols and Layers	Nghiên cứu mô hình phân lớp mạng (OSI, TCP/IP) và các giao thức ở mỗi tầng, từ tầng vật lý đến tầng ứng dụng.	NETWORKING, WEB_DEV	TCP/IP, OSI model, HTTP, DNS, protocols	NC	"{""icon"": ""layer-group""}"
DEVELOPMENT_ENVIRONMENT	Development Environment & Tools	Kỹ năng sử dụng môi trường phát triển tích hợp (IDE), quản lý file, assets, và điều hướng dự án.	SW_LIFECYCLE, WEB_DEV	IDE, tools		"{""icon"": ""tools""}"
VERSION_CONTROL	Version Control Systems	Giới thiệu về tầm quan trọng và cách sử dụng các hệ thống quản lý phiên bản (VCS), đặc biệt là Version Control, để theo dõi và quản lý thay đổi mã nguồn.	SW_LIFECYCLE	Version Control, version control, commit, branch, merge	SE	"{""icon"": ""code-commit""}"
TESTING_DEBUGGING	Testing and Debugging	Trang bị các kỹ thuật, công cụ và chiến lược để đảm bảo chất lượng phần mềm thông qua kiểm thử và gỡ lỗi hiệu quả.	SW_LIFECYCLE, WEB_DEV	testing, debugging, unit test, integration test, QA	SE	"{""icon"": ""bug""}"
TROUBLESHOOTING	Hardware & Software Troubleshooting	Phát triển các kỹ năng chẩn đoán và giải quyết một cách có hệ thống các sự cố phổ biến liên quan đến cả phần cứng và phần mềm máy tính.	CS_ARCHITECTURE, SW_LIFECYCLE	debugging, diagnostics, problem solving, error handling	SDF, SE	"{""icon"": ""screwdriver-wrench""}"
FRONTEND_DEV	Frontend Development	Tập trung vào việc xây dựng phần giao diện người dùng của ứng dụng web, sử dụng các công nghệ cốt lõi là HTML, CSS và Dynamic Scripting.	WEB_DEV	HTML, CSS, Dynamic Scripting, client-side, UI	SPD, HCI	"{""icon"": ""browser""}"
WEB_FRAMEWORKS	Web Frameworks	Hướng dẫn cách sử dụng các framework phổ biến (ví dụ: Component Library, Django) để tăng tốc và chuẩn hóa quá trình phát triển ứng dụng web.	WEB_DEV	frameworks, Component Library, Enterprise Framework, Reactive Library, Django, Web Framework	SPD	"{""icon"": ""cubes""}"
CLOUD_COMPUTING	Cloud Computing Concepts	Giới thiệu các mô hình dịch vụ (IaaS, PaaS, SaaS), mô hình triển khai (Public, Private, Hybrid) và các khái niệm cốt lõi của điện toán đám mây.	DISTRIBUTED_SYSTEMS	cloud, IaaS, PaaS, SaaS, AWS, Azure	PDC, NC	"{""icon"": ""cloud-upload-alt""}"
LAYOUT_COMPOSITION	Layout and Composition	Bao gồm các kỹ thuật và công cụ để sắp xếp, bố cục và kết hợp các thành phần UI thành các giao diện phức tạp và có tính thích ứng.	NATIVE_APP_DEV	layout, composition, stacks, grids, adaptive UI	HCI	"{""icon"": ""th-large""}"
NETWORK_SECURITY	Network Security	Tập trung vào các kỹ thuật và công cụ để bảo vệ hạ tầng và dữ liệu trên mạng, bao gồm tường lửa, mã hóa và hệ thống phát hiện xâm nhập.	NETWORKING, WEB_DEV	firewall, encryption, VPN, cybersecurity, threats	NC, SEC	"{""icon"": ""user-shield""}"
