concept_name	description_vi	supporting_keywords	is_new_concept	matched_master_code	match_score	match_reason	proposed_code	cs2023_ka	suggested_topic_codes
DECLARATIVE_UI_PARADIGM	Xây dựng giao diện người dùng theo kiểu khai báo: mô tả UI như một hàm của trạng thái thay vì lệnh thủ tục từng bước.	declarative programming, declarative UI, declarative paradigm, imperative and declarative programming, imperative and declarative, imperative programming, imperative	FALSE	DECLARATIVE_UI_PARADIGM	1.0	Exact code match	DECLARATIVE_UI_PARADIGM	HCI, FPL	DECLARATIVE_UI_MODEL
UI_MODIFIERS	Áp dụng các hàm biến đổi giao diện (modifier) để tùy chỉnh appearance, layout, behavior của View theo kiểu chuỗi phương thức.	UI modifier, modifier, view modifier, apply modifiers, .modifier, modifiers including, Implement Modifiers, Modifiers including, Property Wrapper to control	FALSE	UI_MODIFIERS_CONCEPT	0.95	Semantic match: "UI Modifiers" concept exists in project but not in Master Tree. Master has UI_MODIFIERS topic.	UI_MODIFIERS_CONCEPT	HCI	UI_MODIFIERS
STATE_PROPERTY_WRAPPER	Quản lý trạng thái cục bộ của View bằng property wrapper (ví dụ @State) cho phép tự động cập nhật UI khi giá trị thay đổi.	@State Property Wrapper, State Property Wrapper, State, State Property, state, local state, ephemeral state, property wrapper, @State	FALSE	LOCAL_VIEW_STATE	0.9	Semantic match: LOCAL_VIEW_STATE in Master Tree covers @State local view state.	STATE_PROPERTY_WRAPPER	HCI, SDF	STATE_MANAGEMENT
UI_BOX_MODEL_LAYOUT	Mô hình bố cục khung khối UI trừu tượng gồm Margin, Border, Padding, Content area — cơ sở của Flexbox/Grid/Stack layout.	UI Box Model Layout, box model, margin, padding, border, box-sizing, layout system, UI layout	TRUE		0.0	No direct match in Master Tree. Related to STACK_LAYOUT, GRID_LAYOUT, ADAPTIVE_LAYOUT topics.	UI_BOX_MODEL_LAYOUT	HCI, GIT	STACK_LAYOUT,GRID_LAYOUT,ADAPTIVE_LAYOUT
FLEXBOX_GRID_LAYOUT	Hệ thống dàn trang linh hoạt (Flexbox: trục chính/chéo) và dạng lưới 2 chiều (Grid: hàng/cột) để bố cục UI thích ứng.	flex layout, grid layout, flexible grid layout, flexbox, grid, alignment, main axis, cross axis, Flexible & Grid Layout Systems	TRUE		0.0	No direct match. Master Tree has GRID_LAYOUT, STACK_LAYOUT, ADAPTIVE_LAYOUT topics but no concept for Flexbox/Grid system.	FLEXBOX_GRID_LAYOUT	HCI, GIT	GRID_LAYOUT,STACK_LAYOUT,ADAPTIVE_LAYOUT
PROJECT_ASSETS_MANAGEMENT	Quản lý tài nguyên dự án (hình ảnh, màu sắc, font, file media) trong IDE: import, tổ chức, tham chiếu asset.	Project Assets Management, assets, asset, asset has been imported, imported, imported asset, recognize available assets, media library	TRUE		0.0	No direct match. Master Tree has IDE_NAVIGATION topic but no asset management concept.	PROJECT_ASSETS_MANAGEMENT	SDF	IDE_NAVIGATION
CROSS_ORIGIN_SECURITY	Cơ chế bảo mật cross-origin (CORS, Same-Origin Policy) kiểm soát truy cập tài nguyên giữa các origin khác nhau.	Cross-Origin Security, CORS, Same-Origin Policy, cross origin, cross-origin security, cross-origin policies	FALSE	CROSS_ORIGIN_SECURITY	1.0	Exact code match exists in Master Tree.	CROSS_ORIGIN_SECURITY	SEC	FIREWALLS_IDS
SYNTAX_VS_RUNTIME_ERRORS	Phân biệt lỗi cú pháp (compile-time, detected by compiler) và lỗi runtime (exception, crash khi chạy).	syntax vs runtime errors, syntax error, runtime error, compile-time error, run-time error, error differentiation	TRUE		0.0	No direct match. Master Tree has SYNTAX_ERRORS, RUNTIME_ERRORS, ERROR_MESSAGES_CONCEPT but no comparison concept.	SYNTAX_VS_RUNTIME_ERRORS	SDF, SE	ERROR_MESSAGES,EXCEPTION_HANDLING
IDENTIFIER_NAMING_RULES	Quy tắc đặt tên định danh (identifier): camelCase, PascalCase, snake_case, từ khóa reserved, độ dài, ký tự hợp lệ.	Swift identifier rules, identifier, identifier rules, naming, camel casing, camelCase, casing, explicit typing, naming syntax	FALSE	PRIMITIVE_TYPE_DECLARATION	0.7	Partial: Master has declaration concepts but not specific naming rules concept.	IDENTIFIER_NAMING_RULES	SDF	PRIMITIVE_TYPES,VAR_CONSTANTS
TYPE_INFERENCE	Kiểu suy diễn (type inference): trình biên dịch tự động xác định kiểu dữ liệu từ giá trị khởi tạo, giảm boilerplate khai báo kiểu tường minh.	type inference, type inference appearance, Apply type inference, explicit typing, explicit, inference	FALSE	REFERENCE_TYPE_DECLARATION	0.7	Partial: Master has declaration concepts but not type inference as separate concept.	TYPE_INFERENCE	SDF,PRIMITIVE_TYPES,REFERENCE_TYPES,VAR_CONSTANTS,FUNC_SYNTAX
CONDITIONAL_LOGIC_IF_ELSE	Cấu trúc điều khiển rẽ nhánh if-else: đánh giá điều kiện boolean, thực thi một trong hai khối mã.	if-else, if-else statement, conditional statement, selection, if else, conditional logic	FALSE	IF_ELSE_STATEMENT	1.0	Exact code match.	IF_ELSE_STATEMENT	SDF	CONDITIONAL_LOGIC
CONDITIONAL_LOGIC_SWITCH	Cấu trúc chọn nhiều nhánh switch-case: so khớp giá trị với nhiều case, hỗ trợ pattern matching.	switch-case, switch case, multi-way branching, selection, Switch-Case Statement	FALSE	SWITCH_CASE	1.0	Exact code match.	SWITCH_CASE	SDF	CONDITIONAL_LOGIC
ITERATION_FOR_LOOP	Vòng lặp for: duyệt qua tập hợp/range, lặp số lần xác định, hỗ trợ index và element.	for loop, for loop iteration, looping, repetition, iteration loops	FALSE	FOR_LOOP	1.0	Exact code match.	FOR_LOOP	SDF	ITERATION_LOOPS
ITERATION_WHILE_LOOP	Vòng lặp while: lặp dựa trên điều kiện boolean, kiểm tra trước khi thực thi thân vòng lặp.	while loop, while loop iteration, looping, condition, iteration loops	FALSE	WHILE_LOOP	1.0	Exact code match.	WHILE_LOOP	SDF	ITERATION_LOOPS
LOOP_CONTROL_FLOW	Điều khiển luồng vòng lặp: break, continue, điều kiện dừng, dự đoán hành vi lặp.	loop, loop structures, predict loop, predict loop structures, control flow, control the flow, flow of execution, flow	FALSE	FOR_LOOP	0.6	Partial: covered under iteration concepts but no separate loop control concept.	LOOP_CONTROL_FLOW	SDF	ITERATION_LOOPS,CONDITIONAL_LOGIC
ARRAY_OPERATIONS	Thao tác cơ bản trên mảng: truy cập bằng index (0-based), lấy độ dài, duyệt phần tử, thêm/xóa (dynamic array).	array, array operations, array index, array access, array iteration, array element, array element using its index, array methods, array properties, arrays, initialize an array, Declare and/or initialize an array with values	FALSE	ARRAY_OPERATIONS	1.0	Exact code match.	ARRAY_OPERATIONS	SDF	ARRAYS
LIST_COLLECTIONS	Danh sách/dynamic array: add, remove, search, filter, map, reduce — thao tác mức cao hơn mảng tĩnh.	list, list operations, add, remove, search, dynamic array, collections	FALSE	LIST_OPERATIONS	1.0	Exact code match exists in Master Tree.	LIST_OPERATIONS	SDF	LISTS_COLLECTIONS
PRIMITIVE_TYPES	Kiểu dữ liệu nguyên thủy: integer, boolean, float, double, char — lưu giá trị trực tiếp trên stack.	primitive types, int, boolean, float, double, Primitive Type Declaration, Declaring Primitive Types, declaration primitive types	FALSE	PRIMITIVE_TYPE_DECLARATION	1.0	Exact code match.	PRIMITIVE_TYPE_DECLARATION	SDF	PRIMITIVE_TYPES,VAR_CONSTANTS
REFERENCE_TYPES	Kiểu dữ liệu tham chiếu: String, Array, Object, Class — lưu địa chỉ heap, ngữ nghĩa tham chiếu.	reference types, reference type declaration, Declaring Reference Types, string, object, string object	FALSE	REFERENCE_TYPE_DECLARATION	1.0	Exact code match.	REFERENCE_TYPE_DECLARATION	SDF	REFERENCE_TYPES,VAR_CONSTANTS
CONSTANTS_VARIABLES	Hằng số (immutable) vs biến (mutable): khai báo let/const vs var, scope, lifetime, shadowing.	constants, variables, constants and variables, evaluate constants and variables, evaluate constants, immutable, mutable, let, var, constant variable	FALSE	PRIMITIVE_TYPE_DECLARATION	0.8	Covered under declaration but no separate concept for const vs var semantics.	CONSTANTS_VARIABLES	SDF	PRIMITIVE_TYPES,REFERENCE_TYPES,VAR_CONSTANTS
OOP_CLASS_DEFINITION	Định nghĩa lớp (class): thuộc tính (properties/fields), phương thức (methods), constructor, encapsulation.	class, class definition, class attributes, class methods, OOP, Class Definition, attributes, methods	FALSE	CLASS_DEFINITION	1.0	Exact code match.	CLASS_DEFINITION	SDF,FPL	CLASSES_OBJECTS
OOP_OBJECT_INSTANTIATION	Tạo thể hiện (instance) từ lớp: gọi constructor, khởi tạo trạng thái ban đầu, tham chiếu đối tượng.	object instantiation, object instance, constructor, new, instance, create an instance, Create an instance of a structure, Use an instance of a structure	FALSE	OBJECT_INSTANTIATION	1.0	Exact code match.	OBJECT_INSTANTIATION	SDF,FPL	CLASSES_OBJECTS
OOP_INHERITANCE	Kế thừa: subclass kế thừa superclass, override method, polymorphism, dynamic dispatch.	inheritance, inheritance syntax, subclass, superclass, extends, method overriding, Method Overriding, overriding, polymorphism, dynamic dispatch	FALSE	INHERITANCE_SYNTAX	1.0	Exact code match exists in Master Tree.	INHERITANCE_SYNTAX	SDF,FPL	INHERITANCE_POLY
OOP_ENCAPSULATION	Đóng gói: access modifiers (public/private/internal), information hiding, interface vs implementation.	access modifiers, access modifier, public, private, encapsulation, encapsulation abstraction, Access Modifiers	FALSE	ACCESS_MODIFIERS	1.0	Exact code match exists in Master Tree.	ACCESS_MODIFIERS	SDF,FPL	ENCAPSULATION_ABSTRACTION
OOP_PROTOCOLS_INTERFACES	Giao diện/Protocol: định nghĩa contract, conformance, multiple protocol adoption, protocol-oriented programming.	protocol, protocol-oriented, interface, conformance, protocols	TRUE		0.0	No direct match in Master Tree. Could relate to CLASSES_OBJECTS, API_DESIGN.	PROTOCOLS_INTERFACES	SDF,FPL	CLASSES_OBJECTS,API_DESIGN
ERROR_HANDLING_SYNTAX	Lỗi cú pháp (syntax error): vi phạm grammar ngôn ngữ, detected by compiler/parser trước runtime.	syntax error, syntax errors, compiler error, parsing error, Syntax Errors	FALSE	SYNTAX_ERRORS	1.0	Exact code match.	SYNTAX_ERRORS	SDF	ERROR_MESSAGES
ERROR_HANDLING_RUNTIME	Lỗi runtime (runtime error): exception, crash, division by zero, index out of bounds, nil reference.	runtime error, runtime errors, exception, crash, run-time error, run-time errors, Runtime Errors	FALSE	RUNTIME_ERRORS	1.0	Exact code match.	RUNTIME_ERRORS	SDF	EXCEPTION_HANDLING
ERROR_HANDLING_LOGIC	Lỗi logic (logical error): chương trình chạy nhưng kết quả sai do thuật toán/logic bị sai.	logical error, logic error, logic errors, Logical Errors, incorrect output, bug	FALSE	LOGIC_ERRORS	1.0	Exact code match.	LOGIC_ERRORS	SDF,SE	DEBUGGING_TECH
DEBUGGING_TECHNIQUES	Kỹ thuật gỡ lỗi: breakpoint, step through, inspect variable, call stack, log analysis, print debugging.	breakpoint, breakpoints, debugger, debugging, Debugging, Using Breakpoints, typing Debugging, explicit typing Debugging	FALSE	BREAKPOINTS	1.0	Exact code match.	BREAKPOINTS	SDF	DEBUGGING_TECH
ERROR_INTERPRETATION	Đọc và hiểu thông báo lỗi: stack trace, error code, message, log để xác định nguyên nhân gốc rễ.	error messages, error message, interpret error, Interpret error, Interpret error messages, interpreting error messages, error handling, exceptions, debugging, log analysis	FALSE	ERROR_MESSAGES_CONCEPT	1.0	Exact code match.	ERROR_MESSAGES_CONCEPT	SDF,SE	ERROR_MESSAGES
EVENT_DRIVEN_PROGRAMMING	Mô hình lập trình hướng sự kiện: event loop, event handler, callback, listener, asynchronous response.	event-driven, event driven, event loop, event handler, events, event handling, Event-Based Programming Model, Events and Event Handling, asynchronous, Event Handlers	FALSE	EVENT_BASED_PROGRAMMING	1.0	Exact code match.	EVENT_BASED_PROGRAMMING	FPL,HCI	EVENT_HANDLERS
