lt_id,lt_name,band,reference_content,comparison_framework,comparison_content,comparison_source_label,confidence,issue_type,notes
BUBBLE_INSERTION_SORT,Bubble Sort & Insertion Sort,Secondary,"Hiểu và triển khai các thuật toán sắp xếp đơn giản như Sắp xếp nổi bọt (Bubble Sort) và Sắp xếp chèn (Insertion Sort), với độ phức tạp O(n^2).",Next Generation Science Standards,"Bao gồm tư duy thuật toán để giải quyết vấn đề và các quy trình kỹ thuật để xây dựng phần mềm quy mô lớn, đáng tin cậy. Lĩnh vực này bao quát từ thiết kế giải pháp có cấu trúc, các mô hình lập trình, ",Master Tree,high,convergence,"Algorithms & Complexity theme alignment"
BUBBLE_INSERTION_SORT,Bubble Sort & Insertion Sort,Secondary,"Hiểu và triển khai các thuật toán sắp xếp đơn giản như Sắp xếp nổi bọt (Bubble Sort) và Sắp xếp chèn (Insertion Sort), với độ phức tạp O(n^2).",CSTA K-12 Computer Science Standards,"Hiểu và triển khai các thuật toán sắp xếp đơn giản như Sắp xếp nổi bọt (Bubble Sort) và Sắp xếp chèn (Insertion Sort), với độ phức tạp O(n^2).",Master Tree,high,convergence,"Algorithms & Complexity theme alignment"
BUBBLE_INSERTION_SORT,Bubble Sort & Insertion Sort,Secondary,"Hiểu và triển khai các thuật toán sắp xếp đơn giản như Sắp xếp nổi bọt (Bubble Sort) và Sắp xếp chèn (Insertion Sort), với độ phức tạp O(n^2).",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Algorithms & Complexity theme missing in UNESCO ICT Competency Framework for Teachers"
BUBBLE_INSERTION_SORT,Bubble Sort & Insertion Sort,Secondary,"Hiểu và triển khai các thuật toán sắp xếp đơn giản như Sắp xếp nổi bọt (Bubble Sort) và Sắp xếp chèn (Insertion Sort), với độ phức tạp O(n^2).",OECD PISA 2025/2028 Frameworks,"","","",unique_to_reference,"Algorithms & Complexity theme missing in OECD PISA 2025/2028 Frameworks"
PHYSICS_CONSTRAINTS,Physics Constraints,Secondary,"Các loại khớp nối (Bản lề, Lò xo, Dây) giới hạn chuyển động tự do của vật thể để tạo ra cơ cấu máy móc.",Next Generation Science Standards,"Nhận biết các dấu hiệu cảnh báo của một email hoặc tin nhắn lừa đảo, như lỗi chính tả, URL lạ, và yêu cầu khẩn cấp.",Master Tree,high,convergence,"Artificial Intelligence & Machine Learning theme alignment"
PHYSICS_CONSTRAINTS,Physics Constraints,Secondary,"Các loại khớp nối (Bản lề, Lò xo, Dây) giới hạn chuyển động tự do của vật thể để tạo ra cơ cấu máy móc.",CSTA K-12 Computer Science Standards,"Sử dụng cơ chế như @Binding (ký hiệu $) để tạo một liên kết tham chiếu hai chiều, cho phép một View con vừa đọc vừa ghi vào trạng thái của View cha.",Master Tree,high,convergence,"Artificial Intelligence & Machine Learning theme alignment"
PHYSICS_CONSTRAINTS,Physics Constraints,Secondary,"Các loại khớp nối (Bản lề, Lò xo, Dây) giới hạn chuyển động tự do của vật thể để tạo ra cơ cấu máy móc.",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Artificial Intelligence & Machine Learning theme missing in UNESCO ICT Competency Framework for Teachers"
PHYSICS_CONSTRAINTS,Physics Constraints,Secondary,"Các loại khớp nối (Bản lề, Lò xo, Dây) giới hạn chuyển động tự do của vật thể để tạo ra cơ cấu máy móc.",OECD PISA 2025/2028 Frameworks,"","","",unique_to_reference,"Artificial Intelligence & Machine Learning theme missing in OECD PISA 2025/2028 Frameworks"
CIRCUIT_PRINCIPLES,Basic Circuit Principles,Secondary,"Áp dụng các nguyên tắc cơ bản về mạch điện, như định luật Ohm và cách các linh kiện hoạt động khi mắc nối tiếp và song song.",Next Generation Science Standards,"","","",unique_to_reference,"Cloud & Distributed Systems theme missing in Next Generation Science Standards"
CIRCUIT_PRINCIPLES,Basic Circuit Principles,Secondary,"Áp dụng các nguyên tắc cơ bản về mạch điện, như định luật Ohm và cách các linh kiện hoạt động khi mắc nối tiếp và song song.",CSTA K-12 Computer Science Standards,"Hiểu mô hình lập trình MapReduce để xử lý song song các tập dữ liệu lớn, bao gồm hai bước chính là map và reduce.",Master Tree,high,convergence,"Cloud & Distributed Systems theme alignment"
