code	name	description	lo_type	parent_lo_code	concept_codes
ULO-PRIMITIVES	Master Primitive Types and Type Inference	Người học có khả năng giải thích hệ thống kiểu dữ liệu nguyên thủy và cơ chế suy luận kiểu trong Static Type System.	UNIVERSAL		PRIMITIVE_TYPE_ANNOTATIONS
CIO-ANNOTATIONS-INFERENCE	Annotate Primitive Types and Leverage Type Inference	Người học có khả năng phân tích và sử dụng type annotations cho các biến nguyên thủy.	CONCEPTUAL_IMPL	ULO-PRIMITIVES	PRIMITIVE_TYPE_ANNOTATIONS
SIO-TS-ANY-UNKNOWN-NEVER	Handle any, unknown and never Types Safely	Người học có khả năng kiểm soát biến an toàn bằng kiểu unknown và never thay cho any.	SPECIFIC_IMPL	CIO-ANNOTATIONS-INFERENCE	PRIMITIVE_TYPE_ANNOTATIONS
SIO-TS-PRIMITIVE-ANNOTATE	Annotate string, number, boolean and symbol Types	Người học có khả năng khai báo kiểu dữ liệu thô string, number, boolean cho tham số hàm.	SPECIFIC_IMPL	CIO-ANNOTATIONS-INFERENCE	PRIMITIVE_TYPE_ANNOTATIONS
ULO-INTERFACES-ALIASES	Master Interfaces and Type Contracts	Người học có khả năng làm chủ việc định nghĩa cấu trúc dữ liệu bằng Interface và Type Alias.	UNIVERSAL		INTERFACE_TYPE_CONTRACTS
CIO-TYPE-COMBINATIONS	Combine Types using Unions and Intersections	Người học có khả năng thiết kế mô hình dữ liệu linh hoạt với Union (|) và Intersection (&).	CONCEPTUAL_IMPL	ULO-INTERFACES-ALIASES	INTERFACE_TYPE_CONTRACTS
SIO-TS-INTERFACE-EXTENDS	Extend Interfaces with Multiple Inheritance	Người học có khả năng mở rộng interface bằng từ khóa extends.	SPECIFIC_IMPL	CIO-TYPE-COMBINATIONS	INTERFACE_TYPE_CONTRACTS
SIO-TS-TYPE-ASSERTIONS	Apply Type Assertions and Narrowing	Người học có khả năng ép kiểu an toàn bằng as syntax và type narrowing.	SPECIFIC_IMPL	CIO-TYPE-COMBINATIONS	INTERFACE_TYPE_CONTRACTS
ULO-FUNCTIONS-OBJECTS	Master Function Signatures and Tuple Types	Người học có khả năng định nghĩa chữ ký hàm và kiểu mảng cố định Tuple.	UNIVERSAL		FUNCTION_SIGNATURE_TUPLES
CIO-FUNCTION-OVERLOADS	Implement Function Overloads and Optional Parameters	Người học có khả năng xây dựng hàm đa hình bằng Function Overloading.	CONCEPTUAL_IMPL	ULO-FUNCTIONS-OBJECTS	FUNCTION_SIGNATURE_TUPLES
