code	name	description	category_codes	keywords	cs2023_ka_mapping	metadata
HW_CPU	Central Processing Unit (CPU)	Bao gồm kiến trúc, chu kỳ lệnh (fetch-decode-execute), và các thành phần cốt lõi của bộ xử lý trung tâm.	HARDWARE_COMPONENTS	CPU, ALU, CU, registers, instruction cycle	AR	{"icon": "microchip"}
HW_MEMORY	Memory Hierarchy	Bao gồm các cấp bộ nhớ khác nhau như thanh ghi (registers), bộ nhớ đệm (cache), RAM và vai trò của chúng.	HARDWARE_COMPONENTS, MEMORY_IO_SYSTEMS	cache, RAM, registers, memory levels	AR	{"icon": "memory"}
HW_STORAGE	Storage Devices	Các loại thiết bị lưu trữ lâu dài như ổ cứng HDD, SSD và bộ nhớ flash.	HARDWARE_COMPONENTS	HDD, SSD, flash storage, persistent storage	AR	{"icon": "hdd"}
HW_IO	Input/Output Peripherals	Các thiết bị ngoại vi để nhập và xuất dữ liệu như bàn phím, chuột, màn hình, máy in.	HARDWARE_COMPONENTS	input, output, peripherals, keyboard, mouse	AR	{"icon": "keyboard"}
IO_MECHANISMS	I/O Mechanisms	Các phương pháp khác nhau mà CPU sử dụng để giao tiếp với các thiết bị ngoại vi, bao gồm polling, interrupt, và DMA.	MEMORY_IO_SYSTEMS	polling, interrupts, DMA, I/O management	AR, OS	{"icon": "exchange-alt"}
OS_PROCESS_MGMT	Process and Thread Management	Cách hệ điều hành quản lý, lập lịch và chuyển đổi giữa các tiến trình và luồng.	OS_CONCEPTS	process, thread, scheduling, context switch	OS	{"icon": "tasks"}
OS_MEMORY_MGMT	Memory Management in OS	Các kỹ thuật quản lý bộ nhớ của hệ điều hành, bao gồm bộ nhớ ảo (virtual memory) và phân trang (paging).	OS_CONCEPTS	virtual memory, paging, segmentation, memory allocation	OS, AR	{"icon": "ruler-horizontal"}
OS_FILE_SYSTEMS	File Systems	Cấu trúc và cách hệ điều hành tổ chức, lưu trữ và truy cập dữ liệu trên các thiết bị lưu trữ.	OS_CONCEPTS	file system, directory, NTFS, ext4, file allocation	OS	{"icon": "folder-open"}
TROUBLESHOOTING_METHODOLOGY	Systematic Troubleshooting Methodology	Áp dụng một quy trình có hệ thống (ví dụ: xác định vấn đề, giả thuyết, kiểm tra, xác nhận) để giải quyết sự cố phần cứng và phần mềm.	TROUBLESHOOTING	troubleshooting, diagnostics, problem solving	SDF, SE	{"icon": "search"}
ERROR_MESSAGES	Interpreting Error Messages	Kỹ năng đọc và hiểu các thông báo lỗi do chương trình hoặc hệ điều hành cung cấp để xác định nguyên nhân sự cố.	TROUBLESHOOTING, TESTING_DEBUGGING	error handling, exceptions, debugging, log analysis	SDF, SE	{"icon": "exclamation-triangle"}
MCU_PLATFORMS	Microcontroller Platforms	Giới thiệu và làm việc với các nền tảng vi điều khiển phổ biến như Arduino, Raspberry Pi, ESP32.	MICROCONTROLLERS	Arduino, Raspberry Pi, ESP32, microcontrollers	SPD	{"icon": "microchip"}
EMBEDDED_SYSTEMS	Embedded Systems Principles	Các nguyên tắc của hệ thống nhúng, bao gồm các ràng buộc thời gian thực và kiến trúc đặc thù.	MICROCONTROLLERS	embedded systems, real-time, constraints	OS, SPD	{"icon": "cogs"}
GPIO_PROG	GPIO Programming	Lập trình các chân đầu vào/ra đa dụng (GPIO) để đọc tín hiệu số/tương tự và điều khiển PWM.	MICROCONTROLLERS	GPIO, digital I/O, analog I/O, PWM	SPD	{"icon": "code-branch"}
SENSOR_TYPES	Sensor Types and Integration	Các loại cảm biến (nhiệt độ, ánh sáng, chuyển động) và cách tích hợp chúng vào một hệ thống vi điều khiển.	SENSORS_ACTUATORS	sensors, temperature, light, motion, PIR	SPD, GIT	{"icon": "tachometer-alt-fast"}
ACTUATOR_CONTROL	Actuator Control	Điều khiển các cơ cấu chấp hành như động cơ DC, động cơ servo, rơ-le để tạo ra tác động vật lý.	SENSORS_ACTUATORS	actuators, DC motor, servo, relay, control	SPD	{"icon": "fan"}
ROBOT_KINEMATICS	Robot Kinematics and Motion	Các nguyên tắc cơ bản về động học robot (thuận và nghịch) để mô tả và điều khiển chuyển động của các khớp và bộ phận.	ROBOTICS_FUNDAMENTALS	kinematics, robot motion, degrees of freedom	AI	{"icon": "robot"}
ROBOT_CONTROL	Robot Control Systems	Lập trình hệ thống điều khiển cho robot, từ điều khiển vòng hở đến vòng kín (sử dụng phản hồi từ cảm biến).	ROBOTICS_FUNDAMENTALS	control systems, feedback loop, PID controller	AI	{"icon": "gamepad"}
BASIC_MECHANISMS	Basic Mechanical Systems	Giới thiệu các cơ cấu cơ khí đơn giản như bánh răng, đòn bẩy, ròng rọc và vai trò của chúng trong truyền động.	MECHANICAL_SYSTEMS	gears, levers, pulleys, mechanical advantage	SPD	{"icon": "cogs"}
