code	name	description	topic_codes	keywords	cs2023_ka_mapping	metadata
INTERNET_FUNDAMENTALS	Internet Architecture & Protocols	Nguyên lý hoạt động của mạng Internet, mô hình Client-Server và giao thức HTTP/HTTPS.	BACKEND_ARCHITECTURE	IP, HTTP, DNS, Web Servers		"{""icon"": ""code""}"
BACKEND_LANGUAGES	Backend Programming Languages	Các ngôn ngữ lập trình máy chủ tiêu chuẩn như High-Level Scripting, Server Runtime Engine/JS, Java, Go, C#, Rust, PHP.	BACKEND_ARCHITECTURE	High-Level Scripting, Java, Go, Rust, C#, PHP, Dynamic Scripting		"{""icon"": ""code""}"
RELATIONAL_DATABASES	Relational Database Systems (RDBMS)	Hệ quản trị cơ sở dữ liệu quan hệ, ngôn ngữ SQL, thiết kế bảng và tối ưu chỉ mục index.	BACKEND_ARCHITECTURE	PostgreSQL, MySQL, MS SQL, MariaDB, SQL, Indexes		"{""icon"": ""database""}"
NOSQL_DATABASES	NoSQL Database Systems	Cơ sở dữ liệu phi quan hệ dạng Document, Key-Value, Columnar và Graph.	BACKEND_ARCHITECTURE	MongoDB, Redis, Cassandra, DynamoDB, Key-Value		"{""icon"": ""database""}"
WEB_APIS_DESIGN	API Architecture & Specifications	Thiết kế và triển khai API giao tiếp dịch vụ theo chuẩn REST, Declarative Query API, gRPC và OpenAPI.	BACKEND_ARCHITECTURE	REST, Declarative Query API, gRPC, OpenAPI, Swagger, Endpoints		"{""icon"": ""code""}"
SERVER_SIDE_AUTHENTICATION	Backend Authentication & Security	Chiến lược xác thực người dùng, phân quyền, mã hóa mật khẩu và các cơ chế bảo mật API.	BACKEND_ARCHITECTURE	JWT, OAuth2, Session Cookies, Bcrypt, CORS, HTTPS		"{""icon"": ""lock""}"
CACHING_STRATEGIES	Caching & Performance Optimization	Tối ưu hóa hiệu năng máy chủ bằng lưu trữ bộ nhớ đệm In-Memory và CDN.	BACKEND_ARCHITECTURE	Redis, Memcached, CDN, TTL, Cache Invalidation		"{""icon"": ""tachometer-alt""}"
MESSAGE_BROKERS	Message Queues & Asynchronous Events	Kiến trúc xử lý luồng sự kiện bất đồng bộ và hàng đợi tin nhắn.	BACKEND_ARCHITECTURE	RabbitMQ, Apache Kafka, Pub/Sub, Event-driven		"{""icon"": ""exchange-alt""}"
FULL_TEXT_SEARCH_ENGINES	Search Engines & Full-Text Search	Hệ thống tìm kiếm toàn văn full-text search và đánh chỉ mục dữ liệu lớn.	BACKEND_ARCHITECTURE	Elasticsearch, OpenSearch, Solr, Inverted Index		"{""icon"": ""search""}"
CI_CD_PIPELINES	Continuous Integration & Deployment (CI/CD)	Quy trình đóng gói, kiểm thử và triển khai ứng dụng server tự động.	BACKEND_ARCHITECTURE	Automated CI, Repository Hosting CI, Automated Testing, Deployment		"{""icon"": ""cogs""}"
CONTAINERIZATION	Containerization & Cloud Infrastructure	Đóng gói môi trường thực thi ứng dụng bằng container và hạ tầng đám mây.	BACKEND_ARCHITECTURE	Docker, Container Orchestrator, Containers, Virtualization		"{""icon"": ""cubes""}"
SYSTEM_DESIGN_SCALABILITY	System Design & Microservices Architecture	Thiết kế hệ thống chịu tải cao, cân bằng tải Load Balancing và kiến trúc Microservices.	BACKEND_ARCHITECTURE	Load Balancer, Microservices, Scalability, Sharding		"{""icon"": ""sitemap""}"
