code	name	description	topic_codes	keywords	cs2023_ka_mapping	metadata
GRAPHQL_SCHEMA_TYPE_SYSTEM_CONCEPT	Schema Definition Specifications & Custom Scalar Types	Hệ thống kiểu dữ liệu SDL, Scalars, Objects, Enums, Interfaces và Unions.	GRAPHQL_SCHEMA_TYPE_SYSTEM	GraphQL, SDL, type, query, mutation, scalar, String, Int, ID, Enum, Union		"{""icon"": ""code""}"
QUERY_MUTATION_OPERATION_EXECUTOR	Declarative Data Queries & State Mutations	Cú pháp truy vấn dữ liệu Query, cập nhật Mutation và đối tượng Variables.	GRAPHQL_QUERY_MUTATION_OPERATIONS	query, mutation, variables, aliases, fragments, operation name		"{""icon"": ""code""}"
RESOLVER_EXECUTION_ENGINE	Resolver Function Pipeline & Context Execution Graph	Hàm resolver giải mã trường, tham số (parent, args, context, info) và luồng chạy.	RESOLVER_EXECUTION_FUNCTIONS	resolvers, parent, args, context, info, GraphQL execution engine		"{""icon"": ""code""}"
REALTIME_SUBSCRIPTION_ENGINE	Realtime Data Subscriptions & Event Streams	Lắng nghe sự kiện thời gian thực Subscriptions qua kết nối WebSocket (graphql-ws).	GRAPHQL_SUBSCRIPTIONS_WEBSOCKETS	subscriptions, WebSocket, graphql-ws, PubSub, AsyncIterator, realtime		"{""icon"": ""code""}"
SCHEMA_DIRECTIVES_AST_TRANSFORMS	Custom Directives & AST Transformation Engines	Mở rộng tính năng schema bằng Directives (@auth, @deprecated, @upper) và biến đổi AST.	SCHEMA_DIRECTIVES_TRANSFORMATIONS	@directive, SchemaDirectives, AST, @deprecated, @auth, SchemaVisitor		"{""icon"": ""code""}"
APOLLO_SERVER_BACKEND_ENGINE	Apollo Server Framework & Middleware Integration	Xây dựng GraphQL server chuyên nghiệp bằng Apollo Server / Yoga trên Express/Fastify.	APOLLO_SERVER_ENGINE	Apollo Server, GraphQL Yoga, Express integration, standalone server, plugins		"{""icon"": ""code""}"
APOLLO_CLIENT_NORMALIZED_CACHE	Normalized Cache Stores & Client Operation Engines	Quản lý dữ liệu client với Apollo Client, Normalized Cache (InMemoryCache), useQuery, useMutation.	APOLLO_CLIENT_STATE_CACHING	Apollo Client, InMemoryCache, useQuery, useMutation, typePolicies, cache normalization		"{""icon"": ""code""}"
DISTRIBUTED_FEDERATED_SUPERGRAPH	Distributed Supergraphs & Gateway Routers	Kiến trúc microservices GraphQL Federation (Apollo Federation), Subgraphs và Router Gateway.	FEDERATION_MICROSERVICES_GRAPH	Apollo Federation, Supergraph, Subgraph, @key, @external, @provides, Router Gateway		"{""icon"": ""code""}"
GRAPHQL_SECURITY_SAFEGUARDS	Query Depth Safeguards & Cost Analysis Engines	Bảo mật GraphQL API, giới hạn độ sâu truy vấn (depth limiting), tính toán chi phí (query cost) và rate limiting.	GRAPHQL_SECURITY_RATE_LIMITING	depth limiting, query cost analysis, rate limiting, introspection disable, CORS		"{""icon"": ""code""}"
AUTOMATED_GRAPHQL_TESTING	Schema Mocking Engines & Integration Test Suites	Kiểm thử tự động GraphQL APIs, giả lập schema (mocking) và kiểm thử endpoint.	GRAPHQL_TESTING_MOCKING	mocking, addMocksToSchema, Supertest, Vitest, integration testing, assertion		"{""icon"": ""code""}"
AUTOMATED_CODE_GENERATION_GQL	Automated Type Generators & SDK Compilation	Tự động sinh mã nguồn TypeScript và Hooks từ GraphQL Schema bằng GraphQL Code Generator.	CODE_GENERATION_TYPESCRIPT_GQL	GraphQL Code Generator, codegen.yml, typescript, typescript-operations, typed SDK		"{""icon"": ""code""}"
GRAPHQL_ERROR_FORMATTING	Execution Error Formatting & GraphQLError Classes	Xử lý và chuẩn hóa định dạng câu thông báo lỗi bằng GraphQLError và formatError handler.	GRAPHQL_ERROR_HANDLING_FORMATTING	GraphQLError, formatError, extensions, status codes, error handling		"{""icon"": ""code""}"
RELAY_CURSOR_PAGINATION	Cursor-based Pagination & Node Interfaces	Chuẩn thiết kế Relay Specification: Node interface, Global Object Identification, Connections và Edges.	RELAY_SPECIFICATION_PAGINATION	Relay, Connection, Edge, PageInfo, cursor-based pagination, node interface		"{""icon"": ""code""}"
PERSISTED_QUERIES_CACHING	Persisted Queries & HTTP GET Caching	Tối ưu hóa băng thông mạng bằng Automatic Persisted Queries (APQ) và CDN caching.	PERSISTED_QUERIES_PERFORMANCE	APQ, Automatic Persisted Queries, SHA-256 hash, HTTP GET, CDN caching		"{""icon"": ""code""}"
INCREMENTAL_DELIVERY_DIRECTIVES	Incremental Delivery Directives & Dynamic Streaming	Truyền nạp dữ liệu gia tăng không chặn bằng các chỉ thị @defer và @stream.	DEFER_STREAM_DIRECTIVES	@defer, @stream, incremental delivery, HTTP multipart responses, async rendering		"{""icon"": ""code""}"
API_PROTOCOL_GATEWAYS	Protocol Gateways & Multi-API Integration	Phân tích và chuyển đổi kiến trúc API giữa REST, GraphQL và gRPC.	GRAPHQL_VS_REST_GRPC_GATEWAYS	REST, gRPC, Protobuf, API Gateway, Microservices, Protocol Translation		"{""icon"": ""code""}"
