code	name	description	lo_type	parent_lo_code	concept_codes
ULO-ABSTRACTION	Understand Abstraction (Hiểu về Trừu tượng hóa)	Người học có khả năng giải thích và áp dụng nguyên tắc trừu tượng hóa để quản lý sự phức tạp bằng cách che giấu chi tiết triển khai đằng sau một giao diện đơn giản hơn.	UNIVERSAL	NULL	ABSTRACTION_LAYERS, PROBLEM_DECOMPOSITION
ULO-ANIMATION-CONTROL	Understand Animation Control (Hiểu về Điều khiển Hiệu ứng)	Người học có khả năng giải thích các kỹ thuật để kiểm soát thời điểm và cách thức một hiệu ứng chuyển động được kích hoạt và thực thi.	UNIVERSAL	NULL	EXPLICIT_ANIMATION, UI_ANIMATION_TRANSITION
ULO-APP-EXTENSION	Understand App Extension Architecture (Hiểu Kiến trúc Mở rộng Ứng dụng)	Người học có khả năng giải thích cách một ứng dụng có thể cung cấp chức năng và giao diện bên ngoài vùng chứa chính của nó, và cách nó giao tiếp với ứng dụng mẹ.	UNIVERSAL	NULL	APP_EXTENSION_MODEL
ULO-APP-PROTOCOLS	Understand Application Layer Protocols (Hiểu về Giao thức Tầng Ứng dụng)	Người học có khả năng giải thích vai trò của các giao thức tầng ứng dụng trong việc định nghĩa các quy tắc giao tiếp cho các dịch vụ mạng cụ thể.	UNIVERSAL	NULL	APP_PROTOCOLS, NETWORK_PROTOCOLS
ULO-ARITHMETIC-EXPR	Construct Arithmetic Expressions (Xây dựng Biểu thức Số học)	Người học có khả năng sử dụng các toán tử số học để kết hợp các giá trị và biến thành các biểu thức tính toán nhằm giải quyết các bài toán định lượng.	UNIVERSAL	NULL	ARITHMETIC_OPS, OPERATORS_EXPRESSIONS
ULO-BEHAVIORAL-PATTERNS	Understand Behavioral Patterns (Hiểu về Mẫu Hành vi)	Người học có khả năng nhận biết và áp dụng các mẫu thiết kế hành vi để quản lý các thuật toán, mối quan hệ và trách nhiệm giữa các đối tượng.	UNIVERSAL	NULL	BEHAVIORAL_PATTERNS, DESIGN_PATTERNS
ULO-CLOUD-SERVICES	Understand Cloud Service Models (Hiểu các Mô hình Dịch vụ Đám mây)	Người học có khả năng giải thích các mô hình dịch vụ điện toán đám mây cốt lõi và vai trò của chúng trong việc cung cấp các tài nguyên tính toán qua mạng.	UNIVERSAL	NULL	CLOUD_MODELS_IAAS_PAAS_SAAS, CLOUD_COMPUTING
ULO-COLLECTION-MANIP	Manipulate Ordered Collections (Thao tác trên Tập hợp có Thứ tự)	Người học có khả năng lưu trữ và quản lý một tập hợp dữ liệu có thứ tự, bao gồm các thao tác truy cập, thêm, xóa và sửa đổi các phần tử.	UNIVERSAL	NULL	ARRAY_OPERATIONS, LIST_OPERATIONS, DATA_STRUCTURES_BASIC
ULO-CONDITIONAL-EXECUTION	Understand Conditional Execution (Hiểu về Thực thi có Điều kiện)	Người học có khả năng giải thích và áp dụng các cấu trúc điều khiển để chương trình có thể thực thi các khối mã khác nhau dựa trên việc một điều kiện logic là đúng hay sai.	UNIVERSAL	NULL	IF_ELSE_STATEMENT, CONDITIONAL_LOGIC
ULO-DATA-ABSTRACTION-REFERENCE	Understand Reference-Type Data Abstraction (Hiểu Trừu tượng hóa Dữ liệu Kiểu Tham chiếu)	Người học có khả năng giải thích và sử dụng các kiểu dữ liệu phức hợp cho phép nhiều tham chiếu cùng trỏ đến và thao tác trên một thực thể dữ liệu duy nhất trong bộ nhớ.	UNIVERSAL	NULL	CLASS_DEFINITION, REFERENCE_TYPE_DECLARATION, OOP
ULO-DATA-SERIALIZATION	Understand Data Serialization (Hiểu về Tuần tự hóa Dữ liệu)	Người học có khả năng giải thích quá trình chuyển đổi một cấu trúc dữ liệu hoặc đối tượng trong bộ nhớ thành một định dạng (như chuỗi hoặc byte) có thể được lưu trữ hoặc truyền đi.	UNIVERSAL	NULL	JSON_SERIALIZATION, DATA_ENCODING
ULO-DEBUG-PAUSE	Understand Program State Inspection (Hiểu về Kiểm tra Trạng thái Chương trình)	Người học có khả năng giải thích tầm quan trọng của việc tạm dừng thực thi chương trình tại các điểm cụ thể để kiểm tra trạng thái (giá trị của biến) và luồng điều khiển.	UNIVERSAL	NULL	BREAKPOINTS, DEBUGGING_TECH
ULO-DEBUGGING	Understand Debugging (Hiểu về Gỡ lỗi)	Người học có khả năng giải thích mục đích và quy trình gỡ lỗi như một phương pháp có hệ thống để xác định, phân tích và sửa các lỗi trong phần mềm.	UNIVERSAL	NULL	DEBUGGING_TECH, TROUBLESHOOTING
ULO-DEFINITE-ITERATION	Understand Definite Iteration (Hiểu về Vòng lặp Xác định)	Người học có khả năng giải thích và áp dụng khái niệm lặp lại một khối hành động một số lần biết trước (vòng lặp xác định) để giải quyết các vấn đề có cấu trúc lặp lại.	UNIVERSAL	NULL	FOR_LOOP, ITERATION_LOOPS
ULO-DIAGNOSTIC-ANALYSIS	Analyze Diagnostic Feedback (Phân tích Phản hồi Chẩn đoán)	Người học có khả năng đọc, hiểu và phân tích các thông báo lỗi và cảnh báo từ hệ thống để xác định nguyên nhân gốc rễ của vấn đề.	UNIVERSAL	NULL	ERROR_MESSAGES, TROUBLESHOOTING_METHODOLOGY
ULO-DIGITAL-SECURITY	Understand Digital Security Principles (Hiểu các Nguyên tắc An ninh Kỹ thuật số)	Người học có khả năng giải thích các khái niệm cơ bản về bảo mật tài khoản, thiết bị và dữ liệu cá nhân trong môi trường số.	UNIVERSAL	NULL	DEVICE_PROTECTION, DIGITAL_CITIZENSHIP
ULO-DYNAMIC-COLLECTION	Understand Dynamic Collections (Hiểu về Tập hợp Động)	Người học có khả năng giải thích và sử dụng các cấu trúc dữ liệu tập hợp có thể thay đổi kích thước trong quá trình chạy, hỗ trợ các thao tác thêm và xóa phần tử.	UNIVERSAL	NULL	LIST_OPERATIONS, DATA_STRUCTURES_BASIC
ULO-ENCAPSULATION	Understand Encapsulation (Hiểu về Tính đóng gói)	Người học có khả năng giải thích tầm quan trọng của việc che giấu trạng thái bên trong của một đối tượng/thành phần và chỉ cho phép tương tác thông qua một giao diện công khai.	UNIVERSAL	NULL	ACCESS_MODIFIERS, ENCAPSULATION_ABSTRACTION
ULO-ERROR-HANDLING	Understand Error Handling (Hiểu về Xử lý Lỗi)	Người học có khả năng giải thích tầm quan trọng của việc dự đoán và xử lý các lỗi có thể xảy ra trong quá trình chạy chương trình để tạo ra phần mềm ổn định.	UNIVERSAL	NULL	EXCEPTION_HANDLING, RUNTIME_ERRORS
ULO-EVENT-DRIVEN-ARCH	Understand Event-Driven Architecture (Hiểu Kiến trúc Hướng sự kiện)	Người học có khả năng giải thích mô hình lập trình trong đó luồng thực thi của chương trình được quyết định bởi các sự kiện (từ người dùng, hệ thống, hoặc mạng) thay vì chạy tuần tự từ đầu đến cuối.	UNIVERSAL	NULL	EVENT_BASED_PROGRAMMING, ASYNCHRONOUS_PROG
ULO-EVENT-HANDLING	Implement Event Handlers (Triển khai Trình xử lý Sự kiện)	Người học có khả năng viết mã để định nghĩa các hành động cụ thể sẽ được thực thi khi một sự kiện nhất định xảy ra.	UNIVERSAL	NULL	EVENT_HANDLERS, EVENT_BASED_PROGRAMMING
ULO-FILE-SYSTEMS	Understand File Systems (Hiểu về Hệ thống Tệp)	Người học có khả năng giải thích vai trò của hệ thống tệp trong việc tổ chức, lưu trữ và quản lý các tệp và thư mục trên một thiết bị lưu trữ.	UNIVERSAL	NULL	OS_FILE_SYSTEMS, ONDEVICE_PERSISTENCE
ULO-FUNCTION-OUTPUT	Understand Function Output (Hiểu về Đầu ra của Hàm)	Người học có khả năng giải thích cách một hàm có thể tính toán hoặc xử lý và sau đó "trả về" một kết quả cho nơi gọi nó để có thể sử dụng tiếp.	UNIVERSAL	NULL	RETURN_VALUES, FUNCTIONS_PROCEDURES
ULO-GESTURE-DISCRETE	Understand Discrete Gestures (Hiểu về Cử chỉ Rời rạc)	Người học có khả năng giải thích và triển khai các cử chỉ được công nhận sau khi hoàn thành một hành động cụ thể, chẳng hạn như chạm hoặc nhấn giữ trong một khoảng thời gian.	UNIVERSAL	NULL	LONGPRESS_GESTURE, GESTURE_HANDLING
ULO-GESTURE-MANIPULATION	Understand Continuous Gesture Manipulation (Hiểu về Thao tác Cử chỉ Liên tục)	Người học có khả năng giải thích cách theo dõi và phản hồi lại các cử chỉ liên tục của người dùng (như kéo, phóng to) để thay đổi trạng thái giao diện trong thời gian thực.	UNIVERSAL	NULL	DRAG_GESTURE, GESTURE_HANDLING
ULO-HTTP-METHODS	Understand HTTP Methods (Hiểu về các Phương thức HTTP)	Người học có khả năng giải thích vai trò của các phương thức HTTP khác nhau trong việc định nghĩa hành động mong muốn của client đối với một tài nguyên trên server.	UNIVERSAL	NULL	HTTP_METHODS, APP_PROTOCOLS
ULO-IMPLICIT-ANIMATION	Understand Implicit Animation (Hiểu về Hiệu ứng Ngầm định)	Người học có khả năng giải thích mô hình trong đó một hiệu ứng chuyển động được gắn vào một thành phần giao diện và được kích hoạt tự động mỗi khi trạng thái mà nó theo dõi thay đổi.	UNIVERSAL	NULL	IMPLICIT_ANIMATION, UI_ANIMATION_TRANSITION
