code	name	description	lo_type	parent_lo_code	concept_codes
ULO-INTERNET-NETWORKING	Master Network Layer Protocols and Client-Server Communication	Người học có khả năng giải thích cách hoạt động của Internet và luồng truyền tải HTTP.	UNIVERSAL		INTERNET_NETWORKING_PROTOCOLS
CIO-NETWORK-PROTOCOL-LOOKUP	Analyze HTTP Request-Response Lifecycles and DNS Resolution	Người học có khả năng phân tích vòng đời HTTP request/response và phân giải tên miền DNS.	CONCEPTUAL_IMPL	ULO-INTERNET-NETWORKING	INTERNET_NETWORKING_PROTOCOLS
SIO-BE-HTTP-HTTPS-PROTOCOL-FLOW	Analyze HTTP and HTTPS Request Response Lifecycles	Người học có khả năng phân tích cấu trúc gói tin và luồng trao đổi dữ liệu qua HTTP và HTTPS.	SPECIFIC_IMPL	CIO-NETWORK-PROTOCOL-LOOKUP	INTERNET_NETWORKING_PROTOCOLS
SIO-BE-DNS-LOOKUP-DOMAIN-HOSTING	Resolve Domain Names via DNS and Configure Web Hosting	Người học có khả năng cấu hình bản ghi tên miền DNS và kết nối máy chủ Web Hosting.	SPECIFIC_IMPL	CIO-NETWORK-PROTOCOL-LOOKUP	INTERNET_NETWORKING_PROTOCOLS
SIO-BE-TCPIP-SOCKET-COMMUNICATION	Establish Low-Level Network Connections over TCP/IP	Người học có khả năng giải thích mô hình truyền tải gói tin qua TCP/IP và Socket.	SPECIFIC_IMPL	CIO-NETWORK-PROTOCOL-LOOKUP	INTERNET_NETWORKING_PROTOCOLS
ULO-SERVER-PROGRAMMING-LANGUAGES	Master Server-Side Execution Runtimes and Polyglot Languages	Người học có khả năng lập trình ứng dụng phía server với các ngôn ngữ phổ biến.	UNIVERSAL		SERVER_SIDE_RUNTIME_LANGUAGES
CIO-POLYGLOT-RUNTIME-EXECUTION	Develop Server Applications across Multi-Language Runtimes	Người học có khả năng xây dựng logic ứng dụng trên môi trường thực thi server.	CONCEPTUAL_IMPL	ULO-SERVER-PROGRAMMING-LANGUAGES	SERVER_SIDE_RUNTIME_LANGUAGES
SIO-BE-NODEJS-ASYNC-RUNTIME-DEV	Develop Asynchronous Server Services in Node.js	Người học có khả năng xây dựng dịch vụ server bất đồng bộ không chặn I/O bằng Node.js.	SPECIFIC_IMPL	CIO-POLYGLOT-RUNTIME-EXECUTION	SERVER_SIDE_RUNTIME_LANGUAGES
SIO-BE-PYTHON-FASTAPI-DJANGO-DEV	Build Scalable Web APIs in Python via FastAPI / Django	Người học có khả năng phát triển web API với Python bằng FastAPI hoặc Django.	SPECIFIC_IMPL	CIO-POLYGLOT-RUNTIME-EXECUTION	SERVER_SIDE_RUNTIME_LANGUAGES
SIO-BE-GO-CONCURRENT-BACKEND-SERVICE	Write High-Performance Concurrent Microservices in Go	Người học có khả năng viết các dịch vụ máy chủ hiệu năng cao bằng ngôn ngữ Go.	SPECIFIC_IMPL	CIO-POLYGLOT-RUNTIME-EXECUTION	SERVER_SIDE_RUNTIME_LANGUAGES
ULO-GIT-VERSION-CONTROL	Master Version Control Repositories and Branching Workflows	Người học có khả năng quản lý lịch sử mã nguồn bằng hệ thống Git.	UNIVERSAL		VERSION_CONTROL_SOURCE_MANAGEMENT
CIO-BRANCHING-STRATEGY-COLLABORATION	Manage Branching Strategies and Merge Conflict Resolution	Người học có khả năng thực hiện nhánh phát triển feature và giải quyết xung đột mã nguồn.	CONCEPTUAL_IMPL	ULO-GIT-VERSION-CONTROL	VERSION_CONTROL_SOURCE_MANAGEMENT
SIO-BE-GIT-COMMIT-BRANCH-MERGE	Manage Source Code History with Git Commit, Branch and Merge	Người học có khả năng thao tác quản lý phiên bản mã bằng git commit, branch và merge.	SPECIFIC_IMPL	CIO-BRANCHING-STRATEGY-COLLABORATION	VERSION_CONTROL_SOURCE_MANAGEMENT
