code	name	description	topic_codes	keywords	cs2023_ka_mapping	metadata
CPU_ARCHITECTURE	CPU Architecture	Phân biệt kiến trúc von Neumann và Harvard, và vai trò của các khối chức năng chính là ALU và CU.	HW_CPU	von Neumann, Harvard, ALU, Control Unit	AR	{"icon": "microchip"}
FETCH_DECODE_EXECUTE	Fetch-Decode-Execute Cycle	Mô tả chu trình lệnh cơ bản mà một CPU thực hiện để xử lý một chỉ lệnh: lấy lệnh, giải mã lệnh, và thực thi lệnh.	HW_CPU	instruction cycle, fetch, decode, execute	AR	{"icon": "sync-alt"}
MEMORY_TYPES	Memory Types	Phân biệt giữa RAM (bộ nhớ truy cập ngẫu nhiên, khả biến) và ROM (bộ nhớ chỉ đọc, bất biến).	HW_MEMORY	RAM, ROM, volatile, non-volatile	AR	{"icon": "memory"}
CACHE_HIERARCHY	Cache Hierarchy	Hiểu vai trò của các cấp bộ nhớ đệm (L1, L2, L3) trong việc tăng tốc độ truy cập dữ liệu bằng cách tận dụng tính cục bộ (locality).	HW_MEMORY	cache, L1 cache, L2 cache, locality	AR	{"icon": "layer-group"}
HDD_VS_SSD	HDD vs. SSD	So sánh sự khác biệt về cấu tạo, nguyên lý hoạt động, tốc độ và độ bền giữa ổ cứng cơ (HDD) và ổ cứng thể rắn (SSD).	HW_STORAGE	HDD, SSD, storage, persistent	AR	{"icon": "hdd"}
IO_METHODS_POLLING_INTERRUPT	I/O Methods: Polling vs. Interrupt	So sánh hai phương pháp chính để xử lý I/O: chủ động kiểm tra liên tục (Polling) và bị động chờ tín hiệu ngắt (Interrupt).	IO_MECHANISMS	polling, interrupt, I/O management	AR, OS	{"icon": "exchange-alt"}
DMA_CONCEPT	Direct Memory Access (DMA)	Hiểu khái niệm Truy cập Bộ nhớ Trực tiếp (DMA), cho phép các thiết bị phần cứng truy cập bộ nhớ chính độc lập với CPU.	IO_MECHANISMS	DMA, direct memory access, hardware	AR, OS	{"icon": "forward"}
PROCESS_VS_THREAD	Process vs. Thread	Phân biệt sự khác nhau giữa một tiến trình (một chương trình đang chạy với không gian bộ nhớ riêng) và một luồng (một luồng thực thi trong một tiến trình).	OS_PROCESS_MGMT	process, thread, multitasking, multithreading	OS	{"icon": "tasks"}
SCHEDULING_ALGORITHMS	CPU Scheduling Algorithms	Giới thiệu các thuật toán lập lịch CPU cơ bản như FCFS (First-Come, First-Served), SJF (Shortest Job First), và Round Robin.	OS_PROCESS_MGMT	scheduling, FCFS, SJF, Round Robin	OS	{"icon": "calendar-alt"}
VIRTUAL_MEMORY	Virtual Memory Concept	Hiểu khái niệm bộ nhớ ảo và lợi ích của nó trong việc cho phép mỗi tiến trình có một không gian địa chỉ riêng biệt và lớn hơn bộ nhớ vật lý.	OS_MEMORY_MGMT	virtual memory, address space, paging	OS, AR	{"icon": "map"}
FILE_ALLOCATION	File Allocation Methods	Khám phá các phương pháp cấp phát không gian cho tệp tin trên đĩa, bao gồm cấp phát liên tục, liên kết (danh sách móc nối), và chỉ mục.	OS_FILE_SYSTEMS	file allocation, contiguous, linked, indexed	OS	{"icon": "file-invoice"}
TROUBLESHOOTING_METHODOLOGY	Systematic Troubleshooting	Áp dụng một quy trình có hệ thống (xác định vấn đề, giả thuyết, kiểm tra, xác nhận) để giải quyết sự cố phần cứng và phần mềm.	TROUBLESHOOTING_METHODOLOGY	troubleshooting, diagnostics, problem solving	SDF, SE	{"icon": "search"}
ERROR_MESSAGES	Interpreting Error Messages	Kỹ năng đọc và hiểu các thông báo lỗi do chương trình hoặc hệ điều hành cung cấp để xác định nguyên nhân sự cố.	TROUBLESHOOTING_METHODOLOGY, DEBUGGING_TECH	error handling, exceptions, debugging, log analysis	SDF, SE	{"icon": "exclamation-triangle"}
ARDUINO_BASICS	Arduino Basics	Nắm vững cấu trúc cơ bản của một chương trình Arduino (sketch) với hai hàm chính là setup() (chạy một lần) và loop() (chạy lặp lại).	MCU_PLATFORMS	Arduino, sketch, setup, loop	SPD	{"icon": "code"}
RASPBERRY_PI_BASICS	Raspberry Pi Basics	Nhận biết Raspberry Pi như một máy tính đơn bo (SBC) và hiểu cách tương tác với hệ điều hành Raspbian (nay là Raspberry Pi OS).	MCU_PLATFORMS	Raspberry Pi, SBC, Raspbian, Linux	SPD	{"icon": "raspberry-pi"}
DIGITAL_ANALOG_IO	Digital vs. Analog I/O Pins	Phân biệt chức năng của các chân I/O số (đọc/ghi giá trị HIGH/LOW) và các chân I/O tương tự (đọc giá trị trong một khoảng liên tục).	GPIO_PROG	digital I/O, analog I/O, GPIO, HIGH, LOW	SPD	{"icon": "wave-square"}
PWM	Pulse Width Modulation (PWM)	Hiểu và sử dụng kỹ thuật Điều chế Độ rộng Xung (PWM) để giả lập tín hiệu tương tự, thường dùng để điều khiển độ sáng LED hoặc tốc độ động cơ.	GPIO_PROG	PWM, analogWrite, duty cycle	SPD	{"icon": "chart-area"}
TEMP_HUMIDITY_SENSORS	Reading Temp/Humidity Sensors	Sử dụng thư viện để đọc dữ liệu từ các cảm biến nhiệt độ và độ ẩm kỹ thuật số phổ biến như DHT11 hoặc DHT22.	SENSOR_TYPES	DHT11, temperature sensor, humidity sensor	SPD	{"icon": "thermometer-half"}
LIGHT_MOTION_SENSORS	Reading Light/Motion Sensors	Sử dụng cảm biến quang trở (LDR) để đo cường độ ánh sáng và cảm biến hồng ngoại thụ động (PIR) để phát hiện chuyển động.	SENSOR_TYPES	LDR, photoresistor, PIR sensor, motion detection	SPD	{"icon": "lightbulb"}
MOTOR_CONTROL	DC Motor and Servo Control	Phân biệt và điều khiển hai loại động cơ phổ biến: động cơ DC (điều khiển tốc độ) và động cơ Servo (điều khiển vị trí/góc).	ACTUATOR_CONTROL	DC motor, servo motor, actuator control	SPD	{"icon": "fan"}
ROUTERS_SWITCHES	Routers and Switches	Phân biệt chức năng của router (định tuyến giữa các mạng) và switch (kết nối các thiết bị trong cùng một mạng).	ROUTERS_SWITCHES	router, switch, LAN, WAN, networking hardware	NC	{"icon": "ethernet"}
PHYSICAL_MEDIA	Physical Media & Wireless	So sánh các phương tiện truyền dẫn vật lý (cáp xoắn đôi, cáp quang) và các công nghệ không dây (Wi-Fi, Bluetooth).	PHYSICAL_MEDIA	Ethernet cable, fiber optic, Wi-Fi, Bluetooth	NC	{"icon": "wifi"}
NETWORK_TOPOLOGIES	Network Topologies	Nhận biết các cấu trúc liên kết mạng phổ biến như Star (Hình sao), Bus, Ring (Vòng), và Mesh (Lưới).	NETWORK_TOPOLOGIES	topology, star, bus, ring, mesh	NC	{"icon": "sitemap"}
