code	name	description	metadata	created_at	updated_at	concept_codes
KW_TRUE	true	Keyword extracted from 'Boolean': true	"{""source_term"": ""Boolean"", ""source"": ""reference_glossary"", ""extracted_at"": ""2026-08-03T11:47:42.203891""}"	2026-08-03T11:47:42.203909	2026-08-03T11:47:42.203910	[]
KW_FALSE	false	Keyword extracted from 'Boolean': false	"{""source_term"": ""Boolean"", ""source"": ""reference_glossary"", ""extracted_at"": ""2026-08-03T11:47:42.204096""}"	2026-08-03T11:47:42.204102	2026-08-03T11:47:42.204103	[]
KW_BOOL	bool	Keyword extracted from 'Boolean': bool	"{""source_term"": ""Boolean"", ""source"": ""reference_glossary"", ""extracted_at"": ""2026-08-03T11:47:42.204133""}"	2026-08-03T11:47:42.204137	2026-08-03T11:47:42.204137	"[""BOOLEAN_OPERATIONS_3D""]"
KW_BOOLEAN	boolean	Keyword extracted from 'Boolean': boolean	"{""source_term"": ""Boolean"", ""source"": ""reference_glossary"", ""extracted_at"": ""2026-08-03T11:47:42.204141""}"	2026-08-03T11:47:42.204144	2026-08-03T11:47:42.204145	"[""PROPOSITIONAL_LOGIC""]"
KW_ALGORITHM	algorithm	Keyword extracted from 'algorithm': algorithm	"{""source_term"": ""algorithm"", ""source"": ""reference_glossary"", ""extracted_at"": ""2026-08-03T11:47:42.204152""}"	2026-08-03T11:47:42.204155	2026-08-03T11:47:42.204156	"[""SCHEDULING_ALGORITHMS""]"
KW_STEP_BY_STEP	step-by-step	Keyword extracted from 'algorithm': step-by-step	"{""source_term"": ""algorithm"", ""source"": ""reference_glossary"", ""extracted_at"": ""2026-08-03T11:47:42.204330""}"	2026-08-03T11:47:42.204333	2026-08-03T11:47:42.204334	[]
KW_PROCESS	process	Keyword extracted from 'algorithm': process	"{""source_term"": ""algorithm"", ""source"": ""reference_glossary"", ""extracted_at"": ""2026-08-03T11:47:42.204337""}"	2026-08-03T11:47:42.204339	2026-08-03T11:47:42.204340	"[""PROCESS_VS_THREAD""]"
KW_ABSTRACTION	abstraction	Keyword extracted from 'abstraction': abstraction	"{""source_term"": ""abstraction"", ""source"": ""reference_glossary"", ""extracted_at"": ""2026-08-03T11:47:42.204343""}"	2026-08-03T11:47:42.204345	2026-08-03T11:47:42.204346	"[""ABSTRACTION_LAYERS""]"
KW_ABSTRACT	abstract	Keyword extracted from 'abstraction': abstract	"{""source_term"": ""abstraction"", ""source"": ""reference_glossary"", ""extracted_at"": ""2026-08-03T11:47:42.204358""}"	2026-08-03T11:47:42.204360	2026-08-03T11:47:42.204361	"[""ABSTRACTION_LAYERS""]"
KW_HIDE	hide	Keyword extracted from 'abstraction': hide	"{""source_term"": ""abstraction"", ""source"": ""reference_glossary"", ""extracted_at"": ""2026-08-03T11:47:42.204402""}"	2026-08-03T11:47:42.204405	2026-08-03T11:47:42.204405	"[""BREAKPOINTS""]"
KW_DETAIL	detail	Keyword extracted from 'abstraction': detail	"{""source_term"": ""abstraction"", ""source"": ""reference_glossary"", ""extracted_at"": ""2026-08-03T11:47:42.204449""}"	2026-08-03T11:47:42.204451	2026-08-03T11:47:42.204452	"[""AI_VS_ML""]"
KW_ARRAY	array	Keyword extracted from 'array': array	"{""source_term"": ""array"", ""source"": ""reference_glossary"", ""extracted_at"": ""2026-08-03T11:47:42.204455""}"	2026-08-03T11:47:42.204458	2026-08-03T11:47:42.204459	"[""ARRAY_OPERATIONS""]"
KW_INDEX	index	Keyword extracted from 'array': index	"{""source_term"": ""array"", ""source"": ""reference_glossary"", ""extracted_at"": ""2026-08-03T11:47:42.204462""}"	2026-08-03T11:47:42.204464	2026-08-03T11:47:42.204465	"[""ARRAY_OPERATIONS""]"
KW_ELEMENT	element	Keyword extracted from 'array': element	"{""source_term"": ""array"", ""source"": ""reference_glossary"", ""extracted_at"": ""2026-08-03T11:47:42.204506""}"	2026-08-03T11:47:42.204509	2026-08-03T11:47:42.204510	"[""DOM_MANIPULATION""]"
